score,benchmark,occluder_type,metric,visibility
0.5225983056265985,ImageNet-1K,,accuracy,
0.0275876533658224,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.0754173879264568,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.1243916651880254,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.1781851691859109,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.2320080934738626,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.2923585170385789,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.348102298926334,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.4016006515950572,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.4485174092103023,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.021526132776801,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.0973288311185885,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.1508622981455861,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.1936877429181215,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.240487768941996,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.30730210609582,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.3616564930701742,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.4072958425599701,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.4162804073825174,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0068862366380778,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.0697753431693631,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.1743595876864024,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.2348903289863041,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.3093729122560851,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.3435630390838701,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.3495467384250796,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.3541021319676418,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.3792906114641501,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0032884247448979,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.0061687621482819,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.0197115676639107,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.0523576059815835,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.1013214437633144,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.1502672497715269,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
0.1956513073979592,ImageNet-Occluded,horizontal_bars_16,accuracy,0.7
0.2553364537200149,ImageNet-Occluded,horizontal_bars_16,accuracy,0.8
0.2874889912045731,ImageNet-Occluded,horizontal_bars_16,accuracy,0.9
0.0070371340523112,ImageNet-Occluded,oblique_bars_02,accuracy,0.1
0.0299374772311777,ImageNet-Occluded,oblique_bars_02,accuracy,0.2
0.0715775707622571,ImageNet-Occluded,oblique_bars_02,accuracy,0.3
0.1219763574855668,ImageNet-Occluded,oblique_bars_02,accuracy,0.4
0.1731457650965573,ImageNet-Occluded,oblique_bars_02,accuracy,0.5
0.2337116208307597,ImageNet-Occluded,oblique_bars_02,accuracy,0.6
0.2954106309584209,ImageNet-Occluded,oblique_bars_02,accuracy,0.7
0.3308705736179741,ImageNet-Occluded,oblique_bars_02,accuracy,0.8
0.3884906084561834,ImageNet-Occluded,oblique_bars_02,accuracy,0.9
0.0052216198979591,ImageNet-Occluded,oblique_bars_04,accuracy,0.1
0.0173702851717113,ImageNet-Occluded,oblique_bars_04,accuracy,0.2
0.0454780126408654,ImageNet-Occluded,oblique_bars_04,accuracy,0.3
0.0693653577520531,ImageNet-Occluded,oblique_bars_04,accuracy,0.4
0.108784696961544,ImageNet-Occluded,oblique_bars_04,accuracy,0.5
0.159732028994025,ImageNet-Occluded,oblique_bars_04,accuracy,0.6
0.2248409408695843,ImageNet-Occluded,oblique_bars_04,accuracy,0.7
0.2972754951642484,ImageNet-Occluded,oblique_bars_04,accuracy,0.8
0.3643688501752152,ImageNet-Occluded,oblique_bars_04,accuracy,0.9
0.0025415300054247,ImageNet-Occluded,oblique_bars_08,accuracy,0.1
0.0170229364148512,ImageNet-Occluded,oblique_bars_08,accuracy,0.2
0.0417976342331694,ImageNet-Occluded,oblique_bars_08,accuracy,0.3
0.0781980761307842,ImageNet-Occluded,oblique_bars_08,accuracy,0.4
0.1390410517247355,ImageNet-Occluded,oblique_bars_08,accuracy,0.5
0.1940199071351362,ImageNet-Occluded,oblique_bars_08,accuracy,0.6
0.2380677159039341,ImageNet-Occluded,oblique_bars_08,accuracy,0.7
0.2888110042834768,ImageNet-Occluded,oblique_bars_08,accuracy,0.8
0.2279186787045732,ImageNet-Occluded,oblique_bars_08,accuracy,0.9
0.0018933354591836,ImageNet-Occluded,oblique_bars_16,accuracy,0.1
0.0038663903061224,ImageNet-Occluded,oblique_bars_16,accuracy,0.2
0.0128870186471969,ImageNet-Occluded,oblique_bars_16,accuracy,0.3
0.0500096802276616,ImageNet-Occluded,oblique_bars_16,accuracy,0.4
0.0912473806921316,ImageNet-Occluded,oblique_bars_16,accuracy,0.5
0.1563249742802308,ImageNet-Occluded,oblique_bars_16,accuracy,0.6
0.1337283239224735,ImageNet-Occluded,oblique_bars_16,accuracy,0.7
0.1204265746839192,ImageNet-Occluded,oblique_bars_16,accuracy,0.8
0.1287477603372262,ImageNet-Occluded,oblique_bars_16,accuracy,0.9
0.035142014411335,ImageNet-Occluded,vertical_bars_02,accuracy,0.1
0.1029186787045731,ImageNet-Occluded,vertical_bars_02,accuracy,0.2
0.1550978650243915,ImageNet-Occluded,vertical_bars_02,accuracy,0.3
0.2098698296717235,ImageNet-Occluded,vertical_bars_02,accuracy,0.4
0.2519512269265798,ImageNet-Occluded,vertical_bars_02,accuracy,0.5
0.2989818697073022,ImageNet-Occluded,vertical_bars_02,accuracy,0.6
0.3486014942125398,ImageNet-Occluded,vertical_bars_02,accuracy,0.7
0.389820213828768,ImageNet-Occluded,vertical_bars_02,accuracy,0.8
0.4159852558252763,ImageNet-Occluded,vertical_bars_02,accuracy,0.9
0.0281845997372756,ImageNet-Occluded,vertical_bars_04,accuracy,0.1
0.1142568634632898,ImageNet-Occluded,vertical_bars_04,accuracy,0.2
0.1733156431998525,ImageNet-Occluded,vertical_bars_04,accuracy,0.3
0.205516581632653,ImageNet-Occluded,vertical_bars_04,accuracy,0.4
0.242941038036833,ImageNet-Occluded,vertical_bars_04,accuracy,0.5
0.2918080736179741,ImageNet-Occluded,vertical_bars_04,accuracy,0.6
