subject,metric_sim,value
sub-00,Pearson R,-0.25321596835320775
sub-01,Pearson R,-0.2593751623753321
sub-02,Pearson R,-0.4129652017055313
sub-03,Pearson R,-0.2181376274307504
sub-04,Pearson R,-0.24942883670967506
sub-05,Pearson R,-0.15858763393029326
sub-06,Pearson R,-0.25988142803628045
sub-07,Pearson R,-0.17621386553992546
sub-08,Pearson R,-0.6842259632500551
sub-09,Pearson R,-0.225323269162916
sub-10,Pearson R,-0.5236138056908537
sub-11,Pearson R,-0.27094530612541873
sub-12,Pearson R,-0.3725221449911605
sub-13,Pearson R,-0.4747615721231703
sub-14,Pearson R,-0.30242719210781255
sub-15,Pearson R,-0.2711173931953158
sub-16,Pearson R,-0.3782165646675579
sub-17,Pearson R,-0.6026059702481341
sub-18,Pearson R,-0.3918200198396349
sub-19,Pearson R,0.1829968694262106
sub-20,Pearson R,-0.11880804945816979
sub-21,Pearson R,-0.3233807515238097
sub-22,Pearson R,-0.3196987117388741
sub-23,Pearson R,-0.27814153675638326
sub-24,Pearson R,-0.042410548372273406
sub-25,Pearson R,-0.5378505655762903
sub-26,Pearson R,-0.6258832156893431
sub-27,Pearson R,-0.5328794628500997
sub-28,Pearson R,-0.3725068046999784
sub-29,Pearson R,0.19753575765468948
sub-00,MSE,0.02496127295547628
sub-01,MSE,0.01309320914255516
sub-02,MSE,0.02437128418549346
sub-03,MSE,0.01704101433478663
sub-04,MSE,0.019628294688862468
sub-05,MSE,0.012642811137534684
sub-06,MSE,0.015340946624388958
sub-07,MSE,0.021828387171356853
sub-08,MSE,0.054463725393050604
sub-09,MSE,0.01834460463733651
sub-10,MSE,0.02324720901043731
sub-11,MSE,0.02210678425155238
sub-12,MSE,0.017490916897872896
sub-13,MSE,0.024760784119434533
sub-14,MSE,0.019584324217201746
sub-15,MSE,0.013964319923371644
sub-16,MSE,0.022969678953626633
sub-17,MSE,0.027959068238869074
sub-18,MSE,0.020407913859162373
sub-19,MSE,0.035975236160655295
sub-20,MSE,0.010099790262914519
sub-21,MSE,0.0208023682124455
sub-22,MSE,0.015408657022063683
sub-23,MSE,0.01531167426344299
sub-24,MSE,0.018580930439952445
sub-25,MSE,0.028896568238869064
sub-26,MSE,0.04093824316290131
sub-27,MSE,0.028922702800898394
sub-28,MSE,0.018183420861408377
sub-29,MSE,0.03305175716739331
