subject,metric_sim,value
sub-00,Pearson R,-0.4227435364724146
sub-01,Pearson R,-0.04206815891478855
sub-02,Pearson R,-0.29253021760425124
sub-03,Pearson R,-0.15465931550798584
sub-04,Pearson R,-0.28806460539913575
sub-05,Pearson R,0.10746006357074452
sub-06,Pearson R,-0.11466951566783867
sub-07,Pearson R,-0.30818396809095194
sub-08,Pearson R,-0.22580714064971633
sub-09,Pearson R,-0.39176308772504553
sub-10,Pearson R,0.015834461547223604
sub-11,Pearson R,-0.08693452190353382
sub-12,Pearson R,-0.5694272824185459
sub-13,Pearson R,-0.09894925410391564
sub-14,Pearson R,-0.4647638298498922
sub-15,Pearson R,-0.17930919380233312
sub-16,Pearson R,-0.3379995364134271
sub-17,Pearson R,-0.4059480705317319
sub-18,Pearson R,-0.2645422897761542
sub-19,Pearson R,-0.009284324382718432
sub-20,Pearson R,-0.16803993477482737
sub-21,Pearson R,-0.1719870500824998
sub-22,Pearson R,-0.24749078806652378
sub-23,Pearson R,0.02835242667766114
sub-24,Pearson R,-0.00572232624172573
sub-25,Pearson R,-0.16583880731853717
sub-26,Pearson R,-0.15540544246040616
sub-27,Pearson R,-0.17637260474198324
sub-28,Pearson R,-0.5007023776623412
sub-29,Pearson R,-0.2797281806547279
sub-00,MSE,0.08011275432685955
sub-01,MSE,0.1042675303871053
sub-02,MSE,0.0995757778438367
sub-03,MSE,0.10273636708944377
sub-04,MSE,0.0916282286299379
sub-05,MSE,0.1389985879904875
sub-06,MSE,0.11252336834456335
sub-07,MSE,0.09297318833399393
sub-08,MSE,0.050172744087726255
sub-09,MSE,0.18598126403752147
sub-10,MSE,0.1870863472717664
sub-11,MSE,0.1919576975161844
sub-12,MSE,0.14345781311930242
sub-13,MSE,0.08080827222882808
sub-14,MSE,0.12473142918483288
sub-15,MSE,0.14132794953098163
sub-16,MSE,0.08959856817281014
sub-17,MSE,0.0746313499141234
sub-18,MSE,0.10346512088783195
sub-19,MSE,0.2763539189456996
sub-20,MSE,0.13938957425023124
sub-21,MSE,0.10982680175716741
sub-22,MSE,0.14468902761263044
sub-23,MSE,0.16782418417228168
sub-24,MSE,0.08177141134892324
sub-25,MSE,0.07500247720967104
sub-26,MSE,0.07729691009380367
sub-27,MSE,0.07925485533095519
sub-28,MSE,0.11823796076099881
sub-29,MSE,0.05225504525036332
