score,benchmark,occluder_type,metric,visibility
0.6105338874680307,ImageNet-1K,,accuracy,
0.0018439853625676,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.0128860696104868,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.0600960808521022,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.1562556942202607,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.2659818393235303,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.3650739871117534,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.4460859678837718,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.5003473491084819,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.5500220175908537,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.0021125637755102,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.0162750926267887,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.0650718992918121,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.1670130664596752,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.268364879549766,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.3662432049001966,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.4406754891483151,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.5243352925290867,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.5526612990972947,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0024020210768533,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.0095568361278737,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.0541674259061716,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.1512703854514628,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.2869670190373246,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.4246015928837718,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.4981142568344973,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.5253773386381111,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.5195445363618889,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0024722500618699,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.0051722698013431,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.0218981566021637,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.0735809948979591,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.1773205934738626,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.2650688625111871,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
0.3356176733362431,ImageNet-Occluded,horizontal_bars_16,accuracy,0.7
0.3644874804482168,ImageNet-Occluded,horizontal_bars_16,accuracy,0.8
0.3938602786891314,ImageNet-Occluded,horizontal_bars_16,accuracy,0.9
0.0016446868931798,ImageNet-Occluded,oblique_bars_02,accuracy,0.1
0.0099962418043643,ImageNet-Occluded,oblique_bars_02,accuracy,0.2
0.0499707695704941,ImageNet-Occluded,oblique_bars_02,accuracy,0.3
0.127649720606147,ImageNet-Occluded,oblique_bars_02,accuracy,0.4
0.2168187030724116,ImageNet-Occluded,oblique_bars_02,accuracy,0.5
0.3083925536092446,ImageNet-Occluded,oblique_bars_02,accuracy,0.6
0.3846488932565767,ImageNet-Occluded,oblique_bars_02,accuracy,0.7
0.4312192511801817,ImageNet-Occluded,oblique_bars_02,accuracy,0.8
0.4906282266791986,ImageNet-Occluded,oblique_bars_02,accuracy,0.9
0.001235650510204,ImageNet-Occluded,oblique_bars_04,accuracy,0.1
0.0032096543986046,ImageNet-Occluded,oblique_bars_04,accuracy,0.2
0.0135731748067678,ImageNet-Occluded,oblique_bars_04,accuracy,0.3
0.0406625820133759,ImageNet-Occluded,oblique_bars_04,accuracy,0.4
0.0997839984388984,ImageNet-Occluded,oblique_bars_04,accuracy,0.5
0.1851188578471845,ImageNet-Occluded,oblique_bars_04,accuracy,0.6
0.2698064717103023,ImageNet-Occluded,oblique_bars_04,accuracy,0.7
0.37468491859582,ImageNet-Occluded,oblique_bars_04,accuracy,0.8
0.518100097471354,ImageNet-Occluded,oblique_bars_04,accuracy,0.9
0.0016541772959183,ImageNet-Occluded,oblique_bars_08,accuracy,0.1
0.0017139668367346,ImageNet-Occluded,oblique_bars_08,accuracy,0.2
0.0058603240414617,ImageNet-Occluded,oblique_bars_08,accuracy,0.3
0.0201234511688959,ImageNet-Occluded,oblique_bars_08,accuracy,0.4
0.059397587172535,ImageNet-Occluded,oblique_bars_08,accuracy,0.5
0.1457811361368821,ImageNet-Occluded,oblique_bars_08,accuracy,0.6
0.2971189034228422,ImageNet-Occluded,oblique_bars_08,accuracy,0.7
0.4739981932299478,ImageNet-Occluded,oblique_bars_08,accuracy,0.8
0.5163908758941962,ImageNet-Occluded,oblique_bars_08,accuracy,0.9
0.0011160714285714,ImageNet-Occluded,oblique_bars_16,accuracy,0.1
0.0014548788265306,ImageNet-Occluded,oblique_bars_16,accuracy,0.2
0.0024418807707308,ImageNet-Occluded,oblique_bars_16,accuracy,0.3
0.0194240084431153,ImageNet-Occluded,oblique_bars_16,accuracy,0.4
0.0969008138897467,ImageNet-Occluded,oblique_bars_16,accuracy,0.5
0.3073761314153671,ImageNet-Occluded,oblique_bars_16,accuracy,0.6
0.4110179786779442,ImageNet-Occluded,oblique_bars_16,accuracy,0.7
0.4262586175178995,ImageNet-Occluded,oblique_bars_16,accuracy,0.8
0.3526168839663875,ImageNet-Occluded,oblique_bars_16,accuracy,0.9
0.0022321428571428,ImageNet-Occluded,vertical_bars_02,accuracy,0.1
0.0190548317563929,ImageNet-Occluded,vertical_bars_02,accuracy,0.2
0.0800012527223752,ImageNet-Occluded,vertical_bars_02,accuracy,0.3
0.1853722516371279,ImageNet-Occluded,vertical_bars_02,accuracy,0.4
0.2895654914330463,ImageNet-Occluded,vertical_bars_02,accuracy,0.5
0.3842597865328497,ImageNet-Occluded,vertical_bars_02,accuracy,0.6
0.454983221024883,ImageNet-Occluded,vertical_bars_02,accuracy,0.7
0.4979301429524713,ImageNet-Occluded,vertical_bars_02,accuracy,0.8
0.5421127159984744,ImageNet-Occluded,vertical_bars_02,accuracy,0.9
0.0021638119574256,ImageNet-Occluded,vertical_bars_04,accuracy,0.1
0.0194648171832062,ImageNet-Occluded,vertical_bars_04,accuracy,0.2
0.0753471589818292,ImageNet-Occluded,vertical_bars_04,accuracy,0.3
0.1771241420385789,ImageNet-Occluded,vertical_bars_04,accuracy,0.4
0.2789960292224981,ImageNet-Occluded,vertical_bars_04,accuracy,0.5
0.3649098033807715,ImageNet-Occluded,vertical_bars_04,accuracy,0.6
0.4209430424534545,ImageNet-Occluded,vertical_bars_04,accuracy,0.7
0.5099914968013763,ImageNet-Occluded,vertical_bars_04,accuracy,0.8
0.5373485331632653,ImageNet-Occluded,vertical_bars_04,accuracy,0.9
0.0024418807707308,ImageNet-Occluded,vertical_bars_08,accuracy,0.1
0.0087795720972614,ImageNet-Occluded,vertical_bars_08,accuracy,0.2
0.0546077806122448,ImageNet-Occluded,vertical_bars_08,accuracy,0.3
0.1480066356610278,ImageNet-Occluded,vertical_bars_08,accuracy,0.4
0.2664943209716252,ImageNet-Occluded,vertical_bars_08,accuracy,0.5
0.3990278031144823,ImageNet-Occluded,vertical_bars_08,accuracy,0.6
0.4707524752130314,ImageNet-Occluded,vertical_bars_08,accuracy,0.7
0.4865103409606583,ImageNet-Occluded,vertical_bars_08,accuracy,0.8
0.4862066479969997,ImageNet-Occluded,vertical_bars_08,accuracy,0.9
0.0020034241380778,ImageNet-Occluded,vertical_bars_16,accuracy,0.1
0.0063585702149311,ImageNet-Occluded,vertical_bars_16,accuracy,0.2
0.0316618835097368,ImageNet-Occluded,vertical_bars_16,accuracy,0.3
0.0905014349489796,ImageNet-Occluded,vertical_bars_16,accuracy,0.4
0.1785296708041308,ImageNet-Occluded,vertical_bars_16,accuracy,0.5
0.2320242271739609,ImageNet-Occluded,vertical_bars_16,accuracy,0.6
0.2939785290129331,ImageNet-Occluded,vertical_bars_16,accuracy,0.7
0.3276115692391687,ImageNet-Occluded,vertical_bars_16,accuracy,0.8
0.341979090656553,ImageNet-Occluded,vertical_bars_16,accuracy,0.9
0.0034677933673469,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.1
0.0108930849166092,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.2
0.0233198190012908,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.3
0.090684599718269,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.4
0.2299989750798867,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.5
0.3648898735338328,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.6
0.4344469372715269,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.7
0.4360565096139908,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.8
0.371442047917113,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.9
0.0015545280612244,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.1
0.0030691964285714,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.2
0.0071453246482819,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.3
0.0338370839552003,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.4
0.1511270803760509,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.5
0.3147729516637568,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.6
0.4103602937289646,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.7
0.4438993790928198,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.8
0.4097586021739609,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.9
0.0016741071428571,ImageNet-Occluded,curved_lines,accuracy,0.1
0.006827396141099,ImageNet-Occluded,curved_lines,accuracy,0.2
0.0423271987511187,ImageNet-Occluded,curved_lines,accuracy,0.3
0.1210823615594786,ImageNet-Occluded,curved_lines,accuracy,0.4
0.2361013043899925,ImageNet-Occluded,curved_lines,accuracy,0.5
0.3360997858096142,ImageNet-Occluded,curved_lines,accuracy,0.6
0.4099047542834768,ImageNet-Occluded,curved_lines,accuracy,0.7
0.47571405798805,ImageNet-Occluded,curved_lines,accuracy,0.8
0.5253925232254729,ImageNet-Occluded,curved_lines,accuracy,0.9
0.0014055287299145,ImageNet-Occluded,empty_ellipses,accuracy,0.1
0.0051238687461888,ImageNet-Occluded,empty_ellipses,accuracy,0.2
0.0295891794281042,ImageNet-Occluded,empty_ellipses,accuracy,0.3
0.1089128173735677,ImageNet-Occluded,empty_ellipses,accuracy,0.4
0.212912452920359,ImageNet-Occluded,empty_ellipses,accuracy,0.5
0.2990663342025815,ImageNet-Occluded,empty_ellipses,accuracy,0.6
0.3855723093967048,ImageNet-Occluded,empty_ellipses,accuracy,0.7
0.4570777531789273,ImageNet-Occluded,empty_ellipses,accuracy,0.8
0.5149445381699777,ImageNet-Occluded,empty_ellipses,accuracy,0.9
0.0023128112863597,ImageNet-Occluded,filled_ellipses,accuracy,0.1
0.0120490160390582,ImageNet-Occluded,filled_ellipses,accuracy,0.2
0.0435856262183919,ImageNet-Occluded,filled_ellipses,accuracy,0.3
0.0868827441745266,ImageNet-Occluded,filled_ellipses,accuracy,0.4
0.1578519800487829,ImageNet-Occluded,filled_ellipses,accuracy,0.5
0.2544557443078683,ImageNet-Occluded,filled_ellipses,accuracy,0.6
0.338817837591074,ImageNet-Occluded,filled_ellipses,accuracy,0.7
0.428393009061716,ImageNet-Occluded,filled_ellipses,accuracy,0.8
0.5049369079726083,ImageNet-Occluded,filled_ellipses,accuracy,0.9
0.0017139668367346,ImageNet-Occluded,mud_splash,accuracy,0.1
0.00668693816869,ImageNet-Occluded,mud_splash,accuracy,0.2
0.0197723062461888,ImageNet-Occluded,mud_splash,accuracy,0.3
0.0608391794471108,ImageNet-Occluded,mud_splash,accuracy,0.4
0.1251584897388001,ImageNet-Occluded,mud_splash,accuracy,0.5
