subject,metric_sim,value
sub-00,Pearson R,0.4291837579055283
sub-01,Pearson R,0.34529589156539603
sub-02,Pearson R,0.6657880510256076
sub-03,Pearson R,0.6620283388320013
sub-04,Pearson R,0.6786078163849512
sub-05,Pearson R,0.5910981163149773
sub-06,Pearson R,0.5267924679469318
sub-07,Pearson R,0.5196944573656751
sub-08,Pearson R,0.5380796921830695
sub-09,Pearson R,0.781623637302524
sub-10,Pearson R,0.3925537738670949
sub-11,Pearson R,0.5903859146236216
sub-12,Pearson R,0.8211507097681036
sub-13,Pearson R,0.6740642660356652
sub-14,Pearson R,0.6029113607675822
sub-15,Pearson R,0.5404245244439309
sub-16,Pearson R,0.5861013425985846
sub-17,Pearson R,0.4147924698621159
sub-18,Pearson R,0.5570417933173626
sub-19,Pearson R,0.08947694111026114
sub-20,Pearson R,0.20325579811658026
sub-21,Pearson R,0.8830606605847873
sub-22,Pearson R,0.5613946059355162
sub-23,Pearson R,0.6314705503257327
sub-24,Pearson R,0.5386710182357283
sub-25,Pearson R,0.7382432761916591
sub-26,Pearson R,0.5429461162716273
sub-27,Pearson R,0.5973597740754659
sub-28,Pearson R,0.7716483759955777
sub-29,Pearson R,0.6611403201467452
sub-00,MSE,0.014441017637732858
sub-01,MSE,0.019159647905932088
sub-02,MSE,0.011238109393579073
sub-03,MSE,0.012308140110978994
sub-04,MSE,0.010028529198044651
sub-05,MSE,0.024181323490553568
sub-06,MSE,0.017520767274408766
sub-07,MSE,0.013917707094728497
sub-08,MSE,0.016554779363191968
sub-09,MSE,0.03593828444972916
sub-10,MSE,0.04605640606420927
sub-11,MSE,0.04303722420398996
sub-12,MSE,0.01834254029594397
sub-13,MSE,0.009251469811071476
sub-14,MSE,0.017625140375214694
sub-15,MSE,0.025350029726516052
sub-16,MSE,0.011856379640639451
sub-17,MSE,0.01400473972783723
sub-18,MSE,0.014466987052450784
sub-19,MSE,0.09428152662174659
sub-20,MSE,0.030596057933676837
sub-21,MSE,0.007912826991676575
sub-22,MSE,0.02576273285770908
sub-23,MSE,0.03372791154710001
sub-24,MSE,0.012140598163561896
sub-25,MSE,0.007372341128286431
sub-26,MSE,0.013779974237019425
sub-27,MSE,0.0108769322235434
sub-28,MSE,0.012156328444972919
sub-29,MSE,0.01111784086405073
