score,benchmark,occluder_type,metric,visibility
0.4921875,ImageNet-1K,,accuracy,
0.0062684113829757,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.0464612184168428,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.0978403638059995,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.160705744459921,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.2198451926209488,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.2770353120808698,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.3282540696007864,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.3738146488155637,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.4017240268235303,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.0060795523577882,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.0538627839818292,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.1302652757386772,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.2176605017513645,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.2717083485759034,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.3165799245542409,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.3507918794544375,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.3645083591037867,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.3924955585781409,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0042260765924821,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.0323613262450208,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.110186429504229,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.1910180925410621,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.2374005405878534,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.2715308780268747,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.3104358373247847,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.355117605048783,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.3852885462799851,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0017642659748125,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.0034677933673469,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.0063092201206909,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.0154285486597491,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.0401548454347921,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.1150777834106464,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
0.1974098791881483,ImageNet-Occluded,horizontal_bars_16,accuracy,0.7
0.272010143314089,ImageNet-Occluded,horizontal_bars_16,accuracy,0.8
0.3180756118832802,ImageNet-Occluded,horizontal_bars_16,accuracy,0.9
0.0105941372125276,ImageNet-Occluded,oblique_bars_02,accuracy,0.1
0.0469129616204573,ImageNet-Occluded,oblique_bars_02,accuracy,0.2
0.1053643555817555,ImageNet-Occluded,oblique_bars_02,accuracy,0.3
0.1679535654126381,ImageNet-Occluded,oblique_bars_02,accuracy,0.4
0.2197370019798376,ImageNet-Occluded,oblique_bars_02,accuracy,0.5
0.2732828064840667,ImageNet-Occluded,oblique_bars_02,accuracy,0.6
0.3213583425599701,ImageNet-Occluded,oblique_bars_02,accuracy,0.7
0.3517931167568479,ImageNet-Occluded,oblique_bars_02,accuracy,0.8
0.3846109314840667,ImageNet-Occluded,oblique_bars_02,accuracy,0.9
0.0079434675696705,ImageNet-Occluded,oblique_bars_04,accuracy,0.1
0.0569111015267518,ImageNet-Occluded,oblique_bars_04,accuracy,0.2
0.1143840349146298,ImageNet-Occluded,oblique_bars_04,accuracy,0.3
0.1705662734350379,ImageNet-Occluded,oblique_bars_04,accuracy,0.4
0.219759779012933,ImageNet-Occluded,oblique_bars_04,accuracy,0.5
0.2692522321428571,ImageNet-Occluded,oblique_bars_04,accuracy,0.6
0.3064109573558885,ImageNet-Occluded,oblique_bars_04,accuracy,0.7
0.3361738111291613,ImageNet-Occluded,oblique_bars_04,accuracy,0.8
0.3816812439840667,ImageNet-Occluded,oblique_bars_04,accuracy,0.9
0.0026905293367346,ImageNet-Occluded,oblique_bars_08,accuracy,0.1
0.0277755633566756,ImageNet-Occluded,oblique_bars_08,accuracy,0.2
0.1012293868983278,ImageNet-Occluded,oblique_bars_08,accuracy,0.3
0.1641792320475286,ImageNet-Occluded,oblique_bars_08,accuracy,0.4
0.1959758791692402,ImageNet-Occluded,oblique_bars_08,accuracy,0.5
0.2273843689840667,ImageNet-Occluded,oblique_bars_08,accuracy,0.6
0.2756345284228422,ImageNet-Occluded,oblique_bars_08,accuracy,0.7
0.3408838981876568,ImageNet-Occluded,oblique_bars_08,accuracy,0.8
0.3658132896739609,ImageNet-Occluded,oblique_bars_08,accuracy,0.9
0.0010268616380778,ImageNet-Occluded,oblique_bars_16,accuracy,0.1
0.002731338072074,ImageNet-Occluded,oblique_bars_16,accuracy,0.2
0.0073360817563929,ImageNet-Occluded,oblique_bars_16,accuracy,0.3
0.0332591183939758,ImageNet-Occluded,oblique_bars_16,accuracy,0.4
0.0828312909876813,ImageNet-Occluded,oblique_bars_16,accuracy,0.5
0.1794293611025323,ImageNet-Occluded,oblique_bars_16,accuracy,0.6
0.2595748679370296,ImageNet-Occluded,oblique_bars_16,accuracy,0.7
0.282939291730219,ImageNet-Occluded,oblique_bars_16,accuracy,0.8
0.3524526999313004,ImageNet-Occluded,oblique_bars_16,accuracy,0.9
0.0249863338219572,ImageNet-Occluded,vertical_bars_02,accuracy,0.1
0.0908440384937792,ImageNet-Occluded,vertical_bars_02,accuracy,0.2
0.1670424866737151,ImageNet-Occluded,vertical_bars_02,accuracy,0.3
0.2334885965196453,ImageNet-Occluded,vertical_bars_02,accuracy,0.4
0.2846750866393653,ImageNet-Occluded,vertical_bars_02,accuracy,0.5
0.323201378693386,ImageNet-Occluded,vertical_bars_02,accuracy,0.6
0.3567366679104007,ImageNet-Occluded,vertical_bars_02,accuracy,0.7
0.3777427265838701,ImageNet-Occluded,vertical_bars_02,accuracy,0.8
0.3958788872981558,ImageNet-Occluded,vertical_bars_02,accuracy,0.9
0.0362580858399065,ImageNet-Occluded,vertical_bars_04,accuracy,0.1
0.1533649174534544,ImageNet-Occluded,vertical_bars_04,accuracy,0.2
0.2243730640228913,ImageNet-Occluded,vertical_bars_04,accuracy,0.3
0.2703512207585938,ImageNet-Occluded,vertical_bars_04,accuracy,0.4
0.3050187151042782,ImageNet-Occluded,vertical_bars_04,accuracy,0.5
0.3359327547404231,ImageNet-Occluded,vertical_bars_04,accuracy,0.6
0.3574740722471354,ImageNet-Occluded,vertical_bars_04,accuracy,0.7
0.3792944076109905,ImageNet-Occluded,vertical_bars_04,accuracy,0.8
0.3975501474069089,ImageNet-Occluded,vertical_bars_04,accuracy,0.9
0.0101556805798745,ImageNet-Occluded,vertical_bars_08,accuracy,0.1
0.0683403941897713,ImageNet-Occluded,vertical_bars_08,accuracy,0.2
0.1564151329957709,ImageNet-Occluded,vertical_bars_08,accuracy,0.3
0.2331981900699284,ImageNet-Occluded,vertical_bars_08,accuracy,0.4
0.2767164345298494,ImageNet-Occluded,vertical_bars_08,accuracy,0.5
0.3126499485604617,ImageNet-Occluded,vertical_bars_08,accuracy,0.6
0.3446496901463489,ImageNet-Occluded,vertical_bars_08,accuracy,0.7
0.3767908391903858,ImageNet-Occluded,vertical_bars_08,accuracy,0.8
0.3904219053837718,ImageNet-Occluded,vertical_bars_08,accuracy,0.9
0.0019436345972614,ImageNet-Occluded,vertical_bars_16,accuracy,0.1
0.0066670083217512,ImageNet-Occluded,vertical_bars_16,accuracy,0.2
0.0267088420270961,ImageNet-Occluded,vertical_bars_16,accuracy,0.3
0.0644616663684042,ImageNet-Occluded,vertical_bars_16,accuracy,0.4
0.1173061300449225,ImageNet-Occluded,vertical_bars_16,accuracy,0.5
0.2003148915816326,ImageNet-Occluded,vertical_bars_16,accuracy,0.6
0.2519189596784358,ImageNet-Occluded,vertical_bars_16,accuracy,0.7
0.2949142827063191,ImageNet-Occluded,vertical_bars_16,accuracy,0.8
0.3266891019076717,ImageNet-Occluded,vertical_bars_16,accuracy,0.9
0.0156677068230144,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.1
0.0517170037694123,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.2
0.1132964346633881,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.3
0.1580816478449471,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.4
0.1923913539064173,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.5
0.225537536399705,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.6
0.2829601706898942,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.7
0.3224089300754119,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.8
0.3514002141903858,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.9
0.0129562985931276,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.1
0.0528501579347921,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.2
