subject,metric_sim,value
sub-00,Pearson R,0.33222658947124556
sub-01,Pearson R,0.47444841347562794
sub-02,Pearson R,0.5574241166784867
sub-03,Pearson R,0.5261051771117728
sub-04,Pearson R,0.5744428713141421
sub-05,Pearson R,0.3514929915572956
sub-06,Pearson R,0.5214636262969103
sub-07,Pearson R,0.6852201537588666
sub-08,Pearson R,0.44914620795466664
sub-09,Pearson R,0.682195749074941
sub-10,Pearson R,0.24916927321617033
sub-11,Pearson R,0.6053243924616066
sub-12,Pearson R,0.7992478519215617
sub-13,Pearson R,0.6554636770089067
sub-14,Pearson R,0.49702813911017374
sub-15,Pearson R,0.6455077076973907
sub-16,Pearson R,0.34742490491210526
sub-17,Pearson R,0.4647481343211418
sub-18,Pearson R,0.37094890680125997
sub-19,Pearson R,0.0016070359018549839
sub-20,Pearson R,0.01631701922912996
sub-21,Pearson R,0.6626329470536554
sub-22,Pearson R,0.6417163288574165
sub-23,Pearson R,0.592235955120896
sub-24,Pearson R,0.4679233313986831
sub-25,Pearson R,0.6842637766972903
sub-26,Pearson R,0.6575774412722848
sub-27,Pearson R,0.5930963259895048
sub-28,Pearson R,0.6462900300231014
sub-29,Pearson R,0.6256376512814613
sub-00,MSE,0.02011329105562161
sub-01,MSE,0.009231486986391865
sub-02,MSE,0.012044358567842516
sub-03,MSE,0.010242436253137801
sub-04,MSE,0.011603208812260537
sub-05,MSE,0.01061211850971066
sub-06,MSE,0.008778364050733255
sub-07,MSE,0.010784367155502711
sub-08,MSE,0.038294441141498214
sub-09,MSE,0.010272410490157223
sub-10,MSE,0.018411819593077017
sub-11,MSE,0.013174420332936978
sub-12,MSE,0.003733898137138327
sub-13,MSE,0.012767827652265822
sub-14,MSE,0.010342102655568767
sub-15,MSE,0.006018339608931168
sub-16,MSE,0.016583473708548027
sub-17,MSE,0.018428623332012155
sub-18,MSE,0.013382175650680408
sub-19,MSE,0.04402170861408376
sub-20,MSE,0.013973898467432947
sub-21,MSE,0.008100021469150483
sub-22,MSE,0.006405568767340468
sub-23,MSE,0.009190158871713568
sub-24,MSE,0.014888814572598762
sub-25,MSE,0.01453564704716607
sub-26,MSE,0.019476276588717138
sub-27,MSE,0.015639120095124845
sub-28,MSE,0.0069822218919276
sub-29,MSE,0.028454468886246538
