subject,metric_sim,value
sub-00,Pearson R,0.2516907680639972
sub-01,Pearson R,0.18519547794421137
sub-02,Pearson R,0.5083662092627407
sub-03,Pearson R,0.5701633724579459
sub-04,Pearson R,0.4969018551112669
sub-05,Pearson R,0.38122632958652836
sub-06,Pearson R,0.5880177140302306
sub-07,Pearson R,0.562021209000165
sub-08,Pearson R,0.32119706871793796
sub-09,Pearson R,0.49171359941038484
sub-10,Pearson R,0.1528111138569049
sub-11,Pearson R,0.47152642578900694
sub-12,Pearson R,0.7215304089340879
sub-13,Pearson R,0.5242319471006279
sub-14,Pearson R,0.3834364324861972
sub-15,Pearson R,0.4858115942593427
sub-16,Pearson R,0.30636945248339215
sub-17,Pearson R,0.24260239341752093
sub-18,Pearson R,0.32088750162135515
sub-19,Pearson R,0.19328631013598918
sub-20,Pearson R,-0.17124221998006553
sub-21,Pearson R,0.7179064393588117
sub-22,Pearson R,0.5136474028867903
sub-23,Pearson R,0.5203386310978511
sub-24,Pearson R,0.5647466185185693
sub-25,Pearson R,0.6075642269127354
sub-26,Pearson R,0.5600857579784783
sub-27,Pearson R,0.47019097184448755
sub-28,Pearson R,0.5596814402184199
sub-29,Pearson R,0.5488258882208192
sub-00,MSE,0.06456677731536531
sub-01,MSE,0.09127138657682651
sub-02,MSE,0.0813190728629938
sub-03,MSE,0.086013137468622
sub-04,MSE,0.07508385354736426
sub-05,MSE,0.12364137435592548
sub-06,MSE,0.09522736656097237
sub-07,MSE,0.07471012518166205
sub-08,MSE,0.03796179316950721
sub-09,MSE,0.16369731800766282
sub-10,MSE,0.16982440712115207
sub-11,MSE,0.1716729009776721
sub-12,MSE,0.11970306513409962
sub-13,MSE,0.06625260107015457
sub-14,MSE,0.10436244880433346
sub-15,MSE,0.12328956929581186
sub-16,MSE,0.07393574943849915
sub-17,MSE,0.05961991346280883
sub-18,MSE,0.08670109988109394
sub-19,MSE,0.25499335282071606
sub-20,MSE,0.12457334192099354
sub-21,MSE,0.09067920960496761
sub-22,MSE,0.12457185559519093
sub-23,MSE,0.14976586239926015
sub-24,MSE,0.06739954914783985
sub-25,MSE,0.059461578478002375
sub-26,MSE,0.06066050667195138
sub-27,MSE,0.06403995739199364
sub-28,MSE,0.09693284284581848
sub-29,MSE,0.038256333399392266
