score,benchmark,occluder_type,metric,visibility
0.5153452685421995,ImageNet-1K,,accuracy,
0.0372261069715023,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.1030648308901154,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.1718085672782392,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.2376159727573394,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.2920662128195471,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.3364461858053597,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.380051741794664,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.417519854039562,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.4570549759937792,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.0297894269342021,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.0953187636879025,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.1631969751752152,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.2155802053760509,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.2523071171373737,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.3196225476508237,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.3610870689153671,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.4155002963178011,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.4589682412999017,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0085015032839562,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.056648217331694,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.1299947992879517,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.195081883243152,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.2609386389352837,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.3357030870963116,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.3928239266483151,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.4322261828549054,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.4521797560915655,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
