subject,metric_sim,value
sub-00,Pearson R,0.10604787986831907
sub-01,Pearson R,0.26033566301266814
sub-02,Pearson R,0.3866667702839766
sub-03,Pearson R,0.38901589042331997
sub-04,Pearson R,0.34170960926365884
sub-05,Pearson R,0.2677797206411399
sub-06,Pearson R,0.22741295664628342
sub-07,Pearson R,0.493529095582602
sub-08,Pearson R,0.3087434478307751
sub-09,Pearson R,0.6875044630423259
sub-10,Pearson R,0.045202634383815075
sub-11,Pearson R,0.49345884348215413
sub-12,Pearson R,0.6763963455985835
sub-13,Pearson R,0.5028225280904588
sub-14,Pearson R,0.3814260586373501
sub-15,Pearson R,0.4676327733558846
sub-16,Pearson R,0.16318396016773393
sub-17,Pearson R,0.2909870565617193
sub-18,Pearson R,0.34793971463801737
sub-19,Pearson R,0.17431787583875444
sub-20,Pearson R,-0.05468398686436094
sub-21,Pearson R,0.6379244652648022
sub-22,Pearson R,0.4041656906667652
sub-23,Pearson R,0.31674971596583923
sub-24,Pearson R,0.3141407064022079
sub-25,Pearson R,0.41861680154386033
sub-26,Pearson R,0.3899592139017818
sub-27,Pearson R,0.3450395632809983
sub-28,Pearson R,0.5518806075324979
sub-29,Pearson R,0.5446561981873589
sub-00,MSE,0.014702156823886904
sub-01,MSE,0.018370491478398737
sub-02,MSE,0.016453874355925487
sub-03,MSE,0.016791889615537056
sub-04,MSE,0.014113778240190247
sub-05,MSE,0.03217015953230281
sub-06,MSE,0.02218539437177962
sub-07,MSE,0.012841978795085219
sub-08,MSE,0.013059023649094994
sub-09,MSE,0.04665692297529397
sub-10,MSE,0.057597767208349845
sub-11,MSE,0.05354174924032237
sub-12,MSE,0.02646729257497688
sub-13,MSE,0.00970100079270709
sub-14,MSE,0.02435253996564936
sub-15,MSE,0.029850789404148505
sub-16,MSE,0.016272047166072143
sub-17,MSE,0.01045869665741842
sub-18,MSE,0.017608295349451714
sub-19,MSE,0.10430122043863127
sub-20,MSE,0.03422690414850046
sub-21,MSE,0.015979282269784643
sub-22,MSE,0.03194935757695864
sub-23,MSE,0.043951933875016516
sub-24,MSE,0.012550865371911742
sub-25,MSE,0.009882662835249042
sub-26,MSE,0.01410267208349848
sub-27,MSE,0.012092746730083231
sub-28,MSE,0.018523913330690978
sub-29,MSE,0.0063959076496234646
