score,benchmark,occluder_type,metric,visibility
0.5996043797953964,ImageNet-1K,,accuracy,
0.0019730548469387,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.0107023278061224,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.0479996127969756,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.130111531259454,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.2309707923203098,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.3372718506321615,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.4261570700577327,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.488977845834226,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.535243561681436,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.002372600827176,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.0106937864472215,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.0504775571123677,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.1435100826985982,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.2578836779813377,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.3727090167147772,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.4500121477307106,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.5068217017212693,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.5384740951109905,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0032893737863597,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.0157379358056552,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.0799974565755347,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.1894683097394145,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.3324735027794935,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.4221559160826157,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.4809299835136958,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.5118174504260627,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.5286648139661673,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0035275829081632,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.0104356474737275,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.0426584138173838,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.1170261631510695,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.2498984526918859,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.3822876807986473,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
0.4465842140572412,ImageNet-Occluded,horizontal_bars_16,accuracy,0.7
0.4832019860647162,ImageNet-Occluded,horizontal_bars_16,accuracy,0.8
0.509679262127195,ImageNet-Occluded,horizontal_bars_16,accuracy,0.9
0.0018145651128903,ImageNet-Occluded,oblique_bars_02,accuracy,0.1
0.008342064508446,ImageNet-Occluded,oblique_bars_02,accuracy,0.2
0.044929467331694,ImageNet-Occluded,oblique_bars_02,accuracy,0.3
0.129860984579641,ImageNet-Occluded,oblique_bars_02,accuracy,0.4
0.2208435830413078,ImageNet-Occluded,oblique_bars_02,accuracy,0.5
0.3152076121495694,ImageNet-Occluded,oblique_bars_02,accuracy,0.6
0.3909391322914435,ImageNet-Occluded,oblique_bars_02,accuracy,0.7
0.4350581193456844,ImageNet-Occluded,oblique_bars_02,accuracy,0.8
0.4841965804902874,ImageNet-Occluded,oblique_bars_02,accuracy,0.9
0.0012954400510204,ImageNet-Occluded,oblique_bars_04,accuracy,0.1
0.0034896212972092,ImageNet-Occluded,oblique_bars_04,accuracy,0.2
0.0133548955319031,ImageNet-Occluded,oblique_bars_04,accuracy,0.3
0.0394848229515613,ImageNet-Occluded,oblique_bars_04,accuracy,0.4
0.1031739704919104,ImageNet-Occluded,oblique_bars_04,accuracy,0.5
0.2020108266448488,ImageNet-Occluded,oblique_bars_04,accuracy,0.6
0.3059649084295545,ImageNet-Occluded,oblique_bars_04,accuracy,0.7
0.3782058583230388,ImageNet-Occluded,oblique_bars_04,accuracy,0.8
0.4982205495542409,ImageNet-Occluded,oblique_bars_04,accuracy,0.9
0.0013058794952206,ImageNet-Occluded,oblique_bars_08,accuracy,0.1
0.0018639152095063,ImageNet-Occluded,oblique_bars_08,accuracy,0.2
0.0057511844064052,ImageNet-Occluded,oblique_bars_08,accuracy,0.3
0.0282254084678632,ImageNet-Occluded,oblique_bars_08,accuracy,0.4
0.0878317844958938,ImageNet-Occluded,oblique_bars_08,accuracy,0.5
0.1578064261346447,ImageNet-Occluded,oblique_bars_08,accuracy,0.6
0.2798311847205065,ImageNet-Occluded,oblique_bars_08,accuracy,0.7
0.4544859239641501,ImageNet-Occluded,oblique_bars_08,accuracy,0.8
0.5198150131167197,ImageNet-Occluded,oblique_bars_08,accuracy,0.9
0.0018344949598291,ImageNet-Occluded,oblique_bars_16,accuracy,0.1
0.0022027226074655,ImageNet-Occluded,oblique_bars_16,accuracy,0.2
0.0048733220972614,ImageNet-Occluded,oblique_bars_16,accuracy,0.3
0.0240002809168428,ImageNet-Occluded,oblique_bars_16,accuracy,0.4
0.0736417334754856,ImageNet-Occluded,oblique_bars_16,accuracy,0.5
0.3034670340771578,ImageNet-Occluded,oblique_bars_16,accuracy,0.6
0.4672021154238253,ImageNet-Occluded,oblique_bars_16,accuracy,0.7
0.4914073889352837,ImageNet-Occluded,oblique_bars_16,accuracy,0.8
0.5194135691438403,ImageNet-Occluded,oblique_bars_16,accuracy,0.9
0.0022520727040816,ImageNet-Occluded,vertical_bars_02,accuracy,0.1
0.0137829127227317,ImageNet-Occluded,vertical_bars_02,accuracy,0.2
0.0570012603183181,ImageNet-Occluded,vertical_bars_02,accuracy,0.3
0.1417363263210471,ImageNet-Occluded,vertical_bars_02,accuracy,0.4
0.2455176826642484,ImageNet-Occluded,vertical_bars_02,accuracy,0.5
0.3589213587799851,ImageNet-Occluded,vertical_bars_02,accuracy,0.6
0.441710892076395,ImageNet-Occluded,vertical_bars_02,accuracy,0.7
0.5023023717257441,ImageNet-Occluded,vertical_bars_02,accuracy,0.8
0.5354694334828124,ImageNet-Occluded,vertical_bars_02,accuracy,0.9
0.0018838450564451,ImageNet-Occluded,vertical_bars_04,accuracy,0.1
0.0104840485312576,ImageNet-Occluded,vertical_bars_04,accuracy,0.2
0.0514588647959183,ImageNet-Occluded,vertical_bars_04,accuracy,0.3
0.1468488064651586,ImageNet-Occluded,vertical_bars_04,accuracy,0.4
0.2729354576796901,ImageNet-Occluded,vertical_bars_04,accuracy,0.5
0.3980521897272188,ImageNet-Occluded,vertical_bars_04,accuracy,0.6
0.4662654126177029,ImageNet-Occluded,vertical_bars_04,accuracy,0.7
0.5086666363842633,ImageNet-Occluded,vertical_bars_04,accuracy,0.8
0.5401880619477253,ImageNet-Occluded,vertical_bars_04,accuracy,0.9
0.0024722500618699,ImageNet-Occluded,vertical_bars_08,accuracy,0.1
0.0105428890306122,ImageNet-Occluded,vertical_bars_08,accuracy,0.2
0.076036162218269,ImageNet-Occluded,vertical_bars_08,accuracy,0.3
0.2003243819487338,ImageNet-Occluded,vertical_bars_08,accuracy,0.4
0.3385473608362431,ImageNet-Occluded,vertical_bars_08,accuracy,0.5
0.4289026436757068,ImageNet-Occluded,vertical_bars_08,accuracy,0.6
0.4901480121271951,ImageNet-Occluded,vertical_bars_08,accuracy,0.7
0.518722667986033,ImageNet-Occluded,vertical_bars_08,accuracy,0.8
0.5338921285405451,ImageNet-Occluded,vertical_bars_08,accuracy,0.9
0.0036879707251352,ImageNet-Occluded,vertical_bars_16,accuracy,0.1
0.0133150358380255,ImageNet-Occluded,vertical_bars_16,accuracy,0.2
0.0574178890306122,ImageNet-Occluded,vertical_bars_16,accuracy,0.3
0.1681092080413078,ImageNet-Occluded,vertical_bars_16,accuracy,0.4
0.3113345786625025,ImageNet-Occluded,vertical_bars_16,accuracy,0.5
0.4209250108319886,ImageNet-Occluded,vertical_bars_16,accuracy,0.6
0.4670075619099091,ImageNet-Occluded,vertical_bars_16,accuracy,0.7
0.493251374181436,ImageNet-Occluded,vertical_bars_16,accuracy,0.8
0.4997020014086548,ImageNet-Occluded,vertical_bars_16,accuracy,0.9
0.0028300382653061,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.1
0.014781303152594,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.2
0.0422370399215391,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.3
0.1276696504530858,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.4
0.2528091594576835,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.5
0.3644276909074004,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.6
0.441895954767052,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.7
0.4811150465084582,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.8
0.5041767267548308,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.9
0.0016541772959183,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.1
0.0042165861921194,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.2
0.0158271455985246,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.3
0.052187727802262,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.4
0.1458124544243423,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.5
0.2958339026996067,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.6
0.4082078702595769,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.7
0.4865169841416028,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.8
0.5228595344387755,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.9
0.0023934797155765,ImageNet-Occluded,curved_lines,accuracy,0.1
0.0119000167053725,ImageNet-Occluded,curved_lines,accuracy,0.2
0.0515689535104498,ImageNet-Occluded,curved_lines,accuracy,0.3
0.1229975249390212,ImageNet-Occluded,curved_lines,accuracy,0.4
0.2331402986025323,ImageNet-Occluded,curved_lines,accuracy,0.5
0.3272310039218591,ImageNet-Occluded,curved_lines,accuracy,0.6
0.3992565219499627,ImageNet-Occluded,curved_lines,accuracy,0.7
0.46884015871554,ImageNet-Occluded,curved_lines,accuracy,0.8
0.5118392784984744,ImageNet-Occluded,curved_lines,accuracy,0.9
0.0020632136788941,ImageNet-Occluded,empty_ellipses,accuracy,0.1
0.0092702259556675,ImageNet-Occluded,empty_ellipses,accuracy,0.2
0.0349616967331694,ImageNet-Occluded,empty_ellipses,accuracy,0.3
0.1047987275737889,ImageNet-Occluded,empty_ellipses,accuracy,0.4
0.193729500837472,ImageNet-Occluded,empty_ellipses,accuracy,0.5
0.2816030431766899,ImageNet-Occluded,empty_ellipses,accuracy,0.6
0.3689963708118516,ImageNet-Occluded,empty_ellipses,accuracy,0.7
0.441216442049766,ImageNet-Occluded,empty_ellipses,accuracy,0.8
