subject,metric_sim,value
sub-00,Pearson R,-0.5145198727405503
sub-01,Pearson R,-0.6057928440422674
sub-02,Pearson R,-0.5456274849350252
sub-03,Pearson R,-0.5404030082851135
sub-04,Pearson R,-0.6757544901127279
sub-05,Pearson R,-0.6816218729920712
sub-06,Pearson R,-0.401205914740449
sub-07,Pearson R,-0.12328745219099767
sub-08,Pearson R,-0.3366759256356222
sub-09,Pearson R,-0.36910189728140563
sub-10,Pearson R,-0.4643821656795114
sub-11,Pearson R,-0.42070596787758263
sub-12,Pearson R,-0.4789152911197676
sub-13,Pearson R,-0.36375058196459104
sub-14,Pearson R,-0.6367333596999837
sub-15,Pearson R,-0.5342178181051684
sub-16,Pearson R,-0.5347897420751627
sub-17,Pearson R,-0.43102974320308596
sub-18,Pearson R,-0.4253130695268636
sub-19,Pearson R,0.02391288312699196
sub-20,Pearson R,-0.6000760443130873
sub-21,Pearson R,-0.42813117106454573
sub-22,Pearson R,-0.4871682162236144
sub-23,Pearson R,-0.6383546205710819
sub-24,Pearson R,-0.6482781807331137
sub-25,Pearson R,-0.32039737561761145
sub-26,Pearson R,-0.07684645903080142
sub-27,Pearson R,-0.5677898734231277
sub-28,Pearson R,-0.3950281655063575
sub-29,Pearson R,-0.4283525279459832
sub-00,MSE,0.03633604174924032
sub-01,MSE,0.04918268595587264
sub-02,MSE,0.049146229686880705
sub-03,MSE,0.04987473576430176
sub-04,MSE,0.044647864645263574
sub-05,MSE,0.07400333597569031
sub-06,MSE,0.05348543400713437
sub-07,MSE,0.03902146089311667
sub-08,MSE,0.02510495111639583
sub-09,MSE,0.09964670861408377
sub-10,MSE,0.1043177764565993
sub-11,MSE,0.10686946756506804
sub-12,MSE,0.07166542806183114
sub-13,MSE,0.0353459836173867
sub-14,MSE,0.06433297000924826
sub-15,MSE,0.07212045019157089
sub-16,MSE,0.04155630697582243
sub-17,MSE,0.03137856718192628
sub-18,MSE,0.04862865801294756
sub-19,MSE,0.16123740751750562
sub-20,MSE,0.06926732395296605
sub-21,MSE,0.054032567049808425
sub-22,MSE,0.07396204914783988
sub-23,MSE,0.09123538446294094
sub-24,MSE,0.04004826430175717
sub-25,MSE,0.03237795613687409
sub-26,MSE,0.03376610186286168
sub-27,MSE,0.03864798024838155
sub-28,MSE,0.055168697978596914
sub-29,MSE,0.023363431430836308
