subject,metric_sim,value
sub-00,Pearson R,-0.04647147849139433
sub-01,Pearson R,0.26291249289863017
sub-02,Pearson R,0.09271314017289053
sub-03,Pearson R,0.3327138760860596
sub-04,Pearson R,0.1798961845575411
sub-05,Pearson R,0.16799511838411776
sub-06,Pearson R,0.2598964215028066
sub-07,Pearson R,0.005215915523617651
sub-08,Pearson R,0.15278160515222036
sub-09,Pearson R,0.02712399258716497
sub-10,Pearson R,0.35599158788850505
sub-11,Pearson R,-0.08274994672192003
sub-12,Pearson R,0.14912872489389922
sub-13,Pearson R,0.19349626172693066
sub-14,Pearson R,0.01268445477384046
sub-15,Pearson R,-0.047423045104472525
sub-16,Pearson R,0.015692669261666636
sub-17,Pearson R,0.2019617033054275
sub-18,Pearson R,-0.05478275258199036
sub-19,Pearson R,0.003656468576962342
sub-20,Pearson R,-0.0547026543530663
sub-21,Pearson R,0.3777763607227415
sub-22,Pearson R,0.2727208492692037
sub-23,Pearson R,0.2485023273345457
sub-24,Pearson R,0.0904732185889007
sub-25,Pearson R,0.40748163793601677
sub-26,Pearson R,0.1919530366970378
sub-27,Pearson R,0.35206582167665407
sub-28,Pearson R,0.03230669097571267
sub-29,Pearson R,0.34602754637208893
sub-00,MSE,0.02707800733254063
sub-01,MSE,0.03692516349583828
sub-02,MSE,0.0364638657682653
sub-03,MSE,0.034800625908310207
sub-04,MSE,0.030297306447351027
sub-05,MSE,0.059099492997754
sub-06,MSE,0.041128245144669034
sub-07,MSE,0.033580228563878975
sub-08,MSE,0.01588035903025499
sub-09,MSE,0.08816046538512352
sub-10,MSE,0.08788483452239398
sub-11,MSE,0.09615714592416437
sub-12,MSE,0.05909321739992072
sub-13,MSE,0.025449159400184964
sub-14,MSE,0.050440860747787024
sub-15,MSE,0.06155370590566785
sub-16,MSE,0.031160861738670893
sub-17,MSE,0.020971355198837357
sub-18,MSE,0.03953032104637337
sub-19,MSE,0.15418569989430575
sub-20,MSE,0.05936050832342448
sub-21,MSE,0.03870194213238208
sub-22,MSE,0.05983894008455543
sub-23,MSE,0.07571269322235434
sub-24,MSE,0.027661142489100274
sub-25,MSE,0.02038400878583697
sub-26,MSE,0.026322788677500333
sub-27,MSE,0.023003575439291837
sub-28,MSE,0.04527257563746863
sub-29,MSE,0.011775127163429773
