subject,metric_sim,value
sub-00,Pearson R,0.511386398887159
sub-01,Pearson R,0.2596122297086757
sub-02,Pearson R,0.6159666987402721
sub-03,Pearson R,0.5146692690900492
sub-04,Pearson R,0.5300900694746468
sub-05,Pearson R,0.38755667451751824
sub-06,Pearson R,0.45246024385103745
sub-07,Pearson R,0.6288237557035408
sub-08,Pearson R,0.5735886956866562
sub-09,Pearson R,0.5371686996338817
sub-10,Pearson R,0.501810274287039
sub-11,Pearson R,0.3314186451483973
sub-12,Pearson R,0.8502275026311682
sub-13,Pearson R,0.5704460986984468
sub-14,Pearson R,0.509173535883622
sub-15,Pearson R,0.33647234333721787
sub-16,Pearson R,0.3337221476435564
sub-17,Pearson R,0.4788310047570087
sub-18,Pearson R,0.5091184865949107
sub-19,Pearson R,0.010823437350730103
sub-20,Pearson R,0.14718233519109902
sub-21,Pearson R,0.667365779575352
sub-22,Pearson R,0.5161296216949457
sub-23,Pearson R,0.5464593294231025
sub-24,Pearson R,0.40369837078609816
sub-25,Pearson R,0.7183604815825301
sub-26,Pearson R,0.7130836289294158
sub-27,Pearson R,0.696287355502576
sub-28,Pearson R,0.580362812369504
sub-29,Pearson R,0.643909666034281
sub-00,MSE,0.02189659301096579
sub-01,MSE,0.030435865041617112
sub-02,MSE,0.019196310609063287
sub-03,MSE,0.023348320451843048
sub-04,MSE,0.02165465219976219
sub-05,MSE,0.035247349385652
sub-06,MSE,0.026810014532963403
sub-07,MSE,0.018366362795613683
sub-08,MSE,0.02604257497687938
sub-09,MSE,0.04511865834324218
sub-10,MSE,0.047425394702074256
sub-11,MSE,0.05410568602193157
sub-12,MSE,0.020794028273219717
sub-13,MSE,0.02015110978993262
sub-14,MSE,0.026463700620953892
sub-15,MSE,0.03663347205707491
sub-16,MSE,0.027605322697846487
sub-17,MSE,0.02300592878847933
sub-18,MSE,0.023521972849782
sub-19,MSE,0.10057884132646323
sub-20,MSE,0.040520874620161185
sub-21,MSE,0.01888273715153917
sub-22,MSE,0.03236693255383802
sub-23,MSE,0.04021939820319726
sub-24,MSE,0.024929193090236494
sub-25,MSE,0.015796629343374294
sub-26,MSE,0.014839518100145326
sub-27,MSE,0.01602515193552649
sub-28,MSE,0.023368220702866954
sub-29,MSE,0.021691645197516186
