score,benchmark,occluder_type,metric,visibility
0.6737931585677749,ImageNet-1K,,accuracy,
0.0109694693094629,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.0524096867007672,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.1170076726342711,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.2097186700767263,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.2795915920716113,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.3654291879795396,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.4786005434782608,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.5465153452685422,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.5848984974424553,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.0036165281329923,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.068514226342711,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.1648017902813299,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.2858256074168798,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.3732816496163683,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.4316456202046035,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.4887507992327365,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.5236772698209718,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.5738890664961637,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0081521739130434,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.0888746803069053,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.2406489769820972,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.3555187020460358,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.4039322250639386,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.4550631393861892,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.5122682225063938,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.5465752877237852,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.5818614130434783,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0026574488491048,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.0078125,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.0232376918158567,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.095987851662404,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.2304587595907928,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.3567175511508951,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
0.4556226023017903,ImageNet-Occluded,horizontal_bars_16,accuracy,0.7
0.5296914961636828,ImageNet-Occluded,horizontal_bars_16,accuracy,0.8
0.5555466751918159,ImageNet-Occluded,horizontal_bars_16,accuracy,0.9
0.0021179667519181,ImageNet-Occluded,oblique_bars_02,accuracy,0.1
0.0127877237851662,ImageNet-Occluded,oblique_bars_02,accuracy,0.2
0.0548473465473145,ImageNet-Occluded,oblique_bars_02,accuracy,0.3
0.1330722506393861,ImageNet-Occluded,oblique_bars_02,accuracy,0.4
0.2195692135549872,ImageNet-Occluded,oblique_bars_02,accuracy,0.5
0.3101222826086957,ImageNet-Occluded,oblique_bars_02,accuracy,0.6
0.3848505434782608,ImageNet-Occluded,oblique_bars_02,accuracy,0.7
0.422494405370844,ImageNet-Occluded,oblique_bars_02,accuracy,0.8
0.5430187020460358,ImageNet-Occluded,oblique_bars_02,accuracy,0.9
