subject,metric_sim,value
sub-00,Pearson R,0.3991939581277133
sub-01,Pearson R,0.3952741402042502
sub-02,Pearson R,0.6394349910158504
sub-03,Pearson R,0.5515396232986882
sub-04,Pearson R,0.6228564008752225
sub-05,Pearson R,0.45446173590182415
sub-06,Pearson R,0.5935102198731833
sub-07,Pearson R,0.6340995375425438
sub-08,Pearson R,0.5929733391552421
sub-09,Pearson R,0.6581077542400899
sub-10,Pearson R,0.4360444567335911
sub-11,Pearson R,0.6285993474707273
sub-12,Pearson R,0.8497502645156366
sub-13,Pearson R,0.7254578001326812
sub-14,Pearson R,0.55546065537637
sub-15,Pearson R,0.6268159527210097
sub-16,Pearson R,0.5120897492783478
sub-17,Pearson R,0.5423938731904613
sub-18,Pearson R,0.46865547047161726
sub-19,Pearson R,-0.04066786696198851
sub-20,Pearson R,0.13503459819705016
sub-21,Pearson R,0.71061509589082
sub-22,Pearson R,0.5960758905310498
sub-23,Pearson R,0.6128889788396622
sub-24,Pearson R,0.450162275623337
sub-25,Pearson R,0.7752818004289085
sub-26,Pearson R,0.744916311106413
sub-27,Pearson R,0.6949570481873351
sub-28,Pearson R,0.7398904882969961
sub-29,Pearson R,0.5223706285064169
sub-00,MSE,0.02923384033557934
sub-01,MSE,0.02173099154445765
sub-02,MSE,0.01752923107411811
sub-03,MSE,0.018826050336900508
sub-04,MSE,0.019305844563350508
sub-05,MSE,0.019635561170564145
sub-06,MSE,0.016638880631523318
sub-07,MSE,0.01903215418152992
sub-08,MSE,0.042056414321574837
sub-09,MSE,0.019272856387898003
sub-10,MSE,0.02586710595851499
sub-11,MSE,0.021092325604439157
sub-12,MSE,0.00880998976086669
sub-13,MSE,0.018880301228696
sub-14,MSE,0.017405081582771827
sub-15,MSE,0.015575290659268068
sub-16,MSE,0.02281794986127626
sub-17,MSE,0.026451727440877263
sub-18,MSE,0.021320228894173607
sub-19,MSE,0.060588254723213116
sub-20,MSE,0.02631246697053772
sub-21,MSE,0.013470116594001848
sub-22,MSE,0.01624942198441009
sub-23,MSE,0.01858443982031972
sub-24,MSE,0.025252468952305464
sub-25,MSE,0.019662480182322636
sub-26,MSE,0.021497101664684902
sub-27,MSE,0.020598700290659265
sub-28,MSE,0.012400540031708283
sub-29,MSE,0.038921588056546434
