benchmark,metric,score,occluder_type,visibility
ImageNet-1K,accuracy,0.6876992984693877,,
ImageNet-Occluded,accuracy,0.0024122635510807,horizontal_bars_02,0.1
ImageNet-Occluded,accuracy,0.0199046526104211,horizontal_bars_02,0.2
ImageNet-Occluded,accuracy,0.069268627282308,horizontal_bars_02,0.3
ImageNet-Occluded,accuracy,0.1505763862206011,horizontal_bars_02,0.4
ImageNet-Occluded,accuracy,0.2443260103464126,horizontal_bars_02,0.5
ImageNet-Occluded,accuracy,0.3497533962434652,horizontal_bars_02,0.6
ImageNet-Occluded,accuracy,0.4967762535932112,horizontal_bars_02,0.7
ImageNet-Occluded,accuracy,0.580952030055377,horizontal_bars_02,0.8
ImageNet-Occluded,accuracy,0.6174134977009832,horizontal_bars_02,0.9
ImageNet-Occluded,accuracy,0.0015985241387875,horizontal_bars_04,0.1
ImageNet-Occluded,accuracy,0.0045323480224731,horizontal_bars_04,0.2
ImageNet-Occluded,accuracy,0.0287674179642784,horizontal_bars_04,0.3
ImageNet-Occluded,accuracy,0.1782690964791239,horizontal_bars_04,0.4
ImageNet-Occluded,accuracy,0.3517309634052977,horizontal_bars_04,0.5
ImageNet-Occluded,accuracy,0.4528546308984562,horizontal_bars_04,0.6
ImageNet-Occluded,accuracy,0.5251326658287827,horizontal_bars_04,0.7
ImageNet-Occluded,accuracy,0.5554279125466639,horizontal_bars_04,0.8
ImageNet-Occluded,accuracy,0.5919393921385006,horizontal_bars_04,0.9
ImageNet-Occluded,accuracy,0.0020369807714406,horizontal_bars_08,0.1
ImageNet-Occluded,accuracy,0.0116612166926568,horizontal_bars_08,0.2
ImageNet-Occluded,accuracy,0.0778832096530466,horizontal_bars_08,0.3
ImageNet-Occluded,accuracy,0.2116294040971872,horizontal_bars_08,0.4
ImageNet-Occluded,accuracy,0.3226597096238817,horizontal_bars_08,0.5
ImageNet-Occluded,accuracy,0.4098479017919423,horizontal_bars_08,0.6
ImageNet-Occluded,accuracy,0.5034080038265306,horizontal_bars_08,0.7
ImageNet-Occluded,accuracy,0.565998628431437,horizontal_bars_08,0.8
ImageNet-Occluded,accuracy,0.6097672046447287,horizontal_bars_08,0.9
ImageNet-Occluded,accuracy,0.0019937367653664,horizontal_bars_16,0.1
ImageNet-Occluded,accuracy,0.0026747358734814,horizontal_bars_16,0.2
ImageNet-Occluded,accuracy,0.00448835194491,horizontal_bars_16,0.3
ImageNet-Occluded,accuracy,0.0173137725083803,horizontal_bars_16,0.4
ImageNet-Occluded,accuracy,0.0855877876889948,horizontal_bars_16,0.5
ImageNet-Occluded,accuracy,0.2333014206010468,horizontal_bars_16,0.6
ImageNet-Occluded,accuracy,0.3717202240107011,horizontal_bars_16,0.7
ImageNet-Occluded,accuracy,0.5168850932802472,horizontal_bars_16,0.8
ImageNet-Occluded,accuracy,0.6031313173624934,horizontal_bars_16,0.9
ImageNet-Occluded,accuracy,0.0017222396041057,oblique_bars_02,0.1
ImageNet-Occluded,accuracy,0.006593395024538,oblique_bars_02,0.2
ImageNet-Occluded,accuracy,0.0448914161902301,oblique_bars_02,0.3
ImageNet-Occluded,accuracy,0.1324056303318666,oblique_bars_02,0.4
ImageNet-Occluded,accuracy,0.2307827390578328,oblique_bars_02,0.5
ImageNet-Occluded,accuracy,0.3272447026505762,oblique_bars_02,0.6
ImageNet-Occluded,accuracy,0.4184263847312148,oblique_bars_02,0.7
ImageNet-Occluded,accuracy,0.4638762127379982,oblique_bars_02,0.8
ImageNet-Occluded,accuracy,0.5694641653372317,oblique_bars_02,0.9
ImageNet-Occluded,accuracy,0.0013394361285834,oblique_bars_04,0.1
ImageNet-Occluded,accuracy,0.0022404156245139,oblique_bars_04,0.2
ImageNet-Occluded,accuracy,0.0044011118612727,oblique_bars_04,0.3
ImageNet-Occluded,accuracy,0.0119793421531818,oblique_bars_04,0.4
ImageNet-Occluded,accuracy,0.0337773302227866,oblique_bars_04,0.5
ImageNet-Occluded,accuracy,0.0776282579314951,oblique_bars_04,0.6
ImageNet-Occluded,accuracy,0.188410004486843,oblique_bars_04,0.7
ImageNet-Occluded,accuracy,0.3524149711034736,oblique_bars_04,0.8
ImageNet-Occluded,accuracy,0.511498394061108,oblique_bars_04,0.9
ImageNet-Occluded,accuracy,0.0012837829714526,oblique_bars_08,0.1
ImageNet-Occluded,accuracy,0.0011758609693877,oblique_bars_08,0.2
ImageNet-Occluded,accuracy,0.0027867942592319,oblique_bars_08,0.3
