subject,metric_sim,value
sub-00,Pearson R,0.16572141087134468
sub-01,Pearson R,0.24662679827755693
sub-02,Pearson R,0.43472158925206184
sub-03,Pearson R,0.4736133583047529
sub-04,Pearson R,0.44468394080295115
sub-05,Pearson R,0.23451229257053086
sub-06,Pearson R,0.5862151643996404
sub-07,Pearson R,0.6027593534401557
sub-08,Pearson R,0.36277567330768307
sub-09,Pearson R,0.23130486935075018
sub-10,Pearson R,0.1824911496697449
sub-11,Pearson R,0.4779509191431621
sub-12,Pearson R,0.5882197724197361
sub-13,Pearson R,0.5854731251902703
sub-14,Pearson R,0.29706121093144905
sub-15,Pearson R,0.5105297692391753
sub-16,Pearson R,0.192035706707341
sub-17,Pearson R,0.2579201952393799
sub-18,Pearson R,0.27015149681322953
sub-19,Pearson R,0.09023657996070988
sub-20,Pearson R,-0.15560693304298193
sub-21,Pearson R,0.3890494650512624
sub-22,Pearson R,0.42117703401143797
sub-23,Pearson R,0.4288109387359905
sub-24,Pearson R,0.46454700617186967
sub-25,Pearson R,0.5822257241303052
sub-26,Pearson R,0.6642933317494496
sub-27,Pearson R,0.5724538478440325
sub-28,Pearson R,0.45145848665558597
sub-29,Pearson R,0.3879854296068964
sub-00,MSE,0.06237659367155503
sub-01,MSE,0.08439275333597568
sub-02,MSE,0.07251556513409962
sub-03,MSE,0.07679292178623331
sub-04,MSE,0.0674580112960761
sub-05,MSE,0.11445443585678422
sub-06,MSE,0.08357387039239
sub-07,MSE,0.06289821145461752
sub-08,MSE,0.03484855991544459
sub-09,MSE,0.15211747753996566
sub-10,MSE,0.15726103184040163
sub-11,MSE,0.154146147113225
sub-12,MSE,0.1059723873695336
sub-13,MSE,0.05721243724402166
sub-14,MSE,0.09538743559254856
sub-15,MSE,0.10966871449332807
sub-16,MSE,0.07012840203461487
sub-17,MSE,0.056434923701942113
sub-18,MSE,0.0804231486986392
sub-19,MSE,0.23925584621482365
sub-20,MSE,0.11957358964196062
sub-21,MSE,0.08321975326991676
sub-22,MSE,0.11315208415906988
sub-23,MSE,0.1367695947284978
sub-24,MSE,0.061097940613026806
sub-25,MSE,0.05146444378385519
sub-26,MSE,0.04733964196062888
sub-27,MSE,0.0544029098956269
sub-28,MSE,0.08690534581847009
sub-29,MSE,0.03701838915312459
