benchmark,score,occluder_type,visibility,metric
ImageNet-1K,0.6551244139214001,,,accuracy
ImageNet-Occluded,0.0039585188449341,natural,0.1,accuracy
ImageNet-Occluded,0.0109106511143701,natural,0.2,accuracy
ImageNet-Occluded,0.0178037459144786,natural,0.3,accuracy
ImageNet-Occluded,0.0379110813444974,natural,0.4,accuracy
ImageNet-Occluded,0.0816822897414771,natural,0.5,accuracy
ImageNet-Occluded,0.124318248915429,natural,0.6,accuracy
ImageNet-Occluded,0.2393657346161044,natural,0.7,accuracy
ImageNet-Occluded,0.3896202347716506,natural,0.8,accuracy
ImageNet-Occluded,0.470071010443629,natural,0.9,accuracy
ImageNet-Occluded,0.0390828058731799,natural_silhouette,0.1,accuracy
ImageNet-Occluded,0.1012846102215805,natural_silhouette,0.2,accuracy
ImageNet-Occluded,0.2148922584494766,natural_silhouette,0.3,accuracy
ImageNet-Occluded,0.2881735538949772,natural_silhouette,0.4,accuracy
ImageNet-Occluded,0.3096801145952575,natural_silhouette,0.5,accuracy
ImageNet-Occluded,0.4425896321024213,natural_silhouette,0.6,accuracy
ImageNet-Occluded,0.5140464056511315,natural_silhouette,0.7,accuracy
ImageNet-Occluded,0.5783852168491909,natural_silhouette,0.8,accuracy
ImageNet-Occluded,0.5881207585334778,natural_silhouette,0.9,accuracy
ImageNet-Occluded,0.0109388537286799,curved_lines,0.1,accuracy
ImageNet-Occluded,0.0690117954295508,curved_lines,0.2,accuracy
ImageNet-Occluded,0.2183600518168235,curved_lines,0.3,accuracy
ImageNet-Occluded,0.3401930867409219,curved_lines,0.4,accuracy
ImageNet-Occluded,0.4350335877768847,curved_lines,0.5,accuracy
ImageNet-Occluded,0.5000266986233848,curved_lines,0.6,accuracy
ImageNet-Occluded,0.5427164313744526,curved_lines,0.7,accuracy
ImageNet-Occluded,0.5742119818317647,curved_lines,0.8,accuracy
ImageNet-Occluded,0.6044884275416939,curved_lines,0.9,accuracy
ImageNet-Occluded,0.0063625096286437,straight_lines,0.1,accuracy
ImageNet-Occluded,0.0732030798586047,straight_lines,0.2,accuracy
ImageNet-Occluded,0.2311674228736332,straight_lines,0.3,accuracy
ImageNet-Occluded,0.3542417482453949,straight_lines,0.4,accuracy
ImageNet-Occluded,0.4273692454610552,straight_lines,0.5,accuracy
ImageNet-Occluded,0.4970345898550384,straight_lines,0.6,accuracy
ImageNet-Occluded,0.5443551905301153,straight_lines,0.7,accuracy
ImageNet-Occluded,0.5727014492969124,straight_lines,0.8,accuracy
ImageNet-Occluded,0.598282724010701,straight_lines,0.9,accuracy
ImageNet-Occluded,0.0045048974796521,empty_rectangles,0.1,accuracy
ImageNet-Occluded,0.023100948835514,empty_rectangles,0.2,accuracy
ImageNet-Occluded,0.0910549583483715,empty_rectangles,0.3,accuracy
ImageNet-Occluded,0.1756210591720075,empty_rectangles,0.4,accuracy
ImageNet-Occluded,0.2684437571739664,empty_rectangles,0.5,accuracy
ImageNet-Occluded,0.3430607282385534,empty_rectangles,0.6,accuracy
ImageNet-Occluded,0.4104416607594003,empty_rectangles,0.7,accuracy
ImageNet-Occluded,0.4729931774188061,empty_rectangles,0.8,accuracy
ImageNet-Occluded,0.554773611681802,empty_rectangles,0.9,accuracy
ImageNet-Occluded,0.0132480837328701,filled_rectangles,0.1,accuracy
ImageNet-Occluded,0.047228096699228,filled_rectangles,0.2,accuracy
ImageNet-Occluded,0.0950856757711391,filled_rectangles,0.3,accuracy
ImageNet-Occluded,0.1637263249377815,filled_rectangles,0.4,accuracy
ImageNet-Occluded,0.2409465848183145,filled_rectangles,0.5,accuracy
ImageNet-Occluded,0.3090728186831182,filled_rectangles,0.6,accuracy
ImageNet-Occluded,0.378789303254108,filled_rectangles,0.7,accuracy
ImageNet-Occluded,0.4652509956943745,filled_rectangles,0.8,accuracy
ImageNet-Occluded,0.5654729312779952,filled_rectangles,0.9,accuracy
ImageNet-Occluded,0.0065975314082235,empty_triangles,0.1,accuracy
ImageNet-Occluded,0.0629076218726683,empty_triangles,0.2,accuracy
ImageNet-Occluded,0.1768085774110288,empty_triangles,0.3,accuracy
ImageNet-Occluded,0.2937644397725864,empty_triangles,0.4,accuracy
ImageNet-Occluded,0.400108598932928,empty_triangles,0.5,accuracy
ImageNet-Occluded,0.4708456421385006,empty_triangles,0.6,accuracy
ImageNet-Occluded,0.5281800518230516,empty_triangles,0.7,accuracy
ImageNet-Occluded,0.5543968251773289,empty_triangles,0.8,accuracy
ImageNet-Occluded,0.589381603562102,empty_triangles,0.9,accuracy
ImageNet-Occluded,0.0083754241694601,filled_triangles,0.1,accuracy
ImageNet-Occluded,0.0410566127726009,filled_triangles,0.2,accuracy
ImageNet-Occluded,0.0999485584242003,filled_triangles,0.3,accuracy
ImageNet-Occluded,0.1602164157191101,filled_triangles,0.4,accuracy
ImageNet-Occluded,0.2395488635009648,filled_triangles,0.5,accuracy
ImageNet-Occluded,0.3123962143246008,filled_triangles,0.6,accuracy
ImageNet-Occluded,0.3659943415194142,filled_triangles,0.7,accuracy
ImageNet-Occluded,0.4591697600423073,filled_triangles,0.8,accuracy
ImageNet-Occluded,0.5577766262755102,filled_triangles,0.9,accuracy
ImageNet-Occluded,0.0066614573327254,empty_ellipses,0.1,accuracy
ImageNet-Occluded,0.071186781081618,empty_ellipses,0.2,accuracy
ImageNet-Occluded,0.2173079063697737,empty_ellipses,0.3,accuracy
ImageNet-Occluded,0.3385704962574706,empty_ellipses,0.4,accuracy
ImageNet-Occluded,0.4144084520485936,empty_ellipses,0.5,accuracy
ImageNet-Occluded,0.4817055287409801,empty_ellipses,0.6,accuracy
ImageNet-Occluded,0.5250018056558103,empty_ellipses,0.7,accuracy
ImageNet-Occluded,0.561473801427958,empty_ellipses,0.8,accuracy
ImageNet-Occluded,0.5934081843921116,empty_ellipses,0.9,accuracy
ImageNet-Occluded,0.0116762580654146,filled_ellipses,0.1,accuracy
ImageNet-Occluded,0.0367784643431707,filled_ellipses,0.2,accuracy
ImageNet-Occluded,0.0782111119859072,filled_ellipses,0.3,accuracy
ImageNet-Occluded,0.114293911931466,filled_ellipses,0.4,accuracy
ImageNet-Occluded,0.156844887198234,filled_ellipses,0.5,accuracy
ImageNet-Occluded,0.2216669023036956,filled_ellipses,0.6,accuracy
ImageNet-Occluded,0.2899499426082689,filled_ellipses,0.7,accuracy
ImageNet-Occluded,0.3918877250077773,filled_ellipses,0.8,accuracy
ImageNet-Occluded,0.5202002160403193,filled_ellipses,0.9,accuracy
ImageNet-Occluded,0.0624278012891204,horizontal_bars_04,0.1,accuracy
ImageNet-Occluded,0.1853791636471845,horizontal_bars_04,0.2,accuracy
ImageNet-Occluded,0.3018300113629322,horizontal_bars_04,0.3,accuracy
ImageNet-Occluded,0.3921156020797028,horizontal_bars_04,0.4,accuracy
ImageNet-Occluded,0.4622645268634874,horizontal_bars_04,0.5,accuracy
ImageNet-Occluded,0.0669477401795436,horizontal_bars_02,0.1,accuracy
ImageNet-Occluded,0.1778648592987839,horizontal_bars_02,0.2,accuracy
ImageNet-Occluded,0.2699494009115258,horizontal_bars_02,0.3,accuracy
ImageNet-Occluded,0.3550776735860474,horizontal_bars_02,0.4,accuracy
ImageNet-Occluded,0.4275061220538859,horizontal_bars_02,0.5,accuracy
ImageNet-Occluded,0.4832683296836152,horizontal_bars_02,0.6,accuracy
ImageNet-Occluded,0.5302621564086603,horizontal_bars_02,0.7,accuracy
ImageNet-Occluded,0.578020839058623,horizontal_bars_02,0.8,accuracy
ImageNet-Occluded,0.6148079512070637,horizontal_bars_02,0.9,accuracy
ImageNet-Occluded,0.517327685745395,horizontal_bars_04,0.6,accuracy
ImageNet-Occluded,0.5551650645781536,horizontal_bars_04,0.7,accuracy
ImageNet-Occluded,0.5894150709619328,horizontal_bars_04,0.8,accuracy
ImageNet-Occluded,0.6093471731458392,horizontal_bars_04,0.9,accuracy
ImageNet-Occluded,0.0352088948901818,horizontal_bars_08,0.1,accuracy
ImageNet-Occluded,0.1753736284314369,horizontal_bars_08,0.2,accuracy
ImageNet-Occluded,0.3127425428555936,horizontal_bars_08,0.3,accuracy
