subject,metric_sim,value
sub-00,Pearson R,0.03996271348512271
sub-01,Pearson R,0.2324817795830752
sub-02,Pearson R,0.21238641046264395
sub-03,Pearson R,0.4130731708799797
sub-04,Pearson R,0.2775023693783732
sub-05,Pearson R,0.023767559199595573
sub-06,Pearson R,0.3752427507244897
sub-07,Pearson R,0.3914679852897289
sub-08,Pearson R,0.22959775447914385
sub-09,Pearson R,-0.010144934953694283
sub-10,Pearson R,0.1432163512406437
sub-11,Pearson R,0.16836897787251515
sub-12,Pearson R,0.5422649503891703
sub-13,Pearson R,0.36008511104576063
sub-14,Pearson R,0.20058486201581321
sub-15,Pearson R,0.2652481292171484
sub-16,Pearson R,-0.14142770610145472
sub-17,Pearson R,0.1358463226140046
sub-18,Pearson R,0.10494456661795555
sub-19,Pearson R,0.09535631852437941
sub-20,Pearson R,-0.18893486491241265
sub-21,Pearson R,0.25456496387187777
sub-22,Pearson R,0.1986827451845584
sub-23,Pearson R,0.22949929082215753
sub-24,Pearson R,0.25422182703532553
sub-25,Pearson R,0.33009841568384396
sub-26,Pearson R,0.5609024604637745
sub-27,Pearson R,0.4209768502201052
sub-28,Pearson R,0.24275189116374596
sub-29,Pearson R,0.45065876875396194
sub-00,MSE,0.03683598394768133
sub-01,MSE,0.047932149227110574
sub-02,MSE,0.04454786794820981
sub-03,MSE,0.042839790593209144
sub-04,MSE,0.03875206434139253
sub-05,MSE,0.0730635239133307
sub-06,MSE,0.04962627163429779
sub-07,MSE,0.0364182025366627
sub-08,MSE,0.02191397476549082
sub-09,MSE,0.1031430836305985
sub-10,MSE,0.10318808627295546
sub-11,MSE,0.10618328048619369
sub-12,MSE,0.06291295085216013
sub-13,MSE,0.03211524805126172
sub-14,MSE,0.058426806711586746
sub-15,MSE,0.0696600855463073
sub-16,MSE,0.04557776786893909
sub-17,MSE,0.031666831813978065
sub-18,MSE,0.04873179250891795
sub-19,MSE,0.1686982263178756
sub-20,MSE,0.07473279165015193
sub-21,MSE,0.0500374058660325
sub-22,MSE,0.07236784086405074
sub-23,MSE,0.08847730050204783
sub-24,MSE,0.03537686616461883
sub-25,MSE,0.02936860054168319
sub-26,MSE,0.025026919011758495
sub-27,MSE,0.02967837561104505
sub-28,MSE,0.053197871251156034
sub-29,MSE,0.016820377526753867
