score,benchmark,occluder_type,metric,visibility
0.6989889705882353,ImageNet-1K,,accuracy,
0.0097906010230179,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.061201246803069,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.1486173273657289,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.2577325767263427,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.3654691496163683,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.4624960038363171,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.5374240728900256,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.6009031329923273,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.6573689258312021,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.0052349744245524,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.0688139386189258,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.1717151534526854,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.2795116687979539,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.3740808823529412,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.4773217710997442,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.5736293158567775,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.6268781969309463,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.6577885230179028,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0040161445012787,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.044337436061381,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.1897778132992327,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.3580362851662404,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.4713475063938619,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.5541480179028133,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.6189657928388747,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.638946611253197,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.6499960038363172,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0061740728900255,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.0270540281329923,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.0874760230179028,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.2342351342710997,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.3736413043478261,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.4821970907928389,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
0.5464354219948849,ImageNet-Occluded,horizontal_bars_16,accuracy,0.7
0.6025415601023018,ImageNet-Occluded,horizontal_bars_16,accuracy,0.8
0.6246203644501279,ImageNet-Occluded,horizontal_bars_16,accuracy,0.9
0.0023777173913043,ImageNet-Occluded,oblique_bars_02,accuracy,0.1
0.0182025255754475,ImageNet-Occluded,oblique_bars_02,accuracy,0.2
0.0832800511508951,ImageNet-Occluded,oblique_bars_02,accuracy,0.3
0.1834638746803069,ImageNet-Occluded,oblique_bars_02,accuracy,0.4
0.2808503836317135,ImageNet-Occluded,oblique_bars_02,accuracy,0.5
0.3689657928388747,ImageNet-Occluded,oblique_bars_02,accuracy,0.6
0.435082320971867,ImageNet-Occluded,oblique_bars_02,accuracy,0.7
0.4687699808184143,ImageNet-Occluded,oblique_bars_02,accuracy,0.8
0.602121962915601,ImageNet-Occluded,oblique_bars_02,accuracy,0.9
0.0018382352941176,ImageNet-Occluded,oblique_bars_04,accuracy,0.1
0.0040760869565217,ImageNet-Occluded,oblique_bars_04,accuracy,0.2
0.0091112531969309,ImageNet-Occluded,oblique_bars_04,accuracy,0.3
0.0220388427109974,ImageNet-Occluded,oblique_bars_04,accuracy,0.4
0.0575847186700767,ImageNet-Occluded,oblique_bars_04,accuracy,0.5
0.0968270460358056,ImageNet-Occluded,oblique_bars_04,accuracy,0.6
0.1839234335038363,ImageNet-Occluded,oblique_bars_04,accuracy,0.7
0.4280490728900256,ImageNet-Occluded,oblique_bars_04,accuracy,0.8
0.6066775895140665,ImageNet-Occluded,oblique_bars_04,accuracy,0.9
