subject,metric_sim,value
sub-00,Pearson R,-0.001916233954793134
sub-01,Pearson R,0.11276081428151115
sub-02,Pearson R,0.1325208309687088
sub-03,Pearson R,0.060717632323420916
sub-04,Pearson R,0.034247550431459745
sub-05,Pearson R,0.27474835687173244
sub-06,Pearson R,0.1817172448211888
sub-07,Pearson R,-0.051586242849740206
sub-08,Pearson R,0.1500377939151159
sub-09,Pearson R,-0.1565972027765534
sub-10,Pearson R,0.29978746218291374
sub-11,Pearson R,0.08896340874597776
sub-12,Pearson R,-0.29630895222198333
sub-13,Pearson R,0.19752926267949358
sub-14,Pearson R,-0.15192623990491128
sub-15,Pearson R,0.036045695152008825
sub-16,Pearson R,0.10719180560954011
sub-17,Pearson R,-0.08227012739671895
sub-18,Pearson R,-0.009848616141635598
sub-19,Pearson R,-0.04196595565219233
sub-20,Pearson R,0.06395798713147367
sub-21,Pearson R,0.011075725703390193
sub-22,Pearson R,0.13934773856201998
sub-23,Pearson R,0.29133048082742047
sub-24,Pearson R,0.22586230953882855
sub-25,Pearson R,0.3268689424988023
sub-26,Pearson R,0.18510367337260916
sub-27,Pearson R,0.18959707835841502
sub-28,Pearson R,-0.1460579262390495
sub-29,Pearson R,-0.09472570012369513
sub-00,MSE,0.01215698903421852
sub-01,MSE,0.014942982890738532
sub-02,MSE,0.016162100343506413
sub-03,MSE,0.016280139384330827
sub-04,MSE,0.013717796274276654
sub-05,MSE,0.026688755119566653
sub-06,MSE,0.017739504888360416
sub-07,MSE,0.016323490553573787
sub-08,MSE,0.013851111441405736
sub-09,MSE,0.04931377163429779
sub-10,MSE,0.047522625181662045
sub-11,MSE,0.05252947879508521
sub-12,MSE,0.03245487349715947
sub-13,MSE,0.010086165609723871
sub-14,MSE,0.026101986722156172
sub-15,MSE,0.02876007398599552
sub-16,MSE,0.01274206467168714
sub-17,MSE,0.010739405799973574
sub-18,MSE,0.017583647113225003
sub-19,MSE,0.09738782368873035
sub-20,MSE,0.026607956797463334
sub-21,MSE,0.0203448275862069
sub-22,MSE,0.02958097998414586
sub-23,MSE,0.038026035473642486
sub-24,MSE,0.010056026225393047
sub-25,MSE,0.008361367089443787
sub-26,MSE,0.015177037917822692
sub-27,MSE,0.010985640441273615
sub-28,MSE,0.022295547628484607
sub-29,MSE,0.011700439291848327
