subject,metric_sim,value
sub-00,Pearson R,0.5572884214818821
sub-01,Pearson R,0.4101031803615152
sub-02,Pearson R,0.7130540911635581
sub-03,Pearson R,0.5630833337237835
sub-04,Pearson R,0.6183100950561675
sub-05,Pearson R,0.421167904874294
sub-06,Pearson R,0.4243119040088846
sub-07,Pearson R,0.734786807358047
sub-08,Pearson R,0.7126461439228703
sub-09,Pearson R,0.6962876232766388
sub-10,Pearson R,0.5261368690513095
sub-11,Pearson R,0.6519660447621785
sub-12,Pearson R,0.8080739654702984
sub-13,Pearson R,0.775531683029092
sub-14,Pearson R,0.575924711854598
sub-15,Pearson R,0.6670037769842421
sub-16,Pearson R,0.5913777483374473
sub-17,Pearson R,0.6422737016297596
sub-18,Pearson R,0.637404563630613
sub-19,Pearson R,-0.031582431257661005
sub-20,Pearson R,0.31522371602480015
sub-21,Pearson R,0.5447915221466568
sub-22,Pearson R,0.5368128166924022
sub-23,Pearson R,0.6551161580189316
sub-24,Pearson R,0.4573930064688526
sub-25,Pearson R,0.729443744038433
sub-26,Pearson R,0.7641768259673978
sub-27,Pearson R,0.6998595085171145
sub-28,Pearson R,0.7258444148357344
sub-29,Pearson R,0.4531703324954244
sub-00,MSE,0.03479773583036068
sub-01,MSE,0.02713597403884265
sub-02,MSE,0.02234509182190514
sub-03,MSE,0.02473411282864315
sub-04,MSE,0.027100880235169773
sub-05,MSE,0.022071607874223808
sub-06,MSE,0.025970942330558855
sub-07,MSE,0.024012088783194604
sub-08,MSE,0.053699052054432546
sub-09,MSE,0.015280709142555162
sub-10,MSE,0.019941207557140968
sub-11,MSE,0.016609443123265955
sub-12,MSE,0.011521667327255913
sub-13,MSE,0.0267255416831814
sub-14,MSE,0.020900837296868806
sub-15,MSE,0.0159327520147972
sub-16,MSE,0.029030750429383016
sub-17,MSE,0.0344451463205179
sub-18,MSE,0.02301608534813053
sub-19,MSE,0.04984335777513542
sub-20,MSE,0.024271411348923234
sub-21,MSE,0.024270874620161184
sub-22,MSE,0.019054407781741313
sub-23,MSE,0.016119863918615408
sub-24,MSE,0.034067660853481306
sub-25,MSE,0.031084811401770385
sub-26,MSE,0.03140391729422645
sub-27,MSE,0.029930927137006205
sub-28,MSE,0.017352771171885318
sub-29,MSE,0.05579522559122737
