subject,metric_sim,value
sub-00,Pearson R,0.32022992084668095
sub-01,Pearson R,0.30584130669977494
sub-02,Pearson R,0.5919873642564015
sub-03,Pearson R,0.5464999496429747
sub-04,Pearson R,0.5618090771251489
sub-05,Pearson R,0.4447391509726391
sub-06,Pearson R,0.5239701860316005
sub-07,Pearson R,0.669485594080231
sub-08,Pearson R,0.39139528055067824
sub-09,Pearson R,0.6371156568207054
sub-10,Pearson R,0.13265397675299528
sub-11,Pearson R,0.6735946753389677
sub-12,Pearson R,0.7014505927108299
sub-13,Pearson R,0.6624583272484961
sub-14,Pearson R,0.4775541298598579
sub-15,Pearson R,0.661229616000388
sub-16,Pearson R,0.4062351323973624
sub-17,Pearson R,0.2808322395049021
sub-18,Pearson R,0.44810004289586847
sub-19,Pearson R,0.17842895605267814
sub-20,Pearson R,0.004365622457629594
sub-21,Pearson R,0.6293272974920041
sub-22,Pearson R,0.5451956235431936
sub-23,Pearson R,0.5585080214206309
sub-24,Pearson R,0.6239371716183035
sub-25,Pearson R,0.6320666155181225
sub-26,Pearson R,0.568634136908226
sub-27,Pearson R,0.5232666702758683
sub-28,Pearson R,0.6569501014183378
sub-29,Pearson R,0.5746081702400104
sub-00,MSE,0.027062359624785308
sub-01,MSE,0.02456500198176774
sub-02,MSE,0.01732676047033954
sub-03,MSE,0.018759289536266356
sub-04,MSE,0.018609748645792044
sub-05,MSE,0.025043640177037908
sub-06,MSE,0.019615867353679477
sub-07,MSE,0.015475128814902893
sub-08,MSE,0.03802438400052847
sub-09,MSE,0.029445517901968556
sub-10,MSE,0.04471759809750296
sub-11,MSE,0.030348914982164094
sub-12,MSE,0.01754797529396221
sub-13,MSE,0.016712990487514862
sub-14,MSE,0.02191219943189325
sub-15,MSE,0.02011250660589246
sub-16,MSE,0.023339567644338755
sub-17,MSE,0.028221404743030785
sub-18,MSE,0.021705724005813186
sub-19,MSE,0.07551042905271503
sub-20,MSE,0.034747613621350246
sub-21,MSE,0.016248265953230288
sub-22,MSE,0.022768240520544318
sub-23,MSE,0.02870528636543797
sub-24,MSE,0.01774090864050733
sub-25,MSE,0.018536258092218257
sub-26,MSE,0.02200761329105562
sub-27,MSE,0.02130800799312987
sub-28,MSE,0.015865082903950323
sub-29,MSE,0.028052954485400974
