subject,metric_sim,value
sub-00,Pearson R,0.5373029497292088
sub-01,Pearson R,0.32501197483232847
sub-02,Pearson R,0.6751004811791194
sub-03,Pearson R,0.4803256800186102
sub-04,Pearson R,0.5615896936565268
sub-05,Pearson R,0.44213923121615883
sub-06,Pearson R,0.36304826463337286
sub-07,Pearson R,0.577604080697285
sub-08,Pearson R,0.32403710380203893
sub-09,Pearson R,0.6761106876094017
sub-10,Pearson R,0.08504779024484634
sub-11,Pearson R,0.6577196820097401
sub-12,Pearson R,0.5477797697072044
sub-13,Pearson R,0.5797379680106413
sub-14,Pearson R,0.5742104343417327
sub-15,Pearson R,0.5378580147083766
sub-16,Pearson R,0.6360909342671437
sub-17,Pearson R,0.24309243438358388
sub-18,Pearson R,0.4344660999244139
sub-19,Pearson R,0.19285491040189762
sub-20,Pearson R,0.3377986129009799
sub-21,Pearson R,0.47443569960689264
sub-22,Pearson R,0.5828667677407732
sub-23,Pearson R,0.43950626215337596
sub-24,Pearson R,0.5664909450342256
sub-25,Pearson R,0.6583431354040985
sub-26,Pearson R,0.37935010368408306
sub-27,Pearson R,0.47437933692186846
sub-28,Pearson R,0.7326140673515487
sub-29,Pearson R,0.5973324166202268
sub-00,MSE,0.1288447119830889
sub-01,MSE,0.09318044820980316
sub-02,MSE,0.10621891101862863
sub-03,MSE,0.09926414486722156
sub-04,MSE,0.11131126965253005
sub-05,MSE,0.0662391828511032
sub-06,MSE,0.0896134314308363
sub-07,MSE,0.11435538875677105
sub-08,MSE,0.19018294193420532
sub-09,MSE,0.0405039470207425
sub-10,MSE,0.046009958382877525
sub-11,MSE,0.038116247192495706
sub-12,MSE,0.06833770973708549
sub-13,MSE,0.12194101763773288
sub-14,MSE,0.08499128847932355
sub-15,MSE,0.0651815381820584
sub-16,MSE,0.11462676707623201
sub-17,MSE,0.13623104934601662
sub-18,MSE,0.10134784978200555
sub-19,MSE,0.016502303804994053
sub-20,MSE,0.06592688928524243
sub-21,MSE,0.09679461454617519
sub-22,MSE,0.06374909168978729
sub-23,MSE,0.048887939291848335
sub-24,MSE,0.11850483881622408
sub-25,MSE,0.1299885635486854
sub-26,MSE,0.1454722800237812
sub-27,MSE,0.12935832012154844
sub-28,MSE,0.08611284515788083
sub-29,MSE,0.1708220207425023
