subject,metric_sim,value
sub-00,Pearson R,-0.5436435873616507
sub-01,Pearson R,-0.019907050856935737
sub-02,Pearson R,-0.3092117157500892
sub-03,Pearson R,-0.0730900387255781
sub-04,Pearson R,-0.24525788412234376
sub-05,Pearson R,-0.10354899066658206
sub-06,Pearson R,0.11430494044464701
sub-07,Pearson R,-0.07074654539011825
sub-08,Pearson R,-0.4066289619277689
sub-09,Pearson R,-0.3050095824124643
sub-10,Pearson R,-0.37798318695258737
sub-11,Pearson R,-0.10344518815197855
sub-12,Pearson R,-0.30466231362902985
sub-13,Pearson R,-0.14638373536973048
sub-14,Pearson R,-0.4289770871589439
sub-15,Pearson R,-0.15304395594603673
sub-16,Pearson R,-0.48957887630759356
sub-17,Pearson R,-0.26478862008810256
sub-18,Pearson R,-0.4654046712972245
sub-19,Pearson R,0.078729495376775
sub-20,Pearson R,-0.6483200878265181
sub-21,Pearson R,-0.03616597354897289
sub-22,Pearson R,0.11458222967831873
sub-23,Pearson R,-0.04681903178930316
sub-24,Pearson R,0.02565142288104562
sub-25,Pearson R,-0.08041014378934638
sub-26,Pearson R,-0.20570841736672577
sub-27,Pearson R,-0.10426487633661646
sub-28,Pearson R,-0.42599607973180437
sub-29,Pearson R,0.04236845837028665
sub-00,MSE,0.054650424428590305
sub-01,MSE,0.06926563119302417
sub-02,MSE,0.06849360879904877
sub-03,MSE,0.06790295943982033
sub-04,MSE,0.06090752576298058
sub-05,MSE,0.09899247753996565
sub-06,MSE,0.07416980446558329
sub-07,MSE,0.05965963139120096
sub-08,MSE,0.035279016382613305
sub-09,MSE,0.13674622638393447
sub-10,MSE,0.14155837131721494
sub-11,MSE,0.14274763839344695
sub-12,MSE,0.10053850409565332
sub-13,MSE,0.05244760701545778
sub-14,MSE,0.087993873034747
sub-15,MSE,0.09993398236226715
sub-16,MSE,0.06182607510899723
sub-17,MSE,0.04680761989694807
sub-18,MSE,0.07218741742634431
sub-19,MSE,0.21305927137006211
sub-20,MSE,0.1014906196327124
sub-21,MSE,0.073749174263443
sub-22,MSE,0.09926113092878848
sub-23,MSE,0.12128620854802485
sub-24,MSE,0.05233592614612234
sub-25,MSE,0.047418623662306786
sub-26,MSE,0.05275965286035142
sub-27,MSE,0.05091305819791255
sub-28,MSE,0.08158681794160393
sub-29,MSE,0.02909020346148765
