subject,metric_sim,value
sub-00,Pearson R,0.4289568290556156
sub-01,Pearson R,0.37707789836250616
sub-02,Pearson R,0.6770938069852533
sub-03,Pearson R,0.642020637780259
sub-04,Pearson R,0.68046554801187
sub-05,Pearson R,0.5631101556174892
sub-06,Pearson R,0.6704828962101266
sub-07,Pearson R,0.70731247337845
sub-08,Pearson R,0.5822384337062113
sub-09,Pearson R,0.6177911742824492
sub-10,Pearson R,0.4842799827098665
sub-11,Pearson R,0.6579192622450676
sub-12,Pearson R,0.7600108701881719
sub-13,Pearson R,0.7843467769544299
sub-14,Pearson R,0.47198551121311416
sub-15,Pearson R,0.6943626962914654
sub-16,Pearson R,0.5332745842860824
sub-17,Pearson R,0.4983099342295427
sub-18,Pearson R,0.4995873040935209
sub-19,Pearson R,0.11038437756615282
sub-20,Pearson R,0.14958088136475955
sub-21,Pearson R,0.7054980595627659
sub-22,Pearson R,0.5886836853994625
sub-23,Pearson R,0.727350374383846
sub-24,Pearson R,0.5982335185345469
sub-25,Pearson R,0.809915248055227
sub-26,Pearson R,0.7470769941942647
sub-27,Pearson R,0.702130027241528
sub-28,Pearson R,0.6702881053086662
sub-29,Pearson R,0.5631024947642266
sub-00,MSE,0.03396865504029594
sub-01,MSE,0.026663198573127232
sub-02,MSE,0.02047678028801691
sub-03,MSE,0.02041860714757564
sub-04,MSE,0.022217309089708013
sub-05,MSE,0.01976829832210332
sub-06,MSE,0.01826132910556216
sub-07,MSE,0.02116622902629145
sub-08,MSE,0.049274094992733504
sub-09,MSE,0.021333481965913594
sub-10,MSE,0.025662199431893254
sub-11,MSE,0.020668764037521468
sub-12,MSE,0.013465657616594002
sub-13,MSE,0.022097990157220245
sub-14,MSE,0.023691166270313115
sub-15,MSE,0.016265812855066723
sub-16,MSE,0.02733481140177038
sub-17,MSE,0.03361722156163297
sub-18,MSE,0.024641919342053113
sub-19,MSE,0.056430010569427945
sub-20,MSE,0.029482428326066852
sub-21,MSE,0.017166278570484875
sub-22,MSE,0.01893839179548158
sub-23,MSE,0.017364826925617652
sub-24,MSE,0.02660713106090633
sub-25,MSE,0.023658136808032762
sub-26,MSE,0.02636799775399657
sub-27,MSE,0.025317454419342054
sub-28,MSE,0.017782938631259085
sub-29,MSE,0.04499768793764037
