score,benchmark,occluder_type,metric,visibility
0.6022018861892583,ImageNet-1K,,accuracy,
0.0062470669306966,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.037024015066575,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.1018708486642156,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.1914310683401263,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.2832053814615522,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.3712182178789255,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.4602963608138415,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.5064960024794753,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.5229170675180397,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.0036197114469749,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.0682179859402228,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.155762282865388,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.2771839353503013,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.3595923483371734,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.4206615357982869,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.4581209992875858,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.4818450376695516,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.5099754528123506,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0023923337041419,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.0244693396498962,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.1166520264683937,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.2408232457783757,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.3212898148565876,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.3723703884348577,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.4293787753095432,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.4743961631035318,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.5159668156078884,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0023641310898321,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.0059199166123052,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.0116446711389081,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.0290814070221112,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.0827667742055289,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.1969414830816035,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
