subject,metric_sim,value
sub-00,Pearson R,0.15706485164673148
sub-01,Pearson R,0.2183668349652471
sub-02,Pearson R,0.3783463242261941
sub-03,Pearson R,0.4026476641941801
sub-04,Pearson R,0.316814790719635
sub-05,Pearson R,0.1963765329412628
sub-06,Pearson R,0.39498916261150835
sub-07,Pearson R,0.3024319458678034
sub-08,Pearson R,0.44205200190365074
sub-09,Pearson R,0.12290245654571472
sub-10,Pearson R,0.23969014873259456
sub-11,Pearson R,0.3091642579956365
sub-12,Pearson R,0.5314421097374474
sub-13,Pearson R,0.4535793117685357
sub-14,Pearson R,0.31864175550942525
sub-15,Pearson R,0.4567010926225746
sub-16,Pearson R,0.07600898352990253
sub-17,Pearson R,0.12703128839308409
sub-18,Pearson R,0.3313097765024083
sub-19,Pearson R,0.15733700170667408
sub-20,Pearson R,-0.06719598888570465
sub-21,Pearson R,0.3396058699869513
sub-22,Pearson R,0.19584525311992565
sub-23,Pearson R,0.32034658928029885
sub-24,Pearson R,0.4573348509969316
sub-25,Pearson R,0.3750457071908398
sub-26,Pearson R,0.681640338875458
sub-27,Pearson R,0.3981949820496961
sub-28,Pearson R,0.3875402877213888
sub-29,Pearson R,0.20324622413031168
sub-00,MSE,0.05141048189985468
sub-01,MSE,0.07334452206368079
sub-02,MSE,0.0649625115603118
sub-03,MSE,0.0684142555159202
sub-04,MSE,0.0599400102391333
sub-05,MSE,0.10293400713436383
sub-06,MSE,0.07743906064209274
sub-07,MSE,0.06023388987977277
sub-08,MSE,0.02651964427269125
sub-09,MSE,0.14104377229488704
sub-10,MSE,0.1431964262121813
sub-11,MSE,0.1455995673140441
sub-12,MSE,0.0975139136609856
sub-13,MSE,0.050813391795481576
sub-14,MSE,0.08475529297133043
sub-15,MSE,0.10013509050072665
sub-16,MSE,0.06082156658739595
sub-17,MSE,0.047714732791650144
sub-18,MSE,0.06889260470339544
sub-19,MSE,0.2225021882018761
sub-20,MSE,0.10430126172545912
sub-21,MSE,0.07468460992205046
sub-22,MSE,0.10517534515788082
sub-23,MSE,0.12601008224336108
sub-24,MSE,0.05233757761923636
sub-25,MSE,0.04673214757563748
sub-26,MSE,0.042416352886775005
sub-27,MSE,0.04952297199101599
sub-28,MSE,0.07819601334390276
sub-29,MSE,0.03110144999339411
