score,benchmark,occluder_type,metric,visibility
0.5893542199488491,ImageNet-1K,,accuracy,
0.0352254404249239,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.1062636877201041,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.1799706542978481,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.2561444095811065,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.3158531030830072,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.3820175625840012,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.442091385928952,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.4928320238784868,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.5513118359507346,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.0248795936302262,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.105266443320683,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.1908215159664348,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.254749696473686,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.3131569332006026,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.3740426155985618,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.4173945450052923,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.5118518666345246,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.5582737448264141,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0128479826511168,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.0679972535189317,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.1533131678493655,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.2305462132303082,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.30128776905488,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.4280062482065084,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.5176706301922701,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.5363291027594586,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.542829616945617,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0049914865735538,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.0281556092430742,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.1034404180791913,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.2091769049970471,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.3033183569810828,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.3758174995986783,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
0.4243899212808025,ImageNet-Occluded,horizontal_bars_16,accuracy,0.7
0.4694358876773289,ImageNet-Occluded,horizontal_bars_16,accuracy,0.8
0.4778962956399333,ImageNet-Occluded,horizontal_bars_16,accuracy,0.9
0.0082757749347662,ImageNet-Occluded,oblique_bars_02,accuracy,0.1
0.0327924949554156,ImageNet-Occluded,oblique_bars_02,accuracy,0.2
0.091109107343518,ImageNet-Occluded,oblique_bars_02,accuracy,0.3
0.1620067175553769,ImageNet-Occluded,oblique_bars_02,accuracy,0.4
0.2333604580893808,ImageNet-Occluded,oblique_bars_02,accuracy,0.5
0.3018145938308871,ImageNet-Occluded,oblique_bars_02,accuracy,0.6
0.3562697044440678,ImageNet-Occluded,oblique_bars_02,accuracy,0.7
0.4012765635033043,ImageNet-Occluded,oblique_bars_02,accuracy,0.8
0.4831385977414189,ImageNet-Occluded,oblique_bars_02,accuracy,0.9
0.0035317192918487,ImageNet-Occluded,oblique_bars_04,accuracy,0.1
0.0148210374980556,ImageNet-Occluded,oblique_bars_04,accuracy,0.2
0.0272155221247551,ImageNet-Occluded,oblique_bars_04,accuracy,0.3
0.0430413247371206,ImageNet-Occluded,oblique_bars_04,accuracy,0.4
0.0943749699057364,ImageNet-Occluded,oblique_bars_04,accuracy,0.5
0.1574480469737734,ImageNet-Occluded,oblique_bars_04,accuracy,0.6
0.2376656812064501,ImageNet-Occluded,oblique_bars_04,accuracy,0.7
0.3288007348167653,ImageNet-Occluded,oblique_bars_04,accuracy,0.8
0.5533796512350744,ImageNet-Occluded,oblique_bars_04,accuracy,0.9
0.0024197842469628,ImageNet-Occluded,oblique_bars_08,accuracy,0.1
0.0094757021347783,ImageNet-Occluded,oblique_bars_08,accuracy,0.2
0.0246603653138997,ImageNet-Occluded,oblique_bars_08,accuracy,0.3
0.0699063823843488,ImageNet-Occluded,oblique_bars_08,accuracy,0.4
0.1198607318255366,ImageNet-Occluded,oblique_bars_08,accuracy,0.5
0.1812597017507163,ImageNet-Occluded,oblique_bars_08,accuracy,0.6
0.3918080056200222,ImageNet-Occluded,oblique_bars_08,accuracy,0.7
0.5342097708157131,ImageNet-Occluded,oblique_bars_08,accuracy,0.8
0.5515528734849424,ImageNet-Occluded,oblique_bars_08,accuracy,0.9
0.0018775419959304,ImageNet-Occluded,oblique_bars_16,accuracy,0.1
0.0043488430163385,ImageNet-Occluded,oblique_bars_16,accuracy,0.2
0.0144513952640854,ImageNet-Occluded,oblique_bars_16,accuracy,0.3
0.1170968756991989,ImageNet-Occluded,oblique_bars_16,accuracy,0.4
0.2979824226729723,ImageNet-Occluded,oblique_bars_16,accuracy,0.5
0.4512797971161044,ImageNet-Occluded,oblique_bars_16,accuracy,0.6
0.4912805046354021,ImageNet-Occluded,oblique_bars_16,accuracy,0.7
0.5116318865698211,ImageNet-Occluded,oblique_bars_16,accuracy,0.8
0.5084957553415882,ImageNet-Occluded,oblique_bars_16,accuracy,0.9
0.0477289751324118,ImageNet-Occluded,vertical_bars_02,accuracy,0.1
0.1360035316676509,ImageNet-Occluded,vertical_bars_02,accuracy,0.2
0.2105633455271623,ImageNet-Occluded,vertical_bars_02,accuracy,0.3
0.2845760285854339,ImageNet-Occluded,vertical_bars_02,accuracy,0.4
0.3405476875451146,ImageNet-Occluded,vertical_bars_02,accuracy,0.5
0.3937137504013217,ImageNet-Occluded,vertical_bars_02,accuracy,0.6
0.4497598640772761,ImageNet-Occluded,vertical_bars_02,accuracy,0.7
0.4894409416889658,ImageNet-Occluded,vertical_bars_02,accuracy,0.8
0.5532653368249232,ImageNet-Occluded,vertical_bars_02,accuracy,0.9
0.0227196494839629,ImageNet-Occluded,vertical_bars_04,accuracy,0.1
0.1064847961676364,ImageNet-Occluded,vertical_bars_04,accuracy,0.2
0.1814620084300333,ImageNet-Occluded,vertical_bars_04,accuracy,0.3
0.2606564516923865,ImageNet-Occluded,vertical_bars_04,accuracy,0.4
0.3178536083017076,ImageNet-Occluded,vertical_bars_04,accuracy,0.5
0.3724895916423019,ImageNet-Occluded,vertical_bars_04,accuracy,0.6
0.4214474485844982,ImageNet-Occluded,vertical_bars_04,accuracy,0.7
0.5136850366787035,ImageNet-Occluded,vertical_bars_04,accuracy,0.8
0.5605344662860948,ImageNet-Occluded,vertical_bars_04,accuracy,0.9
0.01170859706341,ImageNet-Occluded,vertical_bars_08,accuracy,0.1
0.0629565063483861,ImageNet-Occluded,vertical_bars_08,accuracy,0.2
0.1517180280417812,ImageNet-Occluded,vertical_bars_08,accuracy,0.3
0.2315494743536929,ImageNet-Occluded,vertical_bars_08,accuracy,0.4
0.2996764596627683,ImageNet-Occluded,vertical_bars_08,accuracy,0.5
0.4420797283552131,ImageNet-Occluded,vertical_bars_08,accuracy,0.6
0.5272993785994393,ImageNet-Occluded,vertical_bars_08,accuracy,0.7
0.5463248612929363,ImageNet-Occluded,vertical_bars_08,accuracy,0.8
0.5488781381626519,ImageNet-Occluded,vertical_bars_08,accuracy,0.9
0.0053460874347662,ImageNet-Occluded,vertical_bars_16,accuracy,0.1
0.0448481721841559,ImageNet-Occluded,vertical_bars_16,accuracy,0.2
0.1673885282813286,ImageNet-Occluded,vertical_bars_16,accuracy,0.3
0.3072670990107011,ImageNet-Occluded,vertical_bars_16,accuracy,0.4
0.3876671097716506,ImageNet-Occluded,vertical_bars_16,accuracy,0.5
0.4458867056029184,ImageNet-Occluded,vertical_bars_16,accuracy,0.6
0.4761608948512953,ImageNet-Occluded,vertical_bars_16,accuracy,0.7
0.4970116511899597,ImageNet-Occluded,vertical_bars_16,accuracy,0.8
0.4804450601947551,ImageNet-Occluded,vertical_bars_16,accuracy,0.9
0.0193424804934433,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.1
0.0287941164356105,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.2
0.0483358953984416,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.3
0.0981575045354512,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.4
0.1893647568566458,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.5
0.3309648152516812,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.6
0.4479925006019826,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.7
0.4917407704859364,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.8
0.4984240379868721,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.9
0.0074428577470232,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.1
0.0158814557694963,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.2
0.0328797350580594,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.3
0.069297581911087,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.4
0.1833241329509384,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.5
0.3387103810602305,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.6
0.4446747448979591,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.7
0.4936107920140636,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.8
0.5078658972467694,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.9
0.0040224447694359,ImageNet-Occluded,curved_lines,accuracy,0.1
0.0174374879927051,ImageNet-Occluded,curved_lines,accuracy,0.2
0.0670537820884159,ImageNet-Occluded,curved_lines,accuracy,0.3
0.1352063377900999,ImageNet-Occluded,curved_lines,accuracy,0.4
0.2367086723750951,ImageNet-Occluded,curved_lines,accuracy,0.5
0.3172876755801999,ImageNet-Occluded,curved_lines,accuracy,0.6
0.3977486041127419,ImageNet-Occluded,curved_lines,accuracy,0.7
0.4621287785014327,ImageNet-Occluded,curved_lines,accuracy,0.8
0.5270850378639844,ImageNet-Occluded,curved_lines,accuracy,0.9
0.0030218160388116,ImageNet-Occluded,empty_ellipses,accuracy,0.1
0.0178112666103608,ImageNet-Occluded,empty_ellipses,accuracy,0.2
0.0619709190665459,ImageNet-Occluded,empty_ellipses,accuracy,0.3
0.1303329262502339,ImageNet-Occluded,empty_ellipses,accuracy,0.4
0.2045291142196071,ImageNet-Occluded,empty_ellipses,accuracy,0.5
0.2774332463741302,ImageNet-Occluded,empty_ellipses,accuracy,0.6
0.3560959763672887,ImageNet-Occluded,empty_ellipses,accuracy,0.7
