subject,metric_sim,value
sub-00,Pearson R,0.5176197778052762
sub-01,Pearson R,0.35852971762279523
sub-02,Pearson R,0.6234129639987052
sub-03,Pearson R,0.6253948281415641
sub-04,Pearson R,0.6748789746231778
sub-05,Pearson R,0.4683506671934231
sub-06,Pearson R,0.5208409813850342
sub-07,Pearson R,0.5518107130217518
sub-08,Pearson R,0.29266238485522605
sub-09,Pearson R,0.6608650413401476
sub-10,Pearson R,0.12523979204297261
sub-11,Pearson R,0.5668325276756842
sub-12,Pearson R,0.7509895593877631
sub-13,Pearson R,0.5148444719998974
sub-14,Pearson R,0.6458124580606258
sub-15,Pearson R,0.5860939730815677
sub-16,Pearson R,0.5686651672712111
sub-17,Pearson R,0.21372062657888227
sub-18,Pearson R,0.39794566128193176
sub-19,Pearson R,0.15970997596218026
sub-20,Pearson R,0.22752803542450548
sub-21,Pearson R,0.6322299525595062
sub-22,Pearson R,0.5358459436681942
sub-23,Pearson R,0.5388786522535091
sub-24,Pearson R,0.6717224963883078
sub-25,Pearson R,0.57557966377791
sub-26,Pearson R,0.40660614230454867
sub-27,Pearson R,0.45840229649160785
sub-28,Pearson R,0.7571322138911444
sub-29,Pearson R,0.7426275634130256
sub-00,MSE,0.09935840269520413
sub-01,MSE,0.06818816884661118
sub-02,MSE,0.0802850029726516
sub-03,MSE,0.07163834390276126
sub-04,MSE,0.08247010833663627
sub-05,MSE,0.04597936484344036
sub-06,MSE,0.06459039338089576
sub-07,MSE,0.08664069725194874
sub-08,MSE,0.15415159697450126
sub-09,MSE,0.025249124719249567
sub-10,MSE,0.031207928722420397
sub-11,MSE,0.02491920167789668
sub-12,MSE,0.04507609162372836
sub-13,MSE,0.09388418219051393
sub-14,MSE,0.060862977275729944
sub-15,MSE,0.04474497126436781
sub-16,MSE,0.08716074613555291
sub-17,MSE,0.10643446954683579
sub-18,MSE,0.07634694147179284
sub-19,MSE,0.011502840533756113
sub-20,MSE,0.0470476202272427
sub-21,MSE,0.06933912174659795
sub-22,MSE,0.04419709505879244
sub-23,MSE,0.031239141564275343
sub-24,MSE,0.08867015127493724
sub-25,MSE,0.1010182157484476
sub-26,MSE,0.11401890110978992
sub-27,MSE,0.09971656592680671
sub-28,MSE,0.06122233782534021
sub-29,MSE,0.13420584786629675
