benchmark,score,occluder_type,visibility,metric
ImageNet-1K,0.6179307865364777,,,accuracy
ImageNet-Occluded,0.0023517219387755,natural,0.1,accuracy
ImageNet-Occluded,0.0051983057388237,natural,0.2,accuracy
ImageNet-Occluded,0.0077060821409128,natural,0.3,accuracy
ImageNet-Occluded,0.0186449358505862,natural,0.4,accuracy
ImageNet-Occluded,0.0371304329256622,natural,0.5,accuracy
ImageNet-Occluded,0.0635453769747091,natural,0.6,accuracy
ImageNet-Occluded,0.1193436838838518,natural,0.7,accuracy
ImageNet-Occluded,0.2032667650860183,natural,0.8,accuracy
ImageNet-Occluded,0.2988424143012689,natural,0.9,accuracy
ImageNet-Occluded,0.0022445520081994,natural_silhouette,0.1,accuracy
ImageNet-Occluded,0.0051742395081994,natural_silhouette,0.2,accuracy
ImageNet-Occluded,0.0170787507478071,natural_silhouette,0.3,accuracy
ImageNet-Occluded,0.0327251846997105,natural_silhouette,0.4,accuracy
ImageNet-Occluded,0.0574502280476141,natural_silhouette,0.5,accuracy
ImageNet-Occluded,0.0796832884756886,natural_silhouette,0.6,accuracy
ImageNet-Occluded,0.1526017100835333,natural_silhouette,0.7,accuracy
ImageNet-Occluded,0.2146549805694697,natural_silhouette,0.8,accuracy
ImageNet-Occluded,0.2832234307211272,natural_silhouette,0.9,accuracy
ImageNet-Occluded,0.0013236426653302,curved_lines,0.1,accuracy
ImageNet-Occluded,0.0015628008285955,curved_lines,0.2,accuracy
ImageNet-Occluded,0.0021565598530732,curved_lines,0.3,accuracy
ImageNet-Occluded,0.0042773963959545,curved_lines,0.4,accuracy
ImageNet-Occluded,0.0101698624654387,curved_lines,0.5,accuracy
ImageNet-Occluded,0.0307506257478071,curved_lines,0.6,accuracy
ImageNet-Occluded,0.0612229856909537,curved_lines,0.7,accuracy
ImageNet-Occluded,0.1544251028372316,curved_lines,0.8,accuracy
ImageNet-Occluded,0.33839714405488,curved_lines,0.9,accuracy
ImageNet-Occluded,0.0010927572694359,straight_lines,0.1,accuracy
ImageNet-Occluded,0.0014748086734693,straight_lines,0.2,accuracy
ImageNet-Occluded,0.0020369807714406,straight_lines,0.3,accuracy
ImageNet-Occluded,0.0035001323653423,straight_lines,0.4,accuracy
ImageNet-Occluded,0.009388462051141,straight_lines,0.5,accuracy
ImageNet-Occluded,0.022298866483782,straight_lines,0.6,accuracy
ImageNet-Occluded,0.0612966885067978,straight_lines,0.7,accuracy
ImageNet-Occluded,0.1552704292900708,straight_lines,0.8,accuracy
ImageNet-Occluded,0.3305677224178703,straight_lines,0.9,accuracy
ImageNet-Occluded,0.0011044143490037,empty_rectangles,0.1,accuracy
ImageNet-Occluded,0.0012995764347059,empty_rectangles,0.2,accuracy
ImageNet-Occluded,0.002176489700012,empty_rectangles,0.3,accuracy
ImageNet-Occluded,0.005437463902089,empty_rectangles,0.4,accuracy
ImageNet-Occluded,0.0158731830021252,empty_rectangles,0.5,accuracy
ImageNet-Occluded,0.0380629993671057,empty_rectangles,0.6,accuracy
ImageNet-Occluded,0.070838948749766,empty_rectangles,0.7,accuracy
ImageNet-Occluded,0.1567568949290684,empty_rectangles,0.8,accuracy
ImageNet-Occluded,0.3551400954626044,empty_rectangles,0.9,accuracy
ImageNet-Occluded,0.0013236426653302,filled_rectangles,0.1,accuracy
