subject,metric_sim,value
sub-00,Pearson R,-0.12415234082237309
sub-01,Pearson R,0.1837088478567754
sub-02,Pearson R,-0.041604958956721186
sub-03,Pearson R,-0.13616232337309941
sub-04,Pearson R,-0.16415286071598847
sub-05,Pearson R,0.13747291197357828
sub-06,Pearson R,-0.10470161777191116
sub-07,Pearson R,-0.2132603844254768
sub-08,Pearson R,0.01862011154163887
sub-09,Pearson R,-0.23551390602810035
sub-10,Pearson R,0.2253679998008945
sub-11,Pearson R,-0.04480557911356524
sub-12,Pearson R,-0.4047520937906329
sub-13,Pearson R,0.016360177436936674
sub-14,Pearson R,-0.2083645691062878
sub-15,Pearson R,-0.07357899650826721
sub-16,Pearson R,-0.12961776450177473
sub-17,Pearson R,-0.04566771884730597
sub-18,Pearson R,-0.08273606474401553
sub-19,Pearson R,-0.11185697404109213
sub-20,Pearson R,0.07903845151910609
sub-21,Pearson R,-0.16468543468187988
sub-22,Pearson R,0.06934911404322272
sub-23,Pearson R,0.11287941295860254
sub-24,Pearson R,0.002838901805759912
sub-25,Pearson R,0.04465946629436175
sub-26,Pearson R,-0.01346715602322245
sub-27,Pearson R,0.07630050089665508
sub-28,Pearson R,-0.3513136419869021
sub-29,Pearson R,-0.25655562416927824
sub-00,MSE,0.04877976780288018
sub-01,MSE,0.06827780254987448
sub-02,MSE,0.06430320220636807
sub-03,MSE,0.06819320583960892
sub-04,MSE,0.05902724104901572
sub-05,MSE,0.09742394966309947
sub-06,MSE,0.07601705971726778
sub-07,MSE,0.06022786200290659
sub-08,MSE,0.028338329039503243
sub-09,MSE,0.1366788875677104
sub-10,MSE,0.1370754475492139
sub-11,MSE,0.14273512848460826
sub-12,MSE,0.10061686649491346
sub-13,MSE,0.05041369401506143
sub-14,MSE,0.08450909961685824
sub-15,MSE,0.09930093143083632
sub-16,MSE,0.056534466243889546
sub-17,MSE,0.04414383505086536
sub-18,MSE,0.06775222123133835
sub-19,MSE,0.21640189423966177
sub-20,MSE,0.09661059915444575
sub-21,MSE,0.0747666468489893
sub-22,MSE,0.10049416204254194
sub-23,MSE,0.12130957689258819
sub-24,MSE,0.05226895891134894
sub-25,MSE,0.04570815167129079
sub-26,MSE,0.0489543697978597
sub-27,MSE,0.0482981156691769
sub-28,MSE,0.0796415890474303
sub-29,MSE,0.030224022327916503
