score,benchmark,occluder_type,metric,visibility
0.5921715153452686,ImageNet-1K,,accuracy,
0.0034966432225063,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.027034047314578,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.0816216432225064,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.1648017902813299,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.2598705242966752,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.3510629795396419,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.4389785805626598,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.4917679028132992,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.5269541240409207,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.0036165281329923,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.0420995843989769,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.1354499680306905,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.2558144181585677,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.3479859335038363,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.4161205242966752,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.4581401854219948,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.5032568734015346,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.5385429987212276,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0074328644501278,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.0488930626598465,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.1645220588235294,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.2804108056265985,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.3811540920716113,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.4459718670076726,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.4972826086956521,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.5252157928388747,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.5346267583120204,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0042559143222506,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.0121683184143222,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.0424792199488491,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.0932105179028133,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.2116568094629156,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.2983335997442455,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
0.3805346867007673,ImageNet-Occluded,horizontal_bars_16,accuracy,0.7
0.418837915601023,ImageNet-Occluded,horizontal_bars_16,accuracy,0.8
0.4511269181585677,ImageNet-Occluded,horizontal_bars_16,accuracy,0.9
0.0019781010230179,ImageNet-Occluded,oblique_bars_02,accuracy,0.1
