benchmark,score,occluder_type,visibility,metric
ImageNet-1K,0.5727168584952269,,,accuracy
ImageNet-Occluded,0.0031131925061345,horizontal_bars_02,0.1,accuracy
ImageNet-Occluded,0.0203340844042143,horizontal_bars_02,0.2,accuracy
ImageNet-Occluded,0.061073323749766,horizontal_bars_02,0.3,accuracy
ImageNet-Occluded,0.1301678469290538,horizontal_bars_02,0.4,accuracy
ImageNet-Occluded,0.2116888177638151,horizontal_bars_02,0.5,accuracy
ImageNet-Occluded,0.295555117787147,horizontal_bars_02,0.6,accuracy
ImageNet-Occluded,0.3684885805966902,horizontal_bars_02,0.7,accuracy
ImageNet-Occluded,0.4185166328537221,horizontal_bars_02,0.8,accuracy
ImageNet-Occluded,0.4675820360378343,horizontal_bars_02,0.9,accuracy
ImageNet-Occluded,0.0034644090551502,horizontal_bars_04,0.1,accuracy
ImageNet-Occluded,0.0317012418289573,horizontal_bars_04,0.2,accuracy
ImageNet-Occluded,0.051974032530371,horizontal_bars_04,0.3,accuracy
ImageNet-Occluded,0.1261634517993246,horizontal_bars_04,0.4,accuracy
ImageNet-Occluded,0.1919101367191392,horizontal_bars_04,0.5,accuracy
ImageNet-Occluded,0.2711884355058475,horizontal_bars_04,0.6,accuracy
ImageNet-Occluded,0.3274481375606692,horizontal_bars_04,0.7,accuracy
ImageNet-Occluded,0.4021782948046314,horizontal_bars_04,0.8,accuracy
ImageNet-Occluded,0.4783336240418103,horizontal_bars_04,0.9,accuracy
ImageNet-Occluded,0.0040540316959424,horizontal_bars_08,0.1,accuracy
ImageNet-Occluded,0.0188758212844936,horizontal_bars_08,0.2,accuracy
ImageNet-Occluded,0.0618930798099965,horizontal_bars_08,0.3,accuracy
ImageNet-Occluded,0.1264199076258406,horizontal_bars_08,0.4,accuracy
ImageNet-Occluded,0.1660460838857962,horizontal_bars_08,0.5,accuracy
ImageNet-Occluded,0.2805253808595696,horizontal_bars_08,0.6,accuracy
ImageNet-Occluded,0.336100699342027,horizontal_bars_08,0.7,accuracy
ImageNet-Occluded,0.4426020408163265,horizontal_bars_08,0.8,accuracy
ImageNet-Occluded,0.4729706152361266,horizontal_bars_08,0.9,accuracy
ImageNet-Occluded,0.0039942421551261,horizontal_bars_16,0.1,accuracy
ImageNet-Occluded,0.0081595801653302,horizontal_bars_16,0.2,accuracy
ImageNet-Occluded,0.0284925364718145,horizontal_bars_16,0.3,accuracy
ImageNet-Occluded,0.0866271479397404,horizontal_bars_16,0.4,accuracy
ImageNet-Occluded,0.1546544843182271,horizontal_bars_16,0.5,accuracy
ImageNet-Occluded,0.2938516796851644,horizontal_bars_16,0.6,accuracy
ImageNet-Occluded,0.3483387535932112,horizontal_bars_16,0.7,accuracy
ImageNet-Occluded,0.3849795886448451,horizontal_bars_16,0.8,accuracy
ImageNet-Occluded,0.3728660022725864,horizontal_bars_16,0.9,accuracy
ImageNet-Occluded,0.0019771912306243,oblique_bars_02,0.1,accuracy
ImageNet-Occluded,0.0063583732449582,oblique_bars_02,0.2,accuracy
ImageNet-Occluded,0.0279886497526752,oblique_bars_02,0.3,accuracy
ImageNet-Occluded,0.0819255841933951,oblique_bars_02,0.4,accuracy
ImageNet-Occluded,0.1488691881603124,oblique_bars_02,0.5,accuracy
ImageNet-Occluded,0.2100090700752881,oblique_bars_02,0.6,accuracy
ImageNet-Occluded,0.2705582015368403,oblique_bars_02,0.7,accuracy
ImageNet-Occluded,0.3120634233465,oblique_bars_02,0.8,accuracy
ImageNet-Occluded,0.3682182114951464,oblique_bars_02,0.9,accuracy
ImageNet-Occluded,0.0018301616061706,oblique_bars_04,0.1,accuracy
ImageNet-Occluded,0.0021606962367588,oblique_bars_04,0.2,accuracy
ImageNet-Occluded,0.0058127466817291,oblique_bars_04,0.3,accuracy
ImageNet-Occluded,0.0138651569164833,oblique_bars_04,0.4,accuracy
ImageNet-Occluded,0.0404662381173396,oblique_bars_04,0.5,accuracy
ImageNet-Occluded,0.0809621829159405,oblique_bars_04,0.6,accuracy
ImageNet-Occluded,0.1314170348400972,oblique_bars_04,0.7,accuracy
ImageNet-Occluded,0.2086455676020408,oblique_bars_04,0.8,accuracy
ImageNet-Occluded,0.34139113341059,oblique_bars_04,0.9,accuracy
ImageNet-Occluded,0.0014349489795918,oblique_bars_08,0.1,accuracy
ImageNet-Occluded,0.0026988021041057,oblique_bars_08,0.2,accuracy
ImageNet-Occluded,0.0048794281878033,oblique_bars_08,0.3,accuracy
ImageNet-Occluded,0.0117559774531697,oblique_bars_08,0.4,accuracy
ImageNet-Occluded,0.0386011052344526,oblique_bars_08,0.5,accuracy
ImageNet-Occluded,0.0675918879557629,oblique_bars_08,0.6,accuracy
ImageNet-Occluded,0.1163790250311092,oblique_bars_08,0.7,accuracy
ImageNet-Occluded,0.2916545083328169,oblique_bars_08,0.8,accuracy
ImageNet-Occluded,0.4320392219387755,oblique_bars_08,0.9,accuracy
ImageNet-Occluded,0.0012995764347059,oblique_bars_16,0.1,accuracy
ImageNet-Occluded,0.0014590152102161,oblique_bars_16,0.2,accuracy
ImageNet-Occluded,0.0025916321735296,oblique_bars_16,0.3,accuracy
ImageNet-Occluded,0.0070559178878154,oblique_bars_16,0.4,accuracy
ImageNet-Occluded,0.0339442896751725,oblique_bars_16,0.5,accuracy
ImageNet-Occluded,0.1454010186146716,oblique_bars_16,0.6,accuracy
ImageNet-Occluded,0.2963455428882521,oblique_bars_16,0.7,accuracy
ImageNet-Occluded,0.3681016406234429,oblique_bars_16,0.8,accuracy
ImageNet-Occluded,0.2701829185291212,oblique_bars_16,0.9,accuracy
ImageNet-Occluded,0.0068656442572875,vertical_bars_02,0.1,accuracy
ImageNet-Occluded,0.0371902224664785,vertical_bars_02,0.2,accuracy
ImageNet-Occluded,0.0924823864990351,vertical_bars_02,0.3,accuracy
ImageNet-Occluded,0.1678495470966611,vertical_bars_02,0.4,accuracy
ImageNet-Occluded,0.25050651905488,vertical_bars_02,0.5,accuracy
ImageNet-Occluded,0.3230519136603997,vertical_bars_02,0.6,accuracy
ImageNet-Occluded,0.3871481820028655,vertical_bars_02,0.7,accuracy
ImageNet-Occluded,0.4308133484149465,vertical_bars_02,0.8,accuracy
ImageNet-Occluded,0.4722441161165432,vertical_bars_02,0.9,accuracy
ImageNet-Occluded,0.0052340290490157,vertical_bars_04,0.1,accuracy
ImageNet-Occluded,0.0445608815976551,vertical_bars_04,0.2,accuracy
ImageNet-Occluded,0.0770743586579147,vertical_bars_04,0.3,accuracy
ImageNet-Occluded,0.1633469057934624,vertical_bars_04,0.4,accuracy
ImageNet-Occluded,0.2325591277711245,vertical_bars_04,0.5,accuracy
ImageNet-Occluded,0.3134882194655282,vertical_bars_04,0.6,accuracy
ImageNet-Occluded,0.3625115064942107,vertical_bars_04,0.7,accuracy
ImageNet-Occluded,0.4277588171618325,vertical_bars_04,0.8,accuracy
ImageNet-Occluded,0.4793970505801999,vertical_bars_04,0.9,accuracy
ImageNet-Occluded,0.0027070748714768,vertical_bars_08,0.1,accuracy
ImageNet-Occluded,0.0249833792676122,vertical_bars_08,0.2,accuracy
ImageNet-Occluded,0.0924947956690983,vertical_bars_08,0.3,accuracy
ImageNet-Occluded,0.170405455998012,vertical_bars_08,0.4,accuracy
ImageNet-Occluded,0.2684821127628793,vertical_bars_08,0.5,accuracy
ImageNet-Occluded,0.3406804276972401,vertical_bars_08,0.6,accuracy
ImageNet-Occluded,0.3863269218376705,vertical_bars_08,0.7,accuracy
ImageNet-Occluded,0.4514181778138997,vertical_bars_08,0.8,accuracy
ImageNet-Occluded,0.4602264184124616,vertical_bars_08,0.9,accuracy
