subject,metric_sim,value
sub-00,Pearson R,0.28068895478574407
sub-01,Pearson R,0.30368294206858415
sub-02,Pearson R,0.5341887193554701
sub-03,Pearson R,0.5124295654696809
sub-04,Pearson R,0.5755389643239857
sub-05,Pearson R,0.48943764356977026
sub-06,Pearson R,0.5137770510729571
sub-07,Pearson R,0.6259951369745553
sub-08,Pearson R,0.4464966494825747
sub-09,Pearson R,0.7161640290496153
sub-10,Pearson R,0.2525103810213408
sub-11,Pearson R,0.6425715104550727
sub-12,Pearson R,0.6590360619189998
sub-13,Pearson R,0.6853957297346377
sub-14,Pearson R,0.392486210355567
sub-15,Pearson R,0.6006388784461428
sub-16,Pearson R,0.41562953425124605
sub-17,Pearson R,0.3815938269337634
sub-18,Pearson R,0.4706572447532853
sub-19,Pearson R,0.09548882308744597
sub-20,Pearson R,0.032377564476899774
sub-21,Pearson R,0.7360637049332135
sub-22,Pearson R,0.5429240742096648
sub-23,Pearson R,0.5901023762913111
sub-24,Pearson R,0.45070697474336596
sub-25,Pearson R,0.655190779428933
sub-26,Pearson R,0.5183242402136866
sub-27,Pearson R,0.5018513762859823
sub-28,Pearson R,0.586574641903779
sub-29,Pearson R,0.508075322025517
sub-00,MSE,0.02090641101862862
sub-01,MSE,0.024257332540626238
sub-02,MSE,0.017669193420531113
sub-03,MSE,0.019377477209671024
sub-04,MSE,0.015445278438367023
sub-05,MSE,0.03137567710397674
sub-06,MSE,0.02204258323424494
sub-07,MSE,0.01397088452899987
sub-08,MSE,0.019917508917954813
sub-09,MSE,0.04294366825208086
sub-10,MSE,0.0561250247720967
sub-11,MSE,0.048215335579336764
sub-12,MSE,0.0266558908045977
sub-13,MSE,0.01152063515655965
sub-14,MSE,0.027554250891795487
sub-15,MSE,0.029207540626238607
sub-16,MSE,0.018885792376800107
sub-17,MSE,0.017601937177962743
sub-18,MSE,0.020064944180208752
sub-19,MSE,0.1036490949927335
sub-20,MSE,0.03974786134231735
sub-21,MSE,0.014752196459241643
sub-22,MSE,0.031130804927995765
sub-23,MSE,0.04041732725591227
sub-24,MSE,0.017363836041749237
sub-25,MSE,0.011471586405073321
sub-26,MSE,0.01644132316025895
sub-27,MSE,0.015747291584093014
sub-28,MSE,0.02045060443915973
sub-29,MSE,0.01584695798652398
