score,benchmark,occluder_type,metric,visibility
0.5748681265984654,ImageNet-1K,,accuracy,
0.0017583120204603,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.0147258631713554,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.0560661764705882,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.1194053708439897,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.1909966432225064,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.2629875319693094,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.3370764066496163,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.4067095588235294,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.4565417199488491,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.0032968350383631,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.0255155051150895,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.0890944693094629,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.1725743286445012,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.2408487851662404,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.3101622442455243,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.3716032608695652,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.4132033248081841,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.4458320012787723,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0024976023017902,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.0129875319693094,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.0638187340153452,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.1515545076726342,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.2386708759590793,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.3092830882352941,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.367866847826087,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.3981977301790281,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.4274496483375959,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0022778132992327,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.0043558184143222,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.0121683184143222,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.0290321291560102,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.0670955882352941,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.1426630434782608,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
0.2332960358056266,ImageNet-Occluded,horizontal_bars_16,accuracy,0.7
0.3086237212276215,ImageNet-Occluded,horizontal_bars_16,accuracy,0.8
0.3848905051150895,ImageNet-Occluded,horizontal_bars_16,accuracy,0.9
0.0013187340153452,ImageNet-Occluded,oblique_bars_02,accuracy,0.1
0.0107496803069053,ImageNet-Occluded,oblique_bars_02,accuracy,0.2
0.052269820971867,ImageNet-Occluded,oblique_bars_02,accuracy,0.3
0.1154092071611253,ImageNet-Occluded,oblique_bars_02,accuracy,0.4
0.1821651214833759,ImageNet-Occluded,oblique_bars_02,accuracy,0.5
0.2520180626598465,ImageNet-Occluded,oblique_bars_02,accuracy,0.6
0.3247482416879795,ImageNet-Occluded,oblique_bars_02,accuracy,0.7
0.3772578324808184,ImageNet-Occluded,oblique_bars_02,accuracy,0.8
0.4418158567774936,ImageNet-Occluded,oblique_bars_02,accuracy,0.9
0.0015984654731457,ImageNet-Occluded,oblique_bars_04,accuracy,0.1
0.008312020460358,ImageNet-Occluded,oblique_bars_04,accuracy,0.2
0.0383431905370844,ImageNet-Occluded,oblique_bars_04,accuracy,0.3
0.0947290601023018,ImageNet-Occluded,oblique_bars_04,accuracy,0.4
0.1647418478260869,ImageNet-Occluded,oblique_bars_04,accuracy,0.5
0.2509390984654731,ImageNet-Occluded,oblique_bars_04,accuracy,0.6
0.3352381713554987,ImageNet-Occluded,oblique_bars_04,accuracy,0.7
0.4205962276214833,ImageNet-Occluded,oblique_bars_04,accuracy,0.8
0.4489889705882353,ImageNet-Occluded,oblique_bars_04,accuracy,0.9
0.0016384271099744,ImageNet-Occluded,oblique_bars_08,accuracy,0.1
0.0084319053708439,ImageNet-Occluded,oblique_bars_08,accuracy,0.2
0.0724704283887468,ImageNet-Occluded,oblique_bars_08,accuracy,0.3
0.1650615409207161,ImageNet-Occluded,oblique_bars_08,accuracy,0.4
0.2550751278772378,ImageNet-Occluded,oblique_bars_08,accuracy,0.5
0.3429707480818414,ImageNet-Occluded,oblique_bars_08,accuracy,0.6
0.3940217391304347,ImageNet-Occluded,oblique_bars_08,accuracy,0.7
0.4255314897698209,ImageNet-Occluded,oblique_bars_08,accuracy,0.8
0.4447130754475703,ImageNet-Occluded,oblique_bars_08,accuracy,0.9
0.0016584079283887,ImageNet-Occluded,oblique_bars_16,accuracy,0.1
0.0043957800511508,ImageNet-Occluded,oblique_bars_16,accuracy,0.2
0.0218590153452685,ImageNet-Occluded,oblique_bars_16,accuracy,0.3
0.0998441496163682,ImageNet-Occluded,oblique_bars_16,accuracy,0.4
0.1786285166240409,ImageNet-Occluded,oblique_bars_16,accuracy,0.5
0.264945652173913,ImageNet-Occluded,oblique_bars_16,accuracy,0.6
0.3228500639386189,ImageNet-Occluded,oblique_bars_16,accuracy,0.7
0.3676070971867007,ImageNet-Occluded,oblique_bars_16,accuracy,0.8
0.4304267902813299,ImageNet-Occluded,oblique_bars_16,accuracy,0.9
0.0025375639386189,ImageNet-Occluded,vertical_bars_02,accuracy,0.1
0.0325687340153452,ImageNet-Occluded,vertical_bars_02,accuracy,0.2
0.0965872762148337,ImageNet-Occluded,vertical_bars_02,accuracy,0.3
0.1850423593350383,ImageNet-Occluded,vertical_bars_02,accuracy,0.4
0.264386189258312,ImageNet-Occluded,vertical_bars_02,accuracy,0.5
0.33122202685422,ImageNet-Occluded,vertical_bars_02,accuracy,0.6
0.388706841432225,ImageNet-Occluded,vertical_bars_02,accuracy,0.7
0.4295875959079284,ImageNet-Occluded,vertical_bars_02,accuracy,0.8
0.470488331202046,ImageNet-Occluded,vertical_bars_02,accuracy,0.9
0.003596547314578,ImageNet-Occluded,vertical_bars_04,accuracy,0.1
0.0621203644501278,ImageNet-Occluded,vertical_bars_04,accuracy,0.2
0.142922794117647,ImageNet-Occluded,vertical_bars_04,accuracy,0.3
0.2360933503836317,ImageNet-Occluded,vertical_bars_04,accuracy,0.4
