subject,metric_sim,value
sub-00,Pearson R,-0.0004267469526425803
sub-01,Pearson R,0.10576227566793912
sub-02,Pearson R,0.17606833918834716
sub-03,Pearson R,0.23531222949565062
sub-04,Pearson R,0.19352191116893547
sub-05,Pearson R,0.12731367554725947
sub-06,Pearson R,0.4230335516653293
sub-07,Pearson R,0.4916606609453826
sub-08,Pearson R,-0.007413341543035345
sub-09,Pearson R,0.2576814207492125
sub-10,Pearson R,-0.1270717892797475
sub-11,Pearson R,0.2923028509757438
sub-12,Pearson R,0.4350857664075929
sub-13,Pearson R,0.2403395506597606
sub-14,Pearson R,0.076691347053806
sub-15,Pearson R,0.3679576631181477
sub-16,Pearson R,-0.08636351300158816
sub-17,Pearson R,0.0004977980581833692
sub-18,Pearson R,0.020121180833560785
sub-19,Pearson R,0.14704587996004878
sub-20,Pearson R,-0.44647912300889236
sub-21,Pearson R,0.4133043771655332
sub-22,Pearson R,0.34284221978411783
sub-23,Pearson R,0.35251683540798323
sub-24,Pearson R,0.40314612654673787
sub-25,Pearson R,0.2796520807378601
sub-26,Pearson R,0.38524018844478153
sub-27,Pearson R,0.17980148509423324
sub-28,Pearson R,0.17118303770090937
sub-29,Pearson R,0.3525686754509218
sub-00,MSE,0.05333473708548024
sub-01,MSE,0.07532055093143084
sub-02,MSE,0.06890317413132513
sub-03,MSE,0.07226078411943454
sub-04,MSE,0.06238584192099353
sub-05,MSE,0.10551158508389484
sub-06,MSE,0.0793479158409301
sub-07,MSE,0.060170638459505876
sub-08,MSE,0.03231458085612367
sub-09,MSE,0.14253554795877924
sub-10,MSE,0.14893459340731938
sub-11,MSE,0.1497256490289338
sub-12,MSE,0.1022659862597437
sub-13,MSE,0.05418623662306778
sub-14,MSE,0.08962226681199632
sub-15,MSE,0.10412525597833268
sub-16,MSE,0.06246800270841592
sub-17,MSE,0.04886960794028275
sub-18,MSE,0.07332842020081913
sub-19,MSE,0.22666542806183113
sub-20,MSE,0.10704196393182719
sub-21,MSE,0.07627097370854802
sub-22,MSE,0.10616379310344828
sub-23,MSE,0.12881750396353547
sub-24,MSE,0.054851284846082704
sub-25,MSE,0.04901630003963536
sub-26,MSE,0.04959064110186287
sub-27,MSE,0.0529998596247853
sub-28,MSE,0.08275449200687014
sub-29,MSE,0.02983951810014534
