score,benchmark,occluder_type,metric,visibility
0.5885549872122762,ImageNet-1K,,accuracy,
0.0080722506393861,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.0537883631713555,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.1321131713554987,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.2251438618925831,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.3063459079283887,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.3797554347826087,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.4433343989769821,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.4796795076726343,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.5200407608695652,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.007133152173913,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.0671155690537084,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.154951246803069,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.2437659846547314,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.3190337276214833,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.3758991368286445,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.4186381074168798,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.4907289002557545,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.5314897698209718,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0053548593350383,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.0258152173913043,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.1077365728900255,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.1782688618925831,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.2914402173913043,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.4005155051150895,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.4683304028132992,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.5092910805626598,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.5238171355498721,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0043957800511508,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.013147378516624,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.0531090153452685,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.1317335358056266,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.2863051470588235,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.396639226342711,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
0.4477101982097187,ImageNet-Occluded,horizontal_bars_16,accuracy,0.7
0.4769221547314578,ImageNet-Occluded,horizontal_bars_16,accuracy,0.8
0.4889705882352941,ImageNet-Occluded,horizontal_bars_16,accuracy,0.9
0.0040561061381074,ImageNet-Occluded,oblique_bars_02,accuracy,0.1
0.0230378836317135,ImageNet-Occluded,oblique_bars_02,accuracy,0.2
0.0859774616368286,ImageNet-Occluded,oblique_bars_02,accuracy,0.3
0.1657009271099744,ImageNet-Occluded,oblique_bars_02,accuracy,0.4
0.2386908567774936,ImageNet-Occluded,oblique_bars_02,accuracy,0.5
0.3110813618925831,ImageNet-Occluded,oblique_bars_02,accuracy,0.6
0.3723425511508951,ImageNet-Occluded,oblique_bars_02,accuracy,0.7
0.4082880434782608,ImageNet-Occluded,oblique_bars_02,accuracy,0.8
0.4509271099744245,ImageNet-Occluded,oblique_bars_02,accuracy,0.9
0.0021179667519181,ImageNet-Occluded,oblique_bars_04,accuracy,0.1
0.0077125959079283,ImageNet-Occluded,oblique_bars_04,accuracy,0.2
0.0327485613810741,ImageNet-Occluded,oblique_bars_04,accuracy,0.3
0.0705123081841432,ImageNet-Occluded,oblique_bars_04,accuracy,0.4
0.1324328644501279,ImageNet-Occluded,oblique_bars_04,accuracy,0.5
0.2016264386189258,ImageNet-Occluded,oblique_bars_04,accuracy,0.6
0.2644461317135549,ImageNet-Occluded,oblique_bars_04,accuracy,0.7
0.3352781329923274,ImageNet-Occluded,oblique_bars_04,accuracy,0.8
0.4720468350383631,ImageNet-Occluded,oblique_bars_04,accuracy,0.9
0.0018981777493606,ImageNet-Occluded,oblique_bars_08,accuracy,0.1
0.0046155690537084,ImageNet-Occluded,oblique_bars_08,accuracy,0.2
0.0187819693094629,ImageNet-Occluded,oblique_bars_08,accuracy,0.3
0.0451366687979539,ImageNet-Occluded,oblique_bars_08,accuracy,0.4
0.09065297314578,ImageNet-Occluded,oblique_bars_08,accuracy,0.5
0.1522937979539642,ImageNet-Occluded,oblique_bars_08,accuracy,0.6
0.2816096547314578,ImageNet-Occluded,oblique_bars_08,accuracy,0.7
0.4470308503836317,ImageNet-Occluded,oblique_bars_08,accuracy,0.8
0.5175431585677749,ImageNet-Occluded,oblique_bars_08,accuracy,0.9
0.0012987531969309,ImageNet-Occluded,oblique_bars_16,accuracy,0.1
0.0020580242966751,ImageNet-Occluded,oblique_bars_16,accuracy,0.2
0.0039162404092071,ImageNet-Occluded,oblique_bars_16,accuracy,0.3
0.048613331202046,ImageNet-Occluded,oblique_bars_16,accuracy,0.4
0.1290561061381074,ImageNet-Occluded,oblique_bars_16,accuracy,0.5
0.3632512787723785,ImageNet-Occluded,oblique_bars_16,accuracy,0.6
0.4687899616368286,ImageNet-Occluded,oblique_bars_16,accuracy,0.7
0.4862931585677749,ImageNet-Occluded,oblique_bars_16,accuracy,0.8
0.5005794437340153,ImageNet-Occluded,oblique_bars_16,accuracy,0.9
0.0061940537084398,ImageNet-Occluded,vertical_bars_02,accuracy,0.1
0.0616208439897698,ImageNet-Occluded,vertical_bars_02,accuracy,0.2
0.1563499040920716,ImageNet-Occluded,vertical_bars_02,accuracy,0.3
0.2494405370843989,ImageNet-Occluded,vertical_bars_02,accuracy,0.4
0.3295236572890025,ImageNet-Occluded,vertical_bars_02,accuracy,0.5
0.3955003196930946,ImageNet-Occluded,vertical_bars_02,accuracy,0.6
0.4483695652173913,ImageNet-Occluded,vertical_bars_02,accuracy,0.7
0.480718510230179,ImageNet-Occluded,vertical_bars_02,accuracy,0.8
0.5194213554987213,ImageNet-Occluded,vertical_bars_02,accuracy,0.9
0.0045756074168797,ImageNet-Occluded,vertical_bars_04,accuracy,0.1
0.0612412084398977,ImageNet-Occluded,vertical_bars_04,accuracy,0.2
0.1375679347826087,ImageNet-Occluded,vertical_bars_04,accuracy,0.3
0.2368726023017902,ImageNet-Occluded,vertical_bars_04,accuracy,0.4
0.3073249680306905,ImageNet-Occluded,vertical_bars_04,accuracy,0.5
0.3709638746803069,ImageNet-Occluded,vertical_bars_04,accuracy,0.6
0.4042519181585677,ImageNet-Occluded,vertical_bars_04,accuracy,0.7
0.4815377237851662,ImageNet-Occluded,vertical_bars_04,accuracy,0.8
0.5284926470588235,ImageNet-Occluded,vertical_bars_04,accuracy,0.9
0.0048953005115089,ImageNet-Occluded,vertical_bars_08,accuracy,0.1
0.034726662404092,ImageNet-Occluded,vertical_bars_08,accuracy,0.2
0.1131513746803069,ImageNet-Occluded,vertical_bars_08,accuracy,0.3
0.1772298593350383,ImageNet-Occluded,vertical_bars_08,accuracy,0.4
0.2858256074168798,ImageNet-Occluded,vertical_bars_08,accuracy,0.5
0.4003156969309463,ImageNet-Occluded,vertical_bars_08,accuracy,0.6
0.4732057225063938,ImageNet-Occluded,vertical_bars_08,accuracy,0.7
0.5100903132992327,ImageNet-Occluded,vertical_bars_08,accuracy,0.8
0.5205003196930946,ImageNet-Occluded,vertical_bars_08,accuracy,0.9
0.0035565856777493,ImageNet-Occluded,vertical_bars_16,accuracy,0.1
0.017922794117647,ImageNet-Occluded,vertical_bars_16,accuracy,0.2
0.0789841751918158,ImageNet-Occluded,vertical_bars_16,accuracy,0.3
0.1612651854219949,ImageNet-Occluded,vertical_bars_16,accuracy,0.4
0.3188339194373401,ImageNet-Occluded,vertical_bars_16,accuracy,0.5
0.4186780690537084,ImageNet-Occluded,vertical_bars_16,accuracy,0.6
0.4572610294117647,ImageNet-Occluded,vertical_bars_16,accuracy,0.7
0.4808783567774936,ImageNet-Occluded,vertical_bars_16,accuracy,0.8
0.4816775895140665,ImageNet-Occluded,vertical_bars_16,accuracy,0.9
0.0082720588235294,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.1
0.0290920716112531,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.2
0.0503916240409207,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.3
0.1140704923273657,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.4
0.2214474104859335,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.5
0.3386149296675191,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.6
0.4283687659846547,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.7
0.4639945652173913,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.8
0.4762028452685422,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.9
0.0035765664961636,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.1
0.0118885869565217,ImageNet-Occluded,oblique_crossed_bars,accuracy,0.2
