subject,metric_sim,value
sub-00,Pearson R,0.46484856295111193
sub-01,Pearson R,0.3843900669156055
sub-02,Pearson R,0.5978426671963868
sub-03,Pearson R,0.49210277500818994
sub-04,Pearson R,0.5747015516385252
sub-05,Pearson R,0.4680020328186443
sub-06,Pearson R,0.39385565263895983
sub-07,Pearson R,0.5150741389476341
sub-08,Pearson R,0.17768991808920048
sub-09,Pearson R,0.6973861154647885
sub-10,Pearson R,-0.03479623114798751
sub-11,Pearson R,0.6211216797417886
sub-12,Pearson R,0.6083657203058189
sub-13,Pearson R,0.4481261917745761
sub-14,Pearson R,0.5889717667599468
sub-15,Pearson R,0.6045219927862722
sub-16,Pearson R,0.4915475874485434
sub-17,Pearson R,0.1646175920753654
sub-18,Pearson R,0.355341977826905
sub-19,Pearson R,0.1949172632276655
sub-20,Pearson R,0.22409810810004338
sub-21,Pearson R,0.5359534039365064
sub-22,Pearson R,0.5810982764945275
sub-23,Pearson R,0.49989544616231524
sub-24,Pearson R,0.6798623845742559
sub-25,Pearson R,0.485566263740288
sub-26,Pearson R,0.26146192595285395
sub-27,Pearson R,0.36122962782457496
sub-28,Pearson R,0.6634067553225836
sub-29,Pearson R,0.7153222321250791
sub-00,MSE,0.059392423041352886
sub-01,MSE,0.037813408310212716
sub-02,MSE,0.04457515854141894
sub-03,MSE,0.040741924296472457
sub-04,MSE,0.046890895428722414
sub-05,MSE,0.022990198507068307
sub-06,MSE,0.03589142390011891
sub-07,MSE,0.05021237944246268
sub-08,MSE,0.10528562227506937
sub-09,MSE,0.009357329237680012
sub-10,MSE,0.021544003501123
sub-11,MSE,0.010093101796802747
sub-12,MSE,0.02235326661381953
sub-13,MSE,0.056038363720438626
sub-14,MSE,0.03166373530188928
sub-15,MSE,0.0206431662042542
sub-16,MSE,0.050925733254062626
sub-17,MSE,0.06691422248645792
sub-18,MSE,0.04388100310476946
sub-19,MSE,0.013885751089972254
sub-20,MSE,0.025205154247588853
sub-21,MSE,0.038453849583828775
sub-22,MSE,0.0204196393182719
sub-23,MSE,0.014622431959307704
sub-24,MSE,0.04985702371515392
sub-25,MSE,0.06121164453692693
sub-26,MSE,0.0744589774078478
sub-27,MSE,0.06148141267010174
sub-28,MSE,0.03154321905139385
sub-29,MSE,0.08406377989166336
