score,benchmark,occluder_type,metric,visibility
0.6280171035805626,ImageNet-1K,,accuracy,
0.0020180626598465,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.0078324808184143,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.0305506713554987,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.0873561381074168,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.165740888746803,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.2504595588235294,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.3300431585677749,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.399496483375959,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.477621483375959,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.0014186381074168,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.0036964514066496,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.0092311381074168,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.025115888746803,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.0602421675191815,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.1259390984654731,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.2133351982097186,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.3069253516624041,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.4169996803069054,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0013586956521739,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.0020979859335038,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.0045955882352941,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.0093510230179028,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.018542199488491,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.0361453005115089,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.0826206841432225,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.1837036445012787,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.3398137787723785,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0015185421994884,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.0018382352941176,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.0030970268542199,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.0068534207161125,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.0174632352941176,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.0447170716112532,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
0.0938698849104859,ImageNet-Occluded,horizontal_bars_16,accuracy,0.7
0.1972706202046036,ImageNet-Occluded,horizontal_bars_16,accuracy,0.8
0.3078244884910486,ImageNet-Occluded,horizontal_bars_16,accuracy,0.9
0.0013786764705882,ImageNet-Occluded,oblique_bars_02,accuracy,0.1
0.0068734015345268,ImageNet-Occluded,oblique_bars_02,accuracy,0.2
0.0308703644501278,ImageNet-Occluded,oblique_bars_02,accuracy,0.3
0.0926110933503836,ImageNet-Occluded,oblique_bars_02,accuracy,0.4
0.167539162404092,ImageNet-Occluded,oblique_bars_02,accuracy,0.5
0.2477221867007672,ImageNet-Occluded,oblique_bars_02,accuracy,0.6
0.3283847506393862,ImageNet-Occluded,oblique_bars_02,accuracy,0.7
0.3630714514066496,ImageNet-Occluded,oblique_bars_02,accuracy,0.8
0.438558983375959,ImageNet-Occluded,oblique_bars_02,accuracy,0.9
0.0012987531969309,ImageNet-Occluded,oblique_bars_04,accuracy,0.1
0.0031369884910485,ImageNet-Occluded,oblique_bars_04,accuracy,0.2
0.005894341432225,ImageNet-Occluded,oblique_bars_04,accuracy,0.3
0.0131873401534526,ImageNet-Occluded,oblique_bars_04,accuracy,0.4
0.0309303069053708,ImageNet-Occluded,oblique_bars_04,accuracy,0.5
0.0689937659846547,ImageNet-Occluded,oblique_bars_04,accuracy,0.6
0.12426070971867,ImageNet-Occluded,oblique_bars_04,accuracy,0.7
0.2113570971867007,ImageNet-Occluded,oblique_bars_04,accuracy,0.8
0.3135989450127877,ImageNet-Occluded,oblique_bars_04,accuracy,0.9
0.0011389066496163,ImageNet-Occluded,oblique_bars_08,accuracy,0.1
0.0017583120204603,ImageNet-Occluded,oblique_bars_08,accuracy,0.2
0.0033367966751918,ImageNet-Occluded,oblique_bars_08,accuracy,0.3
0.0048753196930946,ImageNet-Occluded,oblique_bars_08,accuracy,0.4
0.0077925191815856,ImageNet-Occluded,oblique_bars_08,accuracy,0.5
0.0194013746803069,ImageNet-Occluded,oblique_bars_08,accuracy,0.6
0.0514905690537084,ImageNet-Occluded,oblique_bars_08,accuracy,0.7
0.0963275255754475,ImageNet-Occluded,oblique_bars_08,accuracy,0.8
0.1835837595907928,ImageNet-Occluded,oblique_bars_08,accuracy,0.9
0.0011389066496163,ImageNet-Occluded,oblique_bars_16,accuracy,0.1
0.0014985613810741,ImageNet-Occluded,oblique_bars_16,accuracy,0.2
0.0016384271099744,ImageNet-Occluded,oblique_bars_16,accuracy,0.3
0.0027173913043478,ImageNet-Occluded,oblique_bars_16,accuracy,0.4
0.0042758951406649,ImageNet-Occluded,oblique_bars_16,accuracy,0.5
0.0084718670076726,ImageNet-Occluded,oblique_bars_16,accuracy,0.6
0.0215593030690537,ImageNet-Occluded,oblique_bars_16,accuracy,0.7
0.0608815537084398,ImageNet-Occluded,oblique_bars_16,accuracy,0.8
0.1651015025575447,ImageNet-Occluded,oblique_bars_16,accuracy,0.9
0.0017583120204603,ImageNet-Occluded,vertical_bars_02,accuracy,0.1
0.0076526534526854,ImageNet-Occluded,vertical_bars_02,accuracy,0.2
0.0363850703324808,ImageNet-Occluded,vertical_bars_02,accuracy,0.3
0.1017423273657289,ImageNet-Occluded,vertical_bars_02,accuracy,0.4
0.1743126598465473,ImageNet-Occluded,vertical_bars_02,accuracy,0.5
0.2548153772378516,ImageNet-Occluded,vertical_bars_02,accuracy,0.6
0.3283847506393862,ImageNet-Occluded,vertical_bars_02,accuracy,0.7
0.4031929347826087,ImageNet-Occluded,vertical_bars_02,accuracy,0.8
0.4590992647058823,ImageNet-Occluded,vertical_bars_02,accuracy,0.9
0.0011988491048593,ImageNet-Occluded,vertical_bars_04,accuracy,0.1
