score,benchmark,occluder_type,metric,visibility
0.6816456202046036,ImageNet-1K,,accuracy,
0.0109694693094629,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.0635190217391304,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.1498960997442455,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.2601302749360614,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.3577965153452685,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.4577205882352941,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.538503037084399,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.6051790281329923,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.6510350063938619,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.006573689258312,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.0908727621483376,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.2017862851662404,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.3245484335038363,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.4085677749360614,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.5184422953964194,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.5845588235294118,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.6338515025575447,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.6508351982097187,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0041759910485933,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.0611013427109974,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.2184502877237851,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.3863690856777493,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.5049752237851662,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.5931705562659847,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.6200647378516624,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.634171195652174,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.6312539961636828,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0022778132992327,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.0051150895140664,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.0424992007672634,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.1361492966751918,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.2862252237851662,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.4008951406649616,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
0.4512268222506393,ImageNet-Occluded,horizontal_bars_16,accuracy,0.7
0.4756633631713555,ImageNet-Occluded,horizontal_bars_16,accuracy,0.8
