subject,metric_sim,value
sub-00,Pearson R,-0.44879198290910116
sub-01,Pearson R,0.039290587709869707
sub-02,Pearson R,-0.2015694452551942
sub-03,Pearson R,-0.010946111045932369
sub-04,Pearson R,-0.1402414999915454
sub-05,Pearson R,-0.1173021952923598
sub-06,Pearson R,0.03358576821655817
sub-07,Pearson R,0.044109337977174964
sub-08,Pearson R,-0.2388365110696188
sub-09,Pearson R,-0.0764550485899905
sub-10,Pearson R,-0.21276344652476117
sub-11,Pearson R,-0.09568105076049364
sub-12,Pearson R,-0.09894298164839008
sub-13,Pearson R,0.004739779319536632
sub-14,Pearson R,-0.24688367650322962
sub-15,Pearson R,-0.18866866870837076
sub-16,Pearson R,-0.3313714368504867
sub-17,Pearson R,0.045586350505135924
sub-18,Pearson R,-0.33043680855027324
sub-19,Pearson R,0.06438730586227506
sub-20,Pearson R,-0.4016152968969073
sub-21,Pearson R,0.08571809893079588
sub-22,Pearson R,0.2075627398574748
sub-23,Pearson R,-0.12259335825202422
sub-24,Pearson R,-0.172961570167414
sub-25,Pearson R,0.08214039788344363
sub-26,Pearson R,-0.20347594576581648
sub-27,Pearson R,0.11218576528199294
sub-28,Pearson R,-0.2020888619170211
sub-29,Pearson R,0.2584179713341712
sub-00,MSE,0.042428243493195926
sub-01,MSE,0.04752283161580129
sub-02,MSE,0.05020647542608006
sub-03,MSE,0.04800832342449465
sub-04,MSE,0.04348613588320782
sub-05,MSE,0.07241441240586603
sub-06,MSE,0.05281753699299775
sub-07,MSE,0.0413807140969745
sub-08,MSE,0.029600384793235575
sub-09,MSE,0.10111618939093672
sub-10,MSE,0.10680980809882416
sub-11,MSE,0.10789854174924035
sub-12,MSE,0.07253146056282203
sub-13,MSE,0.035734781675254325
sub-14,MSE,0.06478828114678292
sub-15,MSE,0.07421683016250497
sub-16,MSE,0.04556785903025498
sub-17,MSE,0.03024078478002378
sub-18,MSE,0.053679234377064344
sub-19,MSE,0.1660932752014797
sub-20,MSE,0.07417166237283658
sub-21,MSE,0.051002320319725195
sub-22,MSE,0.06947214790593209
sub-23,MSE,0.09101499537587528
sub-24,MSE,0.03970839113489231
sub-25,MSE,0.031534672678028806
sub-26,MSE,0.042042087792310744
sub-27,MSE,0.03334712313383537
sub-28,MSE,0.058569617849121416
sub-29,MSE,0.018139780684370457
