benchmark,score,occluder_type,visibility,metric
ImageNet-1K,0.6858349318242134,,,accuracy
ImageNet-Occluded,0.0028981573984254,natural,0.1,accuracy
ImageNet-Occluded,0.0083158050986881,natural,0.2,accuracy
ImageNet-Occluded,0.0184544500115574,natural,0.3,accuracy
ImageNet-Occluded,0.0419609632571132,natural,0.4,accuracy
ImageNet-Occluded,0.0891643704808488,natural,0.5,accuracy
ImageNet-Occluded,0.1468047818967274,natural,0.6,accuracy
ImageNet-Occluded,0.2423809158558748,natural,0.7,accuracy
ImageNet-Occluded,0.354539294023903,natural,0.8,accuracy
ImageNet-Occluded,0.473592505163076,natural,0.9,accuracy
ImageNet-Occluded,0.014284947202826,natural_silhouette,0.1,accuracy
ImageNet-Occluded,0.0443843808405253,natural_silhouette,0.2,accuracy
ImageNet-Occluded,0.0840932714695833,natural_silhouette,0.3,accuracy
ImageNet-Occluded,0.1509701199069315,natural_silhouette,0.4,accuracy
ImageNet-Occluded,0.2355327898142289,natural_silhouette,0.5,accuracy
ImageNet-Occluded,0.3426170811361196,natural_silhouette,0.6,accuracy
ImageNet-Occluded,0.4688932263121313,natural_silhouette,0.7,accuracy
ImageNet-Occluded,0.5399035774931615,natural_silhouette,0.8,accuracy
ImageNet-Occluded,0.5917759330905213,natural_silhouette,0.9,accuracy
ImageNet-Occluded,0.0076024954074195,curved_lines,0.1,accuracy
ImageNet-Occluded,0.0597253041151835,curved_lines,0.2,accuracy
ImageNet-Occluded,0.1716525478630649,curved_lines,0.3,accuracy
ImageNet-Occluded,0.3176622299515471,curved_lines,0.4,accuracy
ImageNet-Occluded,0.43200811500452,curved_lines,0.5,accuracy
ImageNet-Occluded,0.5184763086085417,curved_lines,0.6,accuracy
ImageNet-Occluded,0.5746764066267986,curved_lines,0.7,accuracy
ImageNet-Occluded,0.6180562717573983,curved_lines,0.8,accuracy
ImageNet-Occluded,0.642785940851484,curved_lines,0.9,accuracy
ImageNet-Occluded,0.0053055040818658,straight_lines,0.1,accuracy
ImageNet-Occluded,0.0493034765276373,straight_lines,0.2,accuracy
ImageNet-Occluded,0.1751920371031274,straight_lines,0.3,accuracy
ImageNet-Occluded,0.3215583623672018,straight_lines,0.4,accuracy
ImageNet-Occluded,0.4450841886656625,straight_lines,0.5,accuracy
ImageNet-Occluded,0.5254142722304986,straight_lines,0.6,accuracy
ImageNet-Occluded,0.5800589712298646,straight_lines,0.7,accuracy
ImageNet-Occluded,0.6155632527507081,straight_lines,0.8,accuracy
ImageNet-Occluded,0.6418709560316436,straight_lines,0.9,accuracy
ImageNet-Occluded,0.0079537972009607,empty_rectangles,0.1,accuracy
ImageNet-Occluded,0.0651173748228014,empty_rectangles,0.2,accuracy
ImageNet-Occluded,0.1907655770073131,empty_rectangles,0.3,accuracy
ImageNet-Occluded,0.3364266163232375,empty_rectangles,0.4,accuracy
ImageNet-Occluded,0.4483574367299371,empty_rectangles,0.5,accuracy
ImageNet-Occluded,0.5314235796733778,empty_rectangles,0.6,accuracy
ImageNet-Occluded,0.5828497385492131,empty_rectangles,0.7,accuracy
ImageNet-Occluded,0.6184991987384095,empty_rectangles,0.8,accuracy
ImageNet-Occluded,0.6440034496540926,empty_rectangles,0.9,accuracy
ImageNet-Occluded,0.023073115557128,filled_rectangles,0.1,accuracy
ImageNet-Occluded,0.0919081479006884,filled_rectangles,0.2,accuracy
ImageNet-Occluded,0.2004166820219584,filled_rectangles,0.3,accuracy
ImageNet-Occluded,0.3096804558014383,filled_rectangles,0.4,accuracy
ImageNet-Occluded,0.4125774083088855,filled_rectangles,0.5,accuracy
ImageNet-Occluded,0.4922179944661198,filled_rectangles,0.6,accuracy
ImageNet-Occluded,0.5535100151081475,filled_rectangles,0.7,accuracy
ImageNet-Occluded,0.6018521055883291,filled_rectangles,0.8,accuracy
ImageNet-Occluded,0.6380316250178278,filled_rectangles,0.9,accuracy
ImageNet-Occluded,0.0053495285718948,empty_triangles,0.1,accuracy
ImageNet-Occluded,0.0442412954051883,empty_triangles,0.2,accuracy
ImageNet-Occluded,0.1436641958295082,empty_triangles,0.3,accuracy
ImageNet-Occluded,0.2752815399851118,empty_triangles,0.4,accuracy
ImageNet-Occluded,0.3911132459737816,empty_triangles,0.5,accuracy
ImageNet-Occluded,0.4881826359398511,empty_triangles,0.6,accuracy
ImageNet-Occluded,0.5543768101808976,empty_triangles,0.7,accuracy
ImageNet-Occluded,0.6004361923860044,empty_triangles,0.8,accuracy
ImageNet-Occluded,0.6375913802458315,empty_triangles,0.9,accuracy
ImageNet-Occluded,0.0077428984626823,filled_triangles,0.1,accuracy
ImageNet-Occluded,0.0304781007675492,filled_triangles,0.2,accuracy
ImageNet-Occluded,0.0784513364945139,filled_triangles,0.3,accuracy
ImageNet-Occluded,0.1525329777172633,filled_triangles,0.4,accuracy
ImageNet-Occluded,0.2424008457028136,filled_triangles,0.5,accuracy
ImageNet-Occluded,0.3421851658091253,filled_triangles,0.6,accuracy
ImageNet-Occluded,0.446197577885219,filled_triangles,0.7,accuracy
ImageNet-Occluded,0.5357962396680093,filled_triangles,0.8,accuracy
ImageNet-Occluded,0.6079113909176418,filled_triangles,0.9,accuracy
ImageNet-Occluded,0.0058561043376673,empty_ellipses,0.1,accuracy
ImageNet-Occluded,0.0544156352324145,empty_ellipses,0.2,accuracy
ImageNet-Occluded,0.1825702451929754,empty_ellipses,0.3,accuracy
ImageNet-Occluded,0.3198357601555026,empty_ellipses,0.4,accuracy
ImageNet-Occluded,0.4360274027804939,empty_ellipses,0.5,accuracy
ImageNet-Occluded,0.5202393592620382,empty_ellipses,0.6,accuracy
ImageNet-Occluded,0.5743619994241365,empty_ellipses,0.7,accuracy
ImageNet-Occluded,0.6146854454157303,empty_ellipses,0.8,accuracy
ImageNet-Occluded,0.6421181377099485,empty_ellipses,0.9,accuracy
ImageNet-Occluded,0.0114058255198962,filled_ellipses,0.1,accuracy
ImageNet-Occluded,0.0384194035919345,filled_ellipses,0.2,accuracy
ImageNet-Occluded,0.0823311153419163,filled_ellipses,0.3,accuracy
ImageNet-Occluded,0.1382507128374917,filled_ellipses,0.4,accuracy
ImageNet-Occluded,0.2136637945564425,filled_ellipses,0.5,accuracy
ImageNet-Occluded,0.2986214848197236,filled_ellipses,0.6,accuracy
ImageNet-Occluded,0.3904540782072106,filled_ellipses,0.7,accuracy
ImageNet-Occluded,0.4938037468462574,filled_ellipses,0.8,accuracy
ImageNet-Occluded,0.5893858342754598,filled_ellipses,0.9,accuracy
ImageNet-Occluded,0.036882122978568,horizontal_bars_04,0.1,accuracy
ImageNet-Occluded,0.187935538742007,horizontal_bars_04,0.2,accuracy
ImageNet-Occluded,0.3075164319301138,horizontal_bars_04,0.3,accuracy
ImageNet-Occluded,0.3854763696388322,horizontal_bars_04,0.4,accuracy
ImageNet-Occluded,0.459242121297486,horizontal_bars_04,0.5,accuracy
ImageNet-Occluded,0.5387021388326373,horizontal_bars_04,0.6,accuracy
ImageNet-Occluded,0.6081362670781661,horizontal_bars_04,0.7,accuracy
