subject,metric_sim,value
sub-00,Pearson R,0.5103245857667229
sub-01,Pearson R,0.29438481681006473
sub-02,Pearson R,0.5999123333344213
sub-03,Pearson R,0.62147488020499
sub-04,Pearson R,0.6420861291831729
sub-05,Pearson R,0.45998151958034256
sub-06,Pearson R,0.6237767511754216
sub-07,Pearson R,0.5660958441350246
sub-08,Pearson R,0.5448041004422787
sub-09,Pearson R,0.4038003882378681
sub-10,Pearson R,0.5938664730967962
sub-11,Pearson R,0.3285525297249148
sub-12,Pearson R,0.857571435712131
sub-13,Pearson R,0.5775544988798342
sub-14,Pearson R,0.5148373209666828
sub-15,Pearson R,0.38328778055849366
sub-16,Pearson R,0.37741191748601416
sub-17,Pearson R,0.4239439180353723
sub-18,Pearson R,0.4628101037340655
sub-19,Pearson R,0.0024070040575545106
sub-20,Pearson R,0.17904778967301535
sub-21,Pearson R,0.6851447016634056
sub-22,Pearson R,0.4446662145252986
sub-23,Pearson R,0.6051538860194837
sub-24,Pearson R,0.47853169976444904
sub-25,Pearson R,0.7240915810478968
sub-26,Pearson R,0.7420232423337911
sub-27,Pearson R,0.7311577750895453
sub-28,Pearson R,0.5840843308705133
sub-29,Pearson R,0.6285523747037791
sub-00,MSE,0.024802814110186287
sub-01,MSE,0.030291113423173463
sub-02,MSE,0.020782467961421584
sub-03,MSE,0.020726317875544985
sub-04,MSE,0.01996474104901572
sub-05,MSE,0.030842003567181912
sub-06,MSE,0.021655766944114148
sub-07,MSE,0.02202974303078346
sub-08,MSE,0.033413016911084684
sub-09,MSE,0.04364583333333333
sub-10,MSE,0.039271865504029585
sub-11,MSE,0.04845983617386708
sub-12,MSE,0.017790535407583564
sub-13,MSE,0.02248699464922711
sub-14,MSE,0.025285580988241504
sub-15,MSE,0.033110467036596654
sub-16,MSE,0.02838948341920993
sub-17,MSE,0.02802128748843969
sub-18,MSE,0.025616701347602064
sub-19,MSE,0.0911945930770247
sub-20,MSE,0.037748629277315364
sub-21,MSE,0.01807033623992602
sub-22,MSE,0.03171930737217598
sub-23,MSE,0.03410250693618708
sub-24,MSE,0.02518665774871185
sub-25,MSE,0.01840678260007927
sub-26,MSE,0.01666290956533228
sub-27,MSE,0.01738658508389483
sub-28,MSE,0.0226489628748844
sub-29,MSE,0.0279662108600872
