score,benchmark,occluder_type,metric,visibility
0.6885789641943734,ImageNet-1K,,accuracy,
0.0035765664961636,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.0255554667519181,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.0781649616368286,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.1691775895140665,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.2670835997442455,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.3769381393861892,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.5160645780051151,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.586057384910486,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.6142902813299232,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.0016184462915601,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.0178228900255754,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.0829603580562659,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.2489609974424552,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.3977181905370844,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.463854699488491,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.5020580242966752,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.5470947890025576,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.5968869884910486,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0024376598465473,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.0311700767263427,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.1388067455242966,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.2705802429667519,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.3722626278772378,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.4562619884910486,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.5285326086956522,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.5715712915601023,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.6111532928388747,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0020979859335038,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.0035765664961636,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.0080123081841432,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.0331681585677749,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.1182065217391304,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.2801310741687979,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
0.4383192135549872,ImageNet-Occluded,horizontal_bars_16,accuracy,0.7
0.5423393542199488,ImageNet-Occluded,horizontal_bars_16,accuracy,0.8
0.5845388427109974,ImageNet-Occluded,horizontal_bars_16,accuracy,0.9
0.001738331202046,ImageNet-Occluded,oblique_bars_02,accuracy,0.1
0.0098905051150895,ImageNet-Occluded,oblique_bars_02,accuracy,0.2
0.0545875959079283,ImageNet-Occluded,oblique_bars_02,accuracy,0.3
0.144221547314578,ImageNet-Occluded,oblique_bars_02,accuracy,0.4
0.2423073849104859,ImageNet-Occluded,oblique_bars_02,accuracy,0.5
