subject,metric_sim,value
sub-00,Pearson R,-0.028941941165778935
sub-01,Pearson R,0.36277507447056495
sub-02,Pearson R,0.23622949165049711
sub-03,Pearson R,0.5922462262272274
sub-04,Pearson R,0.38383985594098424
sub-05,Pearson R,0.13291161579753294
sub-06,Pearson R,0.44543977655690026
sub-07,Pearson R,0.3946247255987783
sub-08,Pearson R,0.070997646180702
sub-09,Pearson R,0.2311298733910849
sub-10,Pearson R,-0.011023385789071374
sub-11,Pearson R,0.24011806374467423
sub-12,Pearson R,0.5582458441567861
sub-13,Pearson R,0.34401632172342667
sub-14,Pearson R,0.2489929583208096
sub-15,Pearson R,0.2234759689611684
sub-16,Pearson R,-0.006208691185967778
sub-17,Pearson R,0.1986844850488113
sub-18,Pearson R,0.009452901897457792
sub-19,Pearson R,0.1457658282020264
sub-20,Pearson R,-0.2886170970192755
sub-21,Pearson R,0.5211126252267365
sub-22,Pearson R,0.4546831338820381
sub-23,Pearson R,0.30244588142847545
sub-24,Pearson R,0.357455938649938
sub-25,Pearson R,0.4438952429196397
sub-26,Pearson R,0.2884173696249488
sub-27,Pearson R,0.4484389752307914
sub-28,Pearson R,0.3283776166514106
sub-29,Pearson R,0.7301357587922471
sub-00,MSE,0.03497972816752543
sub-01,MSE,0.02971375842251288
sub-02,MSE,0.03195976185757696
sub-03,MSE,0.02249516944114149
sub-04,MSE,0.025419763178755446
sub-05,MSE,0.04664218357775135
sub-06,MSE,0.029304894966309947
sub-07,MSE,0.025177450786101202
sub-08,MSE,0.035832796604571275
sub-09,MSE,0.06252402893380896
sub-10,MSE,0.07148554135288678
sub-11,MSE,0.06678520114942528
sub-12,MSE,0.034849344365173736
sub-13,MSE,0.024836586735367948
sub-14,MSE,0.0377805027084159
sub-15,MSE,0.04478431761130929
sub-16,MSE,0.03581198804333466
sub-17,MSE,0.027200175056150078
sub-18,MSE,0.03870446062888096
sub-19,MSE,0.11313684931959306
sub-20,MSE,0.0543479984145858
sub-21,MSE,0.025801294754921385
sub-22,MSE,0.03948081813978069
sub-23,MSE,0.05410568602193156
sub-24,MSE,0.024644107543929174
sub-25,MSE,0.021172091755846213
sub-26,MSE,0.028659746994318933
sub-27,MSE,0.021628971792839208
sub-28,MSE,0.0329483749504558
sub-29,MSE,0.013112366230677765
