benchmark,score,occluder_type,visibility,metric
ImageNet-1K,0.6851808930297032,,,accuracy
ImageNet-Occluded,0.0044368351714647,natural,0.1,accuracy
ImageNet-Occluded,0.0104921243286558,natural,0.2,accuracy
ImageNet-Occluded,0.0181301441613812,natural,0.3,accuracy
ImageNet-Occluded,0.0367295798294398,natural,0.4,accuracy
ImageNet-Occluded,0.0741521918347903,natural,0.5,accuracy
ImageNet-Occluded,0.1189123719018332,natural,0.6,accuracy
ImageNet-Occluded,0.2410842137677329,natural,0.7,accuracy
ImageNet-Occluded,0.39049075574291,natural,0.8,accuracy
ImageNet-Occluded,0.494468903663207,natural,0.9,accuracy
ImageNet-Occluded,0.0202111210293915,natural_silhouette,0.1,accuracy
ImageNet-Occluded,0.0509741558712356,natural_silhouette,0.2,accuracy
ImageNet-Occluded,0.1320461410344863,natural_silhouette,0.3,accuracy
ImageNet-Occluded,0.2011196062881119,natural_silhouette,0.4,accuracy
ImageNet-Occluded,0.2222106487167124,natural_silhouette,0.5,accuracy
ImageNet-Occluded,0.3557018917434069,natural_silhouette,0.6,accuracy
ImageNet-Occluded,0.4706147568566458,natural_silhouette,0.7,accuracy
ImageNet-Occluded,0.5607258677482605,natural_silhouette,0.8,accuracy
ImageNet-Occluded,0.6034735088445702,natural_silhouette,0.9,accuracy
ImageNet-Occluded,0.0066937963307207,curved_lines,0.1,accuracy
ImageNet-Occluded,0.0291693992152506,curved_lines,0.2,accuracy
ImageNet-Occluded,0.1029312668406233,curved_lines,0.3,accuracy
ImageNet-Occluded,0.1920906335723643,curved_lines,0.4,accuracy
ImageNet-Occluded,0.3118603649188061,curved_lines,0.5,accuracy
ImageNet-Occluded,0.4091202738333721,curved_lines,0.6,accuracy
ImageNet-Occluded,0.4836030006408691,curved_lines,0.7,accuracy
ImageNet-Occluded,0.5466347142141692,curved_lines,0.8,accuracy
ImageNet-Occluded,0.611861342070054,curved_lines,0.9,accuracy
ImageNet-Occluded,0.0051584460449462,straight_lines,0.1,accuracy
ImageNet-Occluded,0.0288937656703043,straight_lines,0.2,accuracy
ImageNet-Occluded,0.1069446867521928,straight_lines,0.3,accuracy
ImageNet-Occluded,0.2094773568060933,straight_lines,0.4,accuracy
ImageNet-Occluded,0.2858470258664112,straight_lines,0.5,accuracy
ImageNet-Occluded,0.4202358643619381,straight_lines,0.6,accuracy
ImageNet-Occluded,0.4905378350189754,straight_lines,0.7,accuracy
ImageNet-Occluded,0.5497922787860948,straight_lines,0.8,accuracy
ImageNet-Occluded,0.6060967287238763,straight_lines,0.9,accuracy
ImageNet-Occluded,0.0044409715551502,empty_rectangles,0.1,accuracy
ImageNet-Occluded,0.0221691344465528,empty_rectangles,0.2,accuracy
ImageNet-Occluded,0.0790165785928161,empty_rectangles,0.3,accuracy
ImageNet-Occluded,0.171937421876557,empty_rectangles,0.4,accuracy
ImageNet-Occluded,0.2811131234071692,empty_rectangles,0.5,accuracy
ImageNet-Occluded,0.3751613193628739,empty_rectangles,0.6,accuracy
ImageNet-Occluded,0.4680746416656338,empty_rectangles,0.7,accuracy
ImageNet-Occluded,0.5375790425709316,empty_rectangles,0.8,accuracy
ImageNet-Occluded,0.6080588783536639,empty_rectangles,0.9,accuracy
ImageNet-Occluded,0.0108749278041781,filled_rectangles,0.1,accuracy
ImageNet-Occluded,0.0409983274127755,filled_rectangles,0.2,accuracy
ImageNet-Occluded,0.0907402170860037,filled_rectangles,0.3,accuracy
ImageNet-Occluded,0.1720231576841704,filled_rectangles,0.4,accuracy
ImageNet-Occluded,0.2704950273036957,filled_rectangles,0.5,accuracy
ImageNet-Occluded,0.3602255911243205,filled_rectangles,0.6,accuracy
ImageNet-Occluded,0.4409486158769958,filled_rectangles,0.7,accuracy
ImageNet-Occluded,0.5267578874315534,filled_rectangles,0.8,accuracy
ImageNet-Occluded,0.6085575004013217,filled_rectangles,0.9,accuracy
ImageNet-Occluded,0.004577096171525,empty_triangles,0.1,accuracy
ImageNet-Occluded,0.030138441038375,empty_triangles,0.2,accuracy
ImageNet-Occluded,0.0873386058576253,empty_triangles,0.3,accuracy
ImageNet-Occluded,0.1698932963974621,empty_triangles,0.4,accuracy
ImageNet-Occluded,0.2809570687157767,empty_triangles,0.5,accuracy
ImageNet-Occluded,0.3811451616335888,empty_triangles,0.6,accuracy
ImageNet-Occluded,0.475148609098123,empty_triangles,0.7,accuracy
ImageNet-Occluded,0.5329237312686687,empty_triangles,0.8,accuracy
ImageNet-Occluded,0.6033855165754046,empty_triangles,0.9,accuracy
ImageNet-Occluded,0.0063143771673951,filled_triangles,0.1,accuracy
ImageNet-Occluded,0.0225602107084527,filled_triangles,0.2,accuracy
ImageNet-Occluded,0.056695526123655,filled_triangles,0.3,accuracy
ImageNet-Occluded,0.0999086987303227,filled_triangles,0.4,accuracy
ImageNet-Occluded,0.1711778315354366,filled_triangles,0.5,accuracy
ImageNet-Occluded,0.2527078268479328,filled_triangles,0.6,accuracy
ImageNet-Occluded,0.3319131750233319,filled_triangles,0.7,accuracy
ImageNet-Occluded,0.4489254428415882,filled_triangles,0.8,accuracy
ImageNet-Occluded,0.5782667653901237,filled_triangles,0.9,accuracy
ImageNet-Occluded,0.0048072294959304,empty_ellipses,0.1,accuracy
ImageNet-Occluded,0.0343891389059777,empty_ellipses,0.2,accuracy
ImageNet-Occluded,0.1166279601807497,empty_ellipses,0.3,accuracy
ImageNet-Occluded,0.2251459767623823,empty_ellipses,0.4,accuracy
ImageNet-Occluded,0.3191174615402611,empty_ellipses,0.5,accuracy
ImageNet-Occluded,0.4083445145159352,empty_ellipses,0.6,accuracy
ImageNet-Occluded,0.4852639461050228,empty_ellipses,0.7,accuracy
ImageNet-Occluded,0.5545540074912869,empty_ellipses,0.8,accuracy
ImageNet-Occluded,0.6144243965343553,empty_ellipses,0.9,accuracy
ImageNet-Occluded,0.0082889361573117,filled_ellipses,0.1,accuracy
ImageNet-Occluded,0.0238988947655473,filled_ellipses,0.2,accuracy
ImageNet-Occluded,0.0609936043620109,filled_ellipses,0.3,accuracy
ImageNet-Occluded,0.0908729573901818,filled_ellipses,0.4,accuracy
ImageNet-Occluded,0.1408088809373427,filled_ellipses,0.5,accuracy
ImageNet-Occluded,0.2169758677482605,filled_ellipses,0.6,accuracy
ImageNet-Occluded,0.2948598296058421,filled_ellipses,0.7,accuracy
ImageNet-Occluded,0.4211263145719255,filled_ellipses,0.8,accuracy
ImageNet-Occluded,0.5504875669673998,filled_ellipses,0.9,accuracy
ImageNet-Occluded,0.0209443889634341,horizontal_bars_04,0.1,accuracy
ImageNet-Occluded,0.1305404974489795,horizontal_bars_04,0.2,accuracy
ImageNet-Occluded,0.2341219287137596,horizontal_bars_04,0.3,accuracy
ImageNet-Occluded,0.3026832342147827,horizontal_bars_04,0.4,accuracy
ImageNet-Occluded,0.3753113570261974,horizontal_bars_04,0.5,accuracy
ImageNet-Occluded,0.4661042191544358,horizontal_bars_04,0.6,accuracy
ImageNet-Occluded,0.5601915218392197,horizontal_bars_04,0.7,accuracy
ImageNet-Occluded,0.6220680560384478,horizontal_bars_04,0.8,accuracy
ImageNet-Occluded,0.6468859801487047,horizontal_bars_04,0.9,accuracy
ImageNet-Occluded,0.0480053607298403,vertical_bars_04,0.1,accuracy
ImageNet-Occluded,0.1846733461229168,vertical_bars_04,0.2,accuracy
ImageNet-Occluded,0.3009813008259754,vertical_bars_04,0.3,accuracy
ImageNet-Occluded,0.3649004563993337,vertical_bars_04,0.4,accuracy
ImageNet-Occluded,0.4278167267234958,vertical_bars_04,0.5,accuracy
ImageNet-Occluded,0.4882955393012689,vertical_bars_04,0.6,accuracy
ImageNet-Occluded,0.5472837504075498,vertical_bars_04,0.7,accuracy
ImageNet-Occluded,0.6215446165629795,vertical_bars_04,0.8,accuracy
ImageNet-Occluded,0.6507723003017659,vertical_bars_04,0.9,accuracy
ImageNet-Occluded,0.0021208365428812,oblique_bars_04,0.1,accuracy
ImageNet-Occluded,0.0070119218102523,oblique_bars_04,0.2,accuracy
ImageNet-Occluded,0.0157393146002171,oblique_bars_04,0.3,accuracy
ImageNet-Occluded,0.0381476072480483,oblique_bars_04,0.4,accuracy
ImageNet-Occluded,0.0782709015267235,oblique_bars_04,0.5,accuracy
ImageNet-Occluded,0.1136982726807497,oblique_bars_04,0.6,accuracy
ImageNet-Occluded,0.1791809812492253,oblique_bars_04,0.7,accuracy
ImageNet-Occluded,0.3535833115480384,oblique_bars_04,0.8,accuracy
ImageNet-Occluded,0.5421200394630432,oblique_bars_04,0.9,accuracy
ImageNet-Occluded,0.0191465663552588,cardinal_crossed_bars,0.1,accuracy
ImageNet-Occluded,0.0266650071253581,cardinal_crossed_bars,0.2,accuracy
ImageNet-Occluded,0.0434380415446904,cardinal_crossed_bars,0.3,accuracy
ImageNet-Occluded,0.1633502901816854,cardinal_crossed_bars,0.4,accuracy
ImageNet-Occluded,0.3634433211112509,cardinal_crossed_bars,0.5,accuracy
ImageNet-Occluded,0.4880887203070582,cardinal_crossed_bars,0.6,accuracy
ImageNet-Occluded,0.5608796659781008,cardinal_crossed_bars,0.7,accuracy
ImageNet-Occluded,0.585300873736946,cardinal_crossed_bars,0.8,accuracy
ImageNet-Occluded,0.5945434339192449,cardinal_crossed_bars,0.9,accuracy
ImageNet-Occluded,0.0052622316633256,oblique_crossed_bars,0.1,accuracy
ImageNet-Occluded,0.0065892586408525,oblique_crossed_bars,0.2,accuracy
ImageNet-Occluded,0.018397504957963,oblique_crossed_bars,0.3,accuracy
ImageNet-Occluded,0.072974826760438,oblique_crossed_bars,0.4,accuracy
ImageNet-Occluded,0.266962179724051,oblique_crossed_bars,0.5,accuracy
ImageNet-Occluded,0.4304940949897377,oblique_crossed_bars,0.6,accuracy
ImageNet-Occluded,0.530735583937898,oblique_crossed_bars,0.7,accuracy
ImageNet-Occluded,0.5657369080854922,oblique_crossed_bars,0.8,accuracy
ImageNet-Occluded,0.5840291234911704,oblique_crossed_bars,0.9,accuracy
ImageNet-Occluded,0.0086228551000964,mud_splash,0.1,accuracy
ImageNet-Occluded,0.0242053631465045,mud_splash,0.2,accuracy
ImageNet-Occluded,0.0402176790699666,mud_splash,0.3,accuracy
ImageNet-Occluded,0.0834624387171803,mud_splash,0.4,accuracy
ImageNet-Occluded,0.157710143498012,mud_splash,0.5,accuracy
ImageNet-Occluded,0.2639794714596806,mud_splash,0.6,accuracy
ImageNet-Occluded,0.3959259634115258,mud_splash,0.7,accuracy
ImageNet-Occluded,0.4845994929878079,mud_splash,0.8,accuracy
ImageNet-Occluded,0.5409693730120756,mud_splash,0.9,accuracy
ImageNet-Occluded,0.0063583732449582,polkadot,0.1,accuracy
ImageNet-Occluded,0.0034802025184035,polkadot,0.2,accuracy
ImageNet-Occluded,0.0028981005734935,polkadot,0.3,accuracy
ImageNet-Occluded,0.0119093996757755,polkadot,0.4,accuracy
ImageNet-Occluded,0.0362411105663192,polkadot,0.5,accuracy
ImageNet-Occluded,0.1069070833678148,polkadot,0.6,accuracy
ImageNet-Occluded,0.3730495073357407,polkadot,0.7,accuracy
ImageNet-Occluded,0.5107519650945858,polkadot,0.8,accuracy
ImageNet-Occluded,0.5536346021963625,polkadot,0.9,accuracy
ImageNet-Occluded,0.0059157802286196,polkasquare,0.1,accuracy
ImageNet-Occluded,0.0116480554511048,polkasquare,0.2,accuracy
ImageNet-Occluded,0.1047084076063973,polkasquare,0.3,accuracy
ImageNet-Occluded,0.1296932910169874,polkasquare,0.4,accuracy
ImageNet-Occluded,0.1293605001909392,polkasquare,0.5,accuracy
ImageNet-Occluded,0.1175928655631688,polkasquare,0.6,accuracy
ImageNet-Occluded,0.1706156593804456,polkasquare,0.7,accuracy
ImageNet-Occluded,0.2617751554566986,polkasquare,0.8,accuracy
ImageNet-Occluded,0.4006361760655228,polkasquare,0.9,accuracy
ImageNet-Occluded,0.0442412519181261,horizontal_bars_02,0.1,accuracy
ImageNet-Occluded,0.1289284360043856,horizontal_bars_02,0.2,accuracy
ImageNet-Occluded,0.2164847662254255,horizontal_bars_02,0.3,accuracy
ImageNet-Occluded,0.3096639453148355,horizontal_bars_02,0.4,accuracy
ImageNet-Occluded,0.3868225356753991,horizontal_bars_02,0.5,accuracy
ImageNet-Occluded,0.4656544814304429,horizontal_bars_02,0.6,accuracy
ImageNet-Occluded,0.525234194434419,horizontal_bars_02,0.7,accuracy
ImageNet-Occluded,0.5864778623288992,horizontal_bars_02,0.8,accuracy
ImageNet-Occluded,0.6454363659936555,horizontal_bars_02,0.9,accuracy
ImageNet-Occluded,0.0108068654959907,horizontal_bars_08,0.1,accuracy
ImageNet-Occluded,0.1000098522220339,horizontal_bars_08,0.2,accuracy
ImageNet-Occluded,0.262045900432431,horizontal_bars_08,0.3,accuracy
ImageNet-Occluded,0.4122060160247647,horizontal_bars_08,0.4,accuracy
ImageNet-Occluded,0.5231415605058476,horizontal_bars_08,0.5,accuracy
ImageNet-Occluded,0.5752291557740192,horizontal_bars_08,0.6,accuracy
ImageNet-Occluded,0.6086902411616578,horizontal_bars_08,0.7,accuracy
ImageNet-Occluded,0.6295210670451729,horizontal_bars_08,0.8,accuracy
ImageNet-Occluded,0.6387358015897323,horizontal_bars_08,0.9,accuracy
ImageNet-Occluded,0.0096069382959786,horizontal_bars_16,0.1,accuracy
ImageNet-Occluded,0.0459285202835287,horizontal_bars_16,0.2,accuracy
ImageNet-Occluded,0.138225897842524,horizontal_bars_16,0.3,accuracy
ImageNet-Occluded,0.3079420814708787,horizontal_bars_16,0.4,accuracy
ImageNet-Occluded,0.4622539981287353,horizontal_bars_16,0.5,accuracy
ImageNet-Occluded,0.5387455030363433,horizontal_bars_16,0.6,accuracy
ImageNet-Occluded,0.5769457549464946,horizontal_bars_16,0.7,accuracy
ImageNet-Occluded,0.5990434422784922,horizontal_bars_16,0.8,accuracy
ImageNet-Occluded,0.5867899717116842,horizontal_bars_16,0.9,accuracy
ImageNet-Occluded,0.0058119946102402,oblique_bars_02,0.1,accuracy
ImageNet-Occluded,0.0285034414608867,oblique_bars_02,0.2,accuracy
ImageNet-Occluded,0.0940128484246682,oblique_bars_02,0.3,accuracy
ImageNet-Occluded,0.1836678288420852,oblique_bars_02,0.4,accuracy
ImageNet-Occluded,0.2734179460272497,oblique_bars_02,0.5,accuracy
ImageNet-Occluded,0.3677116924402665,oblique_bars_02,0.6,accuracy
ImageNet-Occluded,0.4433319246282383,oblique_bars_02,0.7,accuracy
ImageNet-Occluded,0.46669609753453,oblique_bars_02,0.8,accuracy
ImageNet-Occluded,0.566186645809485,oblique_bars_02,0.9,accuracy
ImageNet-Occluded,0.0015545280612244,oblique_bars_08,0.1,accuracy
ImageNet-Occluded,0.004058168079628,oblique_bars_08,0.2,accuracy
