subject,metric_sim,value
sub-00,Pearson R,0.515784546747834
sub-01,Pearson R,0.33654925809582853
sub-02,Pearson R,0.6049610540264616
sub-03,Pearson R,0.544677482870482
sub-04,Pearson R,0.5779512457375426
sub-05,Pearson R,0.37829448885334244
sub-06,Pearson R,0.428367171215107
sub-07,Pearson R,0.5080360419758728
sub-08,Pearson R,0.2342002241330881
sub-09,Pearson R,0.6344165497187076
sub-10,Pearson R,0.030121302459244912
sub-11,Pearson R,0.5257221047969586
sub-12,Pearson R,0.6871512420258787
sub-13,Pearson R,0.4212399491879312
sub-14,Pearson R,0.6233835537732149
sub-15,Pearson R,0.5404276458832263
sub-16,Pearson R,0.5276144569546855
sub-17,Pearson R,0.17057104287879277
sub-18,Pearson R,0.3467384382437659
sub-19,Pearson R,0.1772272719854575
sub-20,Pearson R,0.19338615025304076
sub-21,Pearson R,0.5456078065322568
sub-22,Pearson R,0.5372114697566706
sub-23,Pearson R,0.4680087484857277
sub-24,Pearson R,0.6549418761096929
sub-25,Pearson R,0.5278466533139992
sub-26,Pearson R,0.37746370549298286
sub-27,Pearson R,0.384163713208415
sub-28,Pearson R,0.7215750411683776
sub-29,Pearson R,0.7018627289845228
sub-00,MSE,0.08084633868410623
sub-01,MSE,0.05573622671422908
sub-02,MSE,0.06344856486986392
sub-03,MSE,0.05802657220240456
sub-04,MSE,0.06681389549478135
sub-05,MSE,0.03733807306117057
sub-06,MSE,0.052202982560443915
sub-07,MSE,0.0704007299511164
sub-08,MSE,0.1331368493195931
sub-09,MSE,0.01859067413132514
sub-10,MSE,0.02865433841987052
sub-11,MSE,0.019253162571013345
sub-12,MSE,0.03389310014532963
sub-13,MSE,0.07797483980710794
sub-14,MSE,0.04677207193816884
sub-15,MSE,0.0346176014004492
sub-16,MSE,0.0706748332012155
sub-17,MSE,0.08998868740916896
sub-18,MSE,0.06254624124719249
sub-19,MSE,0.013839592416435462
sub-20,MSE,0.03854810741181133
sub-21,MSE,0.05578791782269785
sub-22,MSE,0.03401861210199498
sub-23,MSE,0.02474030585282072
sub-24,MSE,0.07080690976350906
sub-25,MSE,0.08289185328312856
sub-26,MSE,0.09487589179548156
sub-27,MSE,0.08311013674197384
sub-28,MSE,0.04703217895362664
sub-29,MSE,0.11111532236755184
