benchmark,score,occluder_type,visibility,metric
ImageNet-1K,0.7185741688894189,,,accuracy
ImageNet-Occluded,0.0033523506693998,natural,0.1,accuracy
ImageNet-Occluded,0.0104041321735296,natural,0.2,accuracy
ImageNet-Occluded,0.0170189612069908,natural,0.3,accuracy
ImageNet-Occluded,0.0395686429145993,natural,0.4,accuracy
ImageNet-Occluded,0.0751919282638296,natural,0.5,accuracy
ImageNet-Occluded,0.1207282442827614,natural,0.6,accuracy
ImageNet-Occluded,0.2134832560407872,natural,0.7,accuracy
ImageNet-Occluded,0.3365489329610552,natural,0.8,accuracy
ImageNet-Occluded,0.4420906335723643,natural,0.9,accuracy
ImageNet-Occluded,0.0031936639653784,natural_silhouette,0.1,accuracy
ImageNet-Occluded,0.0110351186511772,natural_silhouette,0.2,accuracy
ImageNet-Occluded,0.0340315297778163,natural_silhouette,0.3,accuracy
ImageNet-Occluded,0.0617020540699666,natural_silhouette,0.4,accuracy
ImageNet-Occluded,0.1045158777614029,natural_silhouette,0.5,accuracy
ImageNet-Occluded,0.1369943834689198,natural_silhouette,0.6,accuracy
ImageNet-Occluded,0.2562621083794807,natural_silhouette,0.7,accuracy
ImageNet-Occluded,0.3436056028823463,natural_silhouette,0.8,accuracy
ImageNet-Occluded,0.419991065653003,natural_silhouette,0.9,accuracy
ImageNet-Occluded,0.0013635023592077,curved_lines,0.1,accuracy
ImageNet-Occluded,0.001782029144922,curved_lines,0.2,accuracy
ImageNet-Occluded,0.0029977498081873,curved_lines,0.3,accuracy
ImageNet-Occluded,0.0072710098204564,curved_lines,0.4,accuracy
ImageNet-Occluded,0.0199802355954841,curved_lines,0.5,accuracy
ImageNet-Occluded,0.0620788410305976,curved_lines,0.6,accuracy
ImageNet-Occluded,0.1266872685174552,curved_lines,0.7,accuracy
ImageNet-Occluded,0.2772140180578037,curved_lines,0.8,accuracy
ImageNet-Occluded,0.4894751602289628,curved_lines,0.9,accuracy
ImageNet-Occluded,0.0012995764347059,straight_lines,0.1,accuracy
ImageNet-Occluded,0.0018301616061706,straight_lines,0.2,accuracy
ImageNet-Occluded,0.0025194334816567,straight_lines,0.3,accuracy
ImageNet-Occluded,0.0050828630408766,straight_lines,0.4,accuracy
ImageNet-Occluded,0.0170738622736261,straight_lines,0.5,accuracy
ImageNet-Occluded,0.0404188576705601,straight_lines,0.6,accuracy
ImageNet-Occluded,0.119350076482004,straight_lines,0.7,accuracy
ImageNet-Occluded,0.2664229462341386,straight_lines,0.8,accuracy
ImageNet-Occluded,0.4745292797380564,straight_lines,0.9,accuracy
ImageNet-Occluded,0.0011799973530732,empty_rectangles,0.1,accuracy
ImageNet-Occluded,0.0024837101714647,empty_rectangles,0.2,accuracy
ImageNet-Occluded,0.0059515035388116,empty_rectangles,0.3,accuracy
ImageNet-Occluded,0.0169666923430501,empty_rectangles,0.4,accuracy
ImageNet-Occluded,0.0438983081554879,empty_rectangles,0.5,accuracy
ImageNet-Occluded,0.091246735988831,empty_rectangles,0.6,accuracy
ImageNet-Occluded,0.1549124440976551,empty_rectangles,0.7,accuracy
ImageNet-Occluded,0.2910066003702125,empty_rectangles,0.8,accuracy
ImageNet-Occluded,0.5149594180437983,empty_rectangles,0.9,accuracy
ImageNet-Occluded,0.0019132653061224,filled_rectangles,0.1,accuracy
ImageNet-Occluded,0.0080723400816929,filled_rectangles,0.2,accuracy
ImageNet-Occluded,0.0251469544458146,filled_rectangles,0.3,accuracy
ImageNet-Occluded,0.0640297097971244,filled_rectangles,0.4,accuracy
ImageNet-Occluded,0.1404554083639261,filled_rectangles,0.5,accuracy
ImageNet-Occluded,0.2302367364873691,filled_rectangles,0.6,accuracy
ImageNet-Occluded,0.3370381538965264,filled_rectangles,0.7,accuracy
ImageNet-Occluded,0.4589813667900708,filled_rectangles,0.8,accuracy
ImageNet-Occluded,0.6055228989951464,filled_rectangles,0.9,accuracy
ImageNet-Occluded,0.0014947385204081,empty_triangles,0.1,accuracy
ImageNet-Occluded,0.0020211873081873,empty_triangles,0.2,accuracy
ImageNet-Occluded,0.00662911833473,empty_triangles,0.3,accuracy
ImageNet-Occluded,0.0172697764118107,empty_triangles,0.4,accuracy
ImageNet-Occluded,0.0237793156839146,empty_triangles,0.5,accuracy
ImageNet-Occluded,0.0648193829217735,empty_triangles,0.6,accuracy
ImageNet-Occluded,0.176602510165195,empty_triangles,0.7,accuracy
ImageNet-Occluded,0.3196480462745744,empty_triangles,0.8,accuracy
ImageNet-Occluded,0.5162353041220684,empty_triangles,0.9,accuracy
ImageNet-Occluded,0.0015785942918487,filled_triangles,0.1,accuracy
ImageNet-Occluded,0.0028939641898079,filled_triangles,0.2,accuracy
ImageNet-Occluded,0.0067693793347903,filled_triangles,0.3,accuracy
ImageNet-Occluded,0.014064455385871,filled_triangles,0.4,accuracy
ImageNet-Occluded,0.0360403079159405,filled_triangles,0.5,accuracy
ImageNet-Occluded,0.0774838606617888,filled_triangles,0.6,accuracy
ImageNet-Occluded,0.1496776628250978,filled_triangles,0.7,accuracy
ImageNet-Occluded,0.2948778788654171,filled_triangles,0.8,accuracy
ImageNet-Occluded,0.539626552134144,filled_triangles,0.9,accuracy
ImageNet-Occluded,0.0012597167408283,empty_ellipses,0.1,accuracy
ImageNet-Occluded,0.0017861655286076,empty_ellipses,0.2,accuracy
ImageNet-Occluded,0.0033888260510807,empty_ellipses,0.3,accuracy
ImageNet-Occluded,0.0079892363817412,empty_ellipses,0.4,accuracy
ImageNet-Occluded,0.0139599176960027,empty_ellipses,0.5,accuracy
ImageNet-Occluded,0.0306806832704008,empty_ellipses,0.6,accuracy
ImageNet-Occluded,0.0817537362478217,empty_ellipses,0.7,accuracy
ImageNet-Occluded,0.2147768158085492,empty_ellipses,0.8,accuracy
ImageNet-Occluded,0.4573083878779898,empty_ellipses,0.9,accuracy
ImageNet-Occluded,0.0023840609367708,filled_ellipses,0.1,accuracy
ImageNet-Occluded,0.0071514307388237,filled_ellipses,0.2,accuracy
ImageNet-Occluded,0.0259847600697254,filled_ellipses,0.3,accuracy
ImageNet-Occluded,0.0466790858428089,filled_ellipses,0.4,accuracy
ImageNet-Occluded,0.0831578504674288,filled_ellipses,0.5,accuracy
ImageNet-Occluded,0.1476060869742413,filled_ellipses,0.6,accuracy
ImageNet-Occluded,0.2338274933245717,filled_ellipses,0.7,accuracy
ImageNet-Occluded,0.3756768630475414,filled_ellipses,0.8,accuracy
ImageNet-Occluded,0.5419681218205666,filled_ellipses,0.9,accuracy
ImageNet-Occluded,0.0016225903694118,horizontal_bars_04,0.1,accuracy
ImageNet-Occluded,0.0034162765939016,horizontal_bars_04,0.2,accuracy
ImageNet-Occluded,0.007112323116435,horizontal_bars_04,0.3,accuracy
ImageNet-Occluded,0.0239703413859313,horizontal_bars_04,0.4,accuracy
ImageNet-Occluded,0.0604017255257587,horizontal_bars_04,0.5,accuracy
ImageNet-Occluded,0.1217623400140781,horizontal_bars_04,0.6,accuracy
ImageNet-Occluded,0.2169348798236068,horizontal_bars_04,0.7,accuracy
ImageNet-Occluded,0.3425760196179759,horizontal_bars_04,0.8,accuracy
ImageNet-Occluded,0.5091925482360684,horizontal_bars_04,0.9,accuracy
ImageNet-Occluded,0.0011160714285714,vertical_bars_04,0.1,accuracy
ImageNet-Occluded,0.0027427981816688,vertical_bars_04,0.2,accuracy
ImageNet-Occluded,0.0075184407510927,vertical_bars_04,0.3,accuracy
ImageNet-Occluded,0.0306366872118443,vertical_bars_04,0.4,accuracy
ImageNet-Occluded,0.0724566507400298,vertical_bars_04,0.5,accuracy
ImageNet-Occluded,0.1379517681744634,vertical_bars_04,0.6,accuracy
ImageNet-Occluded,0.235984805287147,vertical_bars_04,0.7,accuracy
ImageNet-Occluded,0.3460727674620492,vertical_bars_04,0.8,accuracy
ImageNet-Occluded,0.4602907202681716,vertical_bars_04,0.9,accuracy
ImageNet-Occluded,0.0012239934306363,oblique_bars_04,0.1,accuracy
ImageNet-Occluded,0.0022603454714526,oblique_bars_04,0.2,accuracy
