subject,metric_sim,value
sub-00,Pearson R,0.19559886567046042
sub-01,Pearson R,0.19915423028971024
sub-02,Pearson R,0.15913008362265738
sub-03,Pearson R,0.06121404729695167
sub-04,Pearson R,0.16217648892076192
sub-05,Pearson R,0.41615474405194264
sub-06,Pearson R,-0.0030782973657077647
sub-07,Pearson R,-0.05197002697458734
sub-08,Pearson R,-0.11795736350413832
sub-09,Pearson R,0.013985819832572091
sub-10,Pearson R,0.05758016474207686
sub-11,Pearson R,0.23059972730147055
sub-12,Pearson R,-0.31211664603388745
sub-13,Pearson R,0.05171102069764014
sub-14,Pearson R,0.034888496652413066
sub-15,Pearson R,0.1931167539176476
sub-16,Pearson R,0.19698273406439856
sub-17,Pearson R,-0.1426248008974216
sub-18,Pearson R,0.08462097952326902
sub-19,Pearson R,0.08744772906787154
sub-20,Pearson R,0.4326399890558486
sub-21,Pearson R,-0.15211891959709634
sub-22,Pearson R,0.10563620189967285
sub-23,Pearson R,0.29925561195760453
sub-24,Pearson R,0.3806044761825459
sub-25,Pearson R,-0.03575578415186122
sub-26,Pearson R,-0.26973901332704536
sub-27,Pearson R,0.0041784683259201115
sub-28,Pearson R,-0.12511919458442725
sub-29,Pearson R,0.08786126139810072
sub-00,MSE,0.03308193783855199
sub-01,MSE,0.04661951710926147
sub-02,MSE,0.0443278504425948
sub-03,MSE,0.04816405733914653
sub-04,MSE,0.039852853745541025
sub-05,MSE,0.06259665246399788
sub-06,MSE,0.05507431629013079
sub-07,MSE,0.04637988836041749
sub-08,MSE,0.033372555819791254
sub-09,MSE,0.0981253302946228
sub-10,MSE,0.10046616957325935
sub-11,MSE,0.09919878781873431
sub-12,MSE,0.07861309287884792
sub-13,MSE,0.03758579402827321
sub-14,MSE,0.06054032071607875
sub-15,MSE,0.06718617882150879
sub-16,MSE,0.03815567611309288
sub-17,MSE,0.037570270181001446
sub-18,MSE,0.04780985764301757
sub-19,MSE,0.16210971561632975
sub-20,MSE,0.061677937970669845
sub-21,MSE,0.05862473576430175
sub-22,MSE,0.07102069295811864
sub-23,MSE,0.08267402397938961
sub-24,MSE,0.031550980975029716
sub-25,MSE,0.03717602226185757
sub-26,MSE,0.04943899458316819
sub-27,MSE,0.0384279214559387
sub-28,MSE,0.059254236028537445
sub-29,MSE,0.025657038578411936
