score,benchmark,occluder_type,metric,visibility
0.667718989769821,ImageNet-1K,,accuracy,
0.0043158567774936,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.0548873081841432,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.2032249040920716,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.3859694693094629,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.4851742327365729,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.5526294757033248,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.5949488491048593,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.6192854859335039,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.6278972186700768,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.0051550511508951,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.0970867966751918,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.2924592391304347,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.423613331202046,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.4940257352941176,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.5352261828644501,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.5665161445012787,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.5905730498721228,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.6052589514066496,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0072730179028132,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.0645780051150895,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.1563898657289002,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.2414681905370844,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.3348385549872122,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.4277093989769821,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.4967631074168798,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.5275535485933504,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.5496123721227621,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0054547634271099,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.0145260549872122,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.0538483056265984,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.0984255115089514,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.2039641943734015,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.2641664002557545,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
0.3397538363171355,ImageNet-Occluded,horizontal_bars_16,accuracy,0.7
0.4153612531969309,ImageNet-Occluded,horizontal_bars_16,accuracy,0.8
0.5094709079283888,ImageNet-Occluded,horizontal_bars_16,accuracy,0.9
0.0130274936061381,ImageNet-Occluded,oblique_bars_02,accuracy,0.1
0.131513746803069,ImageNet-Occluded,oblique_bars_02,accuracy,0.2
0.3314817774936061,ImageNet-Occluded,oblique_bars_02,accuracy,0.3
0.4528852301790281,ImageNet-Occluded,oblique_bars_02,accuracy,0.4
0.5339074488491049,ImageNet-Occluded,oblique_bars_02,accuracy,0.5
0.5720907928388747,ImageNet-Occluded,oblique_bars_02,accuracy,0.6
0.6077365728900256,ImageNet-Occluded,oblique_bars_02,accuracy,0.7
0.6293757992327366,ImageNet-Occluded,oblique_bars_02,accuracy,0.8
0.6508351982097187,ImageNet-Occluded,oblique_bars_02,accuracy,0.9
0.0144461317135549,ImageNet-Occluded,oblique_bars_04,accuracy,0.1
0.2266224424552429,ImageNet-Occluded,oblique_bars_04,accuracy,0.2
0.3644301470588235,ImageNet-Occluded,oblique_bars_04,accuracy,0.3
0.4577605498721228,ImageNet-Occluded,oblique_bars_04,accuracy,0.4
0.5317095588235294,ImageNet-Occluded,oblique_bars_04,accuracy,0.5
0.5757872442455243,ImageNet-Occluded,oblique_bars_04,accuracy,0.6
0.5975063938618926,ImageNet-Occluded,oblique_bars_04,accuracy,0.7
0.6360294117647058,ImageNet-Occluded,oblique_bars_04,accuracy,0.8
0.6339114450127877,ImageNet-Occluded,oblique_bars_04,accuracy,0.9
0.0128476662404092,ImageNet-Occluded,oblique_bars_08,accuracy,0.1
0.0951686381074168,ImageNet-Occluded,oblique_bars_08,accuracy,0.2
0.2857656649616368,ImageNet-Occluded,oblique_bars_08,accuracy,0.3
0.4147618286445013,ImageNet-Occluded,oblique_bars_08,accuracy,0.4
0.4861532928388747,ImageNet-Occluded,oblique_bars_08,accuracy,0.5
0.561321131713555,ImageNet-Occluded,oblique_bars_08,accuracy,0.6
0.6021619245524297,ImageNet-Occluded,oblique_bars_08,accuracy,0.7
0.5964474104859335,ImageNet-Occluded,oblique_bars_08,accuracy,0.8
0.5867367327365729,ImageNet-Occluded,oblique_bars_08,accuracy,0.9
0.0030370843989769,ImageNet-Occluded,oblique_bars_16,accuracy,0.1
0.0164042519181585,ImageNet-Occluded,oblique_bars_16,accuracy,0.2
0.0718310421994884,ImageNet-Occluded,oblique_bars_16,accuracy,0.3
0.1927949168797953,ImageNet-Occluded,oblique_bars_16,accuracy,0.4
0.3144181585677749,ImageNet-Occluded,oblique_bars_16,accuracy,0.5
0.4078484654731458,ImageNet-Occluded,oblique_bars_16,accuracy,0.6
0.4778612531969309,ImageNet-Occluded,oblique_bars_16,accuracy,0.7
0.488590952685422,ImageNet-Occluded,oblique_bars_16,accuracy,0.8
0.4777213874680306,ImageNet-Occluded,oblique_bars_16,accuracy,0.9
0.0075527493606138,ImageNet-Occluded,vertical_bars_02,accuracy,0.1
0.1118326406649616,ImageNet-Occluded,vertical_bars_02,accuracy,0.2
0.3169757033248082,ImageNet-Occluded,vertical_bars_02,accuracy,0.3
0.4654731457800511,ImageNet-Occluded,vertical_bars_02,accuracy,0.4
0.534786604859335,ImageNet-Occluded,vertical_bars_02,accuracy,0.5
0.5808024296675192,ImageNet-Occluded,vertical_bars_02,accuracy,0.6
0.6112531969309463,ImageNet-Occluded,vertical_bars_02,accuracy,0.7
0.6322330562659847,ImageNet-Occluded,vertical_bars_02,accuracy,0.8
0.6336117327365729,ImageNet-Occluded,vertical_bars_02,accuracy,0.9
0.0049552429667519,ImageNet-Occluded,vertical_bars_04,accuracy,0.1
0.1344509271099744,ImageNet-Occluded,vertical_bars_04,accuracy,0.2
0.3465073529411764,ImageNet-Occluded,vertical_bars_04,accuracy,0.3
0.4592391304347826,ImageNet-Occluded,vertical_bars_04,accuracy,0.4
0.5397018861892583,ImageNet-Occluded,vertical_bars_04,accuracy,0.5
0.5632992327365729,ImageNet-Occluded,vertical_bars_04,accuracy,0.6
0.5912523976982097,ImageNet-Occluded,vertical_bars_04,accuracy,0.7
0.5958280051150895,ImageNet-Occluded,vertical_bars_04,accuracy,0.8
0.5940297314578005,ImageNet-Occluded,vertical_bars_04,accuracy,0.9
0.0064138427109974,ImageNet-Occluded,vertical_bars_08,accuracy,0.1
0.0507712595907928,ImageNet-Occluded,vertical_bars_08,accuracy,0.2
0.1584279092071611,ImageNet-Occluded,vertical_bars_08,accuracy,0.3
0.3039482097186701,ImageNet-Occluded,vertical_bars_08,accuracy,0.4
0.4056106138107417,ImageNet-Occluded,vertical_bars_08,accuracy,0.5
0.4589394181585677,ImageNet-Occluded,vertical_bars_08,accuracy,0.6
0.5046155690537084,ImageNet-Occluded,vertical_bars_08,accuracy,0.7
0.5218590153452686,ImageNet-Occluded,vertical_bars_08,accuracy,0.8
0.5199808184143222,ImageNet-Occluded,vertical_bars_08,accuracy,0.9
0.005274936061381,ImageNet-Occluded,vertical_bars_16,accuracy,0.1
0.0123881074168797,ImageNet-Occluded,vertical_bars_16,accuracy,0.2
0.0404611572890025,ImageNet-Occluded,vertical_bars_16,accuracy,0.3
0.0752677429667519,ImageNet-Occluded,vertical_bars_16,accuracy,0.4
0.1547514386189258,ImageNet-Occluded,vertical_bars_16,accuracy,0.5
0.2159926470588235,ImageNet-Occluded,vertical_bars_16,accuracy,0.6
0.2845668158567775,ImageNet-Occluded,vertical_bars_16,accuracy,0.7
0.3612931585677749,ImageNet-Occluded,vertical_bars_16,accuracy,0.8
0.454863331202046,ImageNet-Occluded,vertical_bars_16,accuracy,0.9
0.0996243606138107,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.1
0.3148976982097187,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.2
0.4157808503836317,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.3
0.48909047314578,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.4
0.5383431905370843,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.5
0.5673553388746803,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.6
0.5810022378516624,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.7
0.5670356457800512,ImageNet-Occluded,cardinal_crossed_bars,accuracy,0.8
