subject,metric_sim,value
sub-00,Pearson R,0.39192068640585026
sub-01,Pearson R,0.33287236014476257
sub-02,Pearson R,0.6346637758746132
sub-03,Pearson R,0.5791847210420558
sub-04,Pearson R,0.6515987352324314
sub-05,Pearson R,0.5570332331054343
sub-06,Pearson R,0.6469674355131819
sub-07,Pearson R,0.7491485657395712
sub-08,Pearson R,0.4613583309484648
sub-09,Pearson R,0.6244061030859772
sub-10,Pearson R,0.31743250515566906
sub-11,Pearson R,0.6970685777085444
sub-12,Pearson R,0.6734314806424913
sub-13,Pearson R,0.7469642615373452
sub-14,Pearson R,0.41233204494880704
sub-15,Pearson R,0.643902359901727
sub-16,Pearson R,0.489681977433486
sub-17,Pearson R,0.47073847386888623
sub-18,Pearson R,0.4902244962614295
sub-19,Pearson R,0.10230168216590936
sub-20,Pearson R,0.06881069628966316
sub-21,Pearson R,0.6681724466355224
sub-22,Pearson R,0.6296655940188315
sub-23,Pearson R,0.6892450982347356
sub-24,Pearson R,0.5686503757148411
sub-25,Pearson R,0.7575814680961732
sub-26,Pearson R,0.5981765228225946
sub-27,Pearson R,0.661459813846923
sub-28,Pearson R,0.5885423238210017
sub-29,Pearson R,0.5211888932546728
sub-00,MSE,0.018267067974633372
sub-01,MSE,0.01872097536002114
sub-02,MSE,0.011921901836438103
sub-03,MSE,0.01348786992997754
sub-04,MSE,0.011234889021006734
sub-05,MSE,0.020110937706434136
sub-06,MSE,0.013008529858633896
sub-07,MSE,0.008610533095521206
sub-08,MSE,0.026359575241115082
sub-09,MSE,0.030485904676971858
sub-10,MSE,0.03918693849914123
sub-11,MSE,0.03100620128154314
sub-12,MSE,0.016896551724137936
sub-13,MSE,0.009371077751354212
sub-14,MSE,0.020408450587924426
sub-15,MSE,0.018348650746465845
sub-16,MSE,0.015333225987580924
sub-17,MSE,0.01635338221693751
sub-18,MSE,0.015631151737349715
sub-19,MSE,0.07932046010040956
sub-20,MSE,0.029306794160391066
sub-21,MSE,0.011857370524507862
sub-22,MSE,0.018978398731668643
sub-23,MSE,0.025135338221693754
sub-24,MSE,0.01341570055489497
sub-25,MSE,0.00944898599550799
sub-26,MSE,0.015211760140044923
sub-27,MSE,0.011550815827718325
sub-28,MSE,0.014511948407979917
sub-29,MSE,0.020998934799841464
