benchmark,occluder_type,visibility,metric,score
ImageNet-1K,,,accuracy,0.6899776214833759
ImageNet-Occluded,horizontal_bars_02,0.1,accuracy,0.0025575447570332
ImageNet-Occluded,horizontal_bars_02,0.2,accuracy,0.0171435421994884
ImageNet-Occluded,horizontal_bars_02,0.3,accuracy,0.0756273976982097
ImageNet-Occluded,horizontal_bars_02,0.4,accuracy,0.2047834079283887
ImageNet-Occluded,horizontal_bars_02,0.5,accuracy,0.3558783567774936
ImageNet-Occluded,horizontal_bars_02,0.6,accuracy,0.4769021739130434
ImageNet-Occluded,horizontal_bars_02,0.7,accuracy,0.567395300511509
ImageNet-Occluded,horizontal_bars_02,0.8,accuracy,0.620224584398977
ImageNet-Occluded,horizontal_bars_02,0.9,accuracy,0.6432624680306905
ImageNet-Occluded,horizontal_bars_04,0.1,accuracy,0.0020380434782608
ImageNet-Occluded,horizontal_bars_04,0.2,accuracy,0.0163243286445012
ImageNet-Occluded,horizontal_bars_04,0.3,accuracy,0.1452605498721227
ImageNet-Occluded,horizontal_bars_04,0.4,accuracy,0.3470268542199488
ImageNet-Occluded,horizontal_bars_04,0.5,accuracy,0.4789002557544757
ImageNet-Occluded,horizontal_bars_04,0.6,accuracy,0.5588235294117647
ImageNet-Occluded,horizontal_bars_04,0.7,accuracy,0.6037803708439897
ImageNet-Occluded,horizontal_bars_04,0.8,accuracy,0.6245604219948849
ImageNet-Occluded,horizontal_bars_04,0.9,accuracy,0.641863810741688
ImageNet-Occluded,horizontal_bars_08,0.1,accuracy,0.0027573529411764
ImageNet-Occluded,horizontal_bars_08,0.2,accuracy,0.0114490089514066
ImageNet-Occluded,horizontal_bars_08,0.3,accuracy,0.1188259271099744
ImageNet-Occluded,horizontal_bars_08,0.4,accuracy,0.3290840792838874
ImageNet-Occluded,horizontal_bars_08,0.5,accuracy,0.450647378516624
ImageNet-Occluded,horizontal_bars_08,0.6,accuracy,0.5281329923273658
ImageNet-Occluded,horizontal_bars_08,0.7,accuracy,0.572730179028133
ImageNet-Occluded,horizontal_bars_08,0.8,accuracy,0.5982856457800512
ImageNet-Occluded,horizontal_bars_08,0.9,accuracy,0.628596547314578
ImageNet-Occluded,horizontal_bars_16,0.1,accuracy,0.0041360294117647
ImageNet-Occluded,horizontal_bars_16,0.2,accuracy,0.0098905051150895
ImageNet-Occluded,horizontal_bars_16,0.3,accuracy,0.0397618286445012
ImageNet-Occluded,horizontal_bars_16,0.4,accuracy,0.0740289322250639
ImageNet-Occluded,horizontal_bars_16,0.5,accuracy,0.1969709079283887
ImageNet-Occluded,horizontal_bars_16,0.6,accuracy,0.289741847826087
ImageNet-Occluded,horizontal_bars_16,0.7,accuracy,0.4012947570332481
ImageNet-Occluded,horizontal_bars_16,0.8,accuracy,0.49528452685422
ImageNet-Occluded,horizontal_bars_16,0.9,accuracy,0.5678548593350383
ImageNet-Occluded,oblique_bars_02,0.1,accuracy,0.0030770460358056
ImageNet-Occluded,oblique_bars_02,0.2,accuracy,0.0229779411764705
ImageNet-Occluded,oblique_bars_02,0.3,accuracy,0.0965672953964194
ImageNet-Occluded,oblique_bars_02,0.4,accuracy,0.2261229219948849
ImageNet-Occluded,oblique_bars_02,0.5,accuracy,0.3504835358056266
ImageNet-Occluded,oblique_bars_02,0.6,accuracy,0.4534446930946291
ImageNet-Occluded,oblique_bars_02,0.7,accuracy,0.5335078324808185
ImageNet-Occluded,oblique_bars_02,0.8,accuracy,0.5924712276214834
ImageNet-Occluded,oblique_bars_02,0.9,accuracy,0.6408248081841432
ImageNet-Occluded,oblique_bars_04,0.1,accuracy,0.0027173913043478
ImageNet-Occluded,oblique_bars_04,0.2,accuracy,0.0222186700767263
ImageNet-Occluded,oblique_bars_04,0.3,accuracy,0.1190257352941176
ImageNet-Occluded,oblique_bars_04,0.4,accuracy,0.26252797314578
ImageNet-Occluded,oblique_bars_04,0.5,accuracy,0.3820332480818414
ImageNet-Occluded,oblique_bars_04,0.6,accuracy,0.5004995204603581
ImageNet-Occluded,oblique_bars_04,0.7,accuracy,0.5794637148337596
ImageNet-Occluded,oblique_bars_04,0.8,accuracy,0.6345708120204604
ImageNet-Occluded,oblique_bars_04,0.9,accuracy,0.6426630434782609
ImageNet-Occluded,oblique_bars_08,0.1,accuracy,0.0022578324808184
ImageNet-Occluded,oblique_bars_08,0.2,accuracy,0.0158847506393861
ImageNet-Occluded,oblique_bars_08,0.3,accuracy,0.1495164641943734
ImageNet-Occluded,oblique_bars_08,0.4,accuracy,0.3354979219948849
ImageNet-Occluded,oblique_bars_08,0.5,accuracy,0.4784406969309463
ImageNet-Occluded,oblique_bars_08,0.6,accuracy,0.5753077046035806
ImageNet-Occluded,oblique_bars_08,0.7,accuracy,0.6061580882352942
ImageNet-Occluded,oblique_bars_08,0.8,accuracy,0.623261668797954
ImageNet-Occluded,oblique_bars_08,0.9,accuracy,0.6430226982097187
