subject,metric_sim,value
sub-00,Pearson R,0.14687965087257418
sub-01,Pearson R,0.30586695955797744
sub-02,Pearson R,0.4082381453243964
sub-03,Pearson R,0.40622775847274345
sub-04,Pearson R,0.317648795646273
sub-05,Pearson R,0.2769794699089523
sub-06,Pearson R,0.3050570618723483
sub-07,Pearson R,0.5706922487081872
sub-08,Pearson R,0.38329367976447887
sub-09,Pearson R,0.5128020614726777
sub-10,Pearson R,0.14237606506679737
sub-11,Pearson R,0.5257389428103552
sub-12,Pearson R,0.6760755348015361
sub-13,Pearson R,0.5230495721617179
sub-14,Pearson R,0.34359891568363754
sub-15,Pearson R,0.5131398863590915
sub-16,Pearson R,0.11734493800834034
sub-17,Pearson R,0.25062588743497755
sub-18,Pearson R,0.3444419828627812
sub-19,Pearson R,-0.0009459948321313517
sub-20,Pearson R,-0.16516020083891003
sub-21,Pearson R,0.512503619669569
sub-22,Pearson R,0.40735888399884507
sub-23,Pearson R,0.4941856263491199
sub-24,Pearson R,0.4471971845983319
sub-25,Pearson R,0.4388756937160716
sub-26,Pearson R,0.624410628159321
sub-27,Pearson R,0.41647489723040154
sub-28,Pearson R,0.4582613429438181
sub-29,Pearson R,0.43830849310759423
sub-00,MSE,0.03872489760866695
sub-01,MSE,0.05509879937904611
sub-02,MSE,0.0481798289073854
sub-03,MSE,0.05132051790196855
sub-04,MSE,0.04471978629937904
sub-05,MSE,0.08042554333465451
sub-06,MSE,0.060099583828775255
sub-07,MSE,0.041099592086140835
sub-08,MSE,0.019476359162372846
sub-09,MSE,0.11026142819394902
sub-10,MSE,0.11839196062888095
sub-11,MSE,0.11620879574580524
sub-12,MSE,0.07430332606685164
sub-13,MSE,0.03567949861276258
sub-14,MSE,0.06584101268331351
sub-15,MSE,0.07799251056942794
sub-16,MSE,0.045815621284185495
sub-17,MSE,0.0338585430704188
sub-18,MSE,0.05231115404941208
sub-19,MSE,0.1916802500330295
sub-20,MSE,0.08448288248117321
sub-21,MSE,0.05462144107543928
sub-22,MSE,0.08094658310212709
sub-23,MSE,0.09970496432818073
sub-24,MSE,0.038534565332276394
sub-25,MSE,0.033030824745673135
sub-26,MSE,0.03066145626899194
sub-27,MSE,0.03593085282071608
sub-28,MSE,0.05914511494252875
sub-29,MSE,0.019145238803012284
