score,benchmark,occluder_type,metric,visibility
0.6645020780051151,ImageNet-1K,,accuracy,
0.010050351662404,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.1415441176470588,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.3263467071611253,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.4408168158567775,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.511349104859335,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.5628396739130435,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.6001438618925832,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.6251398657289002,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.6402453644501279,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.0095308503836317,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.204803388746803,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.3891664002557545,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.4761229219948849,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.5386429028132992,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.5784446930946292,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.6083559782608695,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.62338155370844,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.6324928069053708,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0079723465473145,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.1053988171355498,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.2574728260869565,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.4261708759590792,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.5003396739130435,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.5612412084398977,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.5863371163682864,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.6017822890025576,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.6163882672634271,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0066735933503836,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.019721067774936,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.0852981138107416,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.149556425831202,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.2618286445012788,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.3401334718670076,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
0.4124840153452685,ImageNet-Occluded,horizontal_bars_16,accuracy,0.7
0.4894701086956521,ImageNet-Occluded,horizontal_bars_16,accuracy,0.8
0.5537284207161125,ImageNet-Occluded,horizontal_bars_16,accuracy,0.9
0.0315497122762148,ImageNet-Occluded,oblique_bars_02,accuracy,0.1
0.2654851342710997,ImageNet-Occluded,oblique_bars_02,accuracy,0.2
0.414502078005115,ImageNet-Occluded,oblique_bars_02,accuracy,0.3
0.4959239130434782,ImageNet-Occluded,oblique_bars_02,accuracy,0.4
0.545516304347826,ImageNet-Occluded,oblique_bars_02,accuracy,0.5
0.5829403772378516,ImageNet-Occluded,oblique_bars_02,accuracy,0.6
0.6120524296675192,ImageNet-Occluded,oblique_bars_02,accuracy,0.7
0.6294757033248082,ImageNet-Occluded,oblique_bars_02,accuracy,0.8
0.6434622762148338,ImageNet-Occluded,oblique_bars_02,accuracy,0.9
0.0214793797953964,ImageNet-Occluded,oblique_bars_04,accuracy,0.1
0.2615888746803069,ImageNet-Occluded,oblique_bars_04,accuracy,0.2
0.4103061061381074,ImageNet-Occluded,oblique_bars_04,accuracy,0.3
0.4941056585677749,ImageNet-Occluded,oblique_bars_04,accuracy,0.4
0.5441975703324808,ImageNet-Occluded,oblique_bars_04,accuracy,0.5
0.5869165601023018,ImageNet-Occluded,oblique_bars_04,accuracy,0.6
0.6096747122762148,ImageNet-Occluded,oblique_bars_04,accuracy,0.7
0.631573689258312,ImageNet-Occluded,oblique_bars_04,accuracy,0.8
0.6410246163682864,ImageNet-Occluded,oblique_bars_04,accuracy,0.9
0.0114689897698209,ImageNet-Occluded,oblique_bars_08,accuracy,0.1
0.145899936061381,ImageNet-Occluded,oblique_bars_08,accuracy,0.2
0.3748001918158568,ImageNet-Occluded,oblique_bars_08,accuracy,0.3
0.4815577046035805,ImageNet-Occluded,oblique_bars_08,accuracy,0.4
0.5433783567774936,ImageNet-Occluded,oblique_bars_08,accuracy,0.5
0.5910525895140665,ImageNet-Occluded,oblique_bars_08,accuracy,0.6
0.6182464833759591,ImageNet-Occluded,oblique_bars_08,accuracy,0.7
0.6270979859335039,ImageNet-Occluded,oblique_bars_08,accuracy,0.8
0.632752557544757,ImageNet-Occluded,oblique_bars_08,accuracy,0.9
0.0029971227621483,ImageNet-Occluded,oblique_bars_16,accuracy,0.1
0.0264346227621483,ImageNet-Occluded,oblique_bars_16,accuracy,0.2
0.194133631713555,ImageNet-Occluded,oblique_bars_16,accuracy,0.3
0.3598345588235294,ImageNet-Occluded,oblique_bars_16,accuracy,0.4
0.4490089514066496,ImageNet-Occluded,oblique_bars_16,accuracy,0.5
0.5339074488491049,ImageNet-Occluded,oblique_bars_16,accuracy,0.6
0.566156489769821,ImageNet-Occluded,oblique_bars_16,accuracy,0.7
0.5896339514066496,ImageNet-Occluded,oblique_bars_16,accuracy,0.8
0.6117527173913043,ImageNet-Occluded,oblique_bars_16,accuracy,0.9
0.0142463235294117,ImageNet-Occluded,vertical_bars_02,accuracy,0.1
0.1860014386189258,ImageNet-Occluded,vertical_bars_02,accuracy,0.2
0.3827125959079284,ImageNet-Occluded,vertical_bars_02,accuracy,0.3
0.4802589514066496,ImageNet-Occluded,vertical_bars_02,accuracy,0.4
0.5415800831202046,ImageNet-Occluded,vertical_bars_02,accuracy,0.5
0.5813419117647058,ImageNet-Occluded,vertical_bars_02,accuracy,0.6
0.6123321611253197,ImageNet-Occluded,vertical_bars_02,accuracy,0.7
0.6319932864450127,ImageNet-Occluded,vertical_bars_02,accuracy,0.8
0.6459398976982097,ImageNet-Occluded,vertical_bars_02,accuracy,0.9
0.0314897698209718,ImageNet-Occluded,vertical_bars_04,accuracy,0.1
0.2839074488491048,ImageNet-Occluded,vertical_bars_04,accuracy,0.2
0.4401974104859335,ImageNet-Occluded,vertical_bars_04,accuracy,0.3
0.5094109654731458,ImageNet-Occluded,vertical_bars_04,accuracy,0.4
0.5613411125319693,ImageNet-Occluded,vertical_bars_04,accuracy,0.5
0.5899936061381074,ImageNet-Occluded,vertical_bars_04,accuracy,0.6
0.6154891304347826,ImageNet-Occluded,vertical_bars_04,accuracy,0.7
0.6335318094629157,ImageNet-Occluded,vertical_bars_04,accuracy,0.8
0.638946611253197,ImageNet-Occluded,vertical_bars_04,accuracy,0.9
0.0255354859335038,ImageNet-Occluded,vertical_bars_08,accuracy,0.1
0.1818654092071611,ImageNet-Occluded,vertical_bars_08,accuracy,0.2
0.3219309462915601,ImageNet-Occluded,vertical_bars_08,accuracy,0.3
0.4822370524296675,ImageNet-Occluded,vertical_bars_08,accuracy,0.4
0.544457320971867,ImageNet-Occluded,vertical_bars_08,accuracy,0.5
0.5863770780051151,ImageNet-Occluded,vertical_bars_08,accuracy,0.6
0.6046195652173914,ImageNet-Occluded,vertical_bars_08,accuracy,0.7
0.6164482097186701,ImageNet-Occluded,vertical_bars_08,accuracy,0.8
0.6265385230179028,ImageNet-Occluded,vertical_bars_08,accuracy,0.9
0.0171435421994884,ImageNet-Occluded,vertical_bars_16,accuracy,0.1
0.0567055626598465,ImageNet-Occluded,vertical_bars_16,accuracy,0.2
0.1778692455242966,ImageNet-Occluded,vertical_bars_16,accuracy,0.3
0.2470828005115089,ImageNet-Occluded,vertical_bars_16,accuracy,0.4
0.3123401534526854,ImageNet-Occluded,vertical_bars_16,accuracy,0.5
0.3845708120204603,ImageNet-Occluded,vertical_bars_16,accuracy,0.6
