subject,metric_sim,value
sub-00,Pearson R,0.574946923976258
sub-01,Pearson R,0.4646021704294411
sub-02,Pearson R,0.6787933405150367
sub-03,Pearson R,0.6396923089173221
sub-04,Pearson R,0.7182440385361734
sub-05,Pearson R,0.6453874337176885
sub-06,Pearson R,0.5116202222629678
sub-07,Pearson R,0.45946970655687996
sub-08,Pearson R,0.2788510498508508
sub-09,Pearson R,0.640361178173872
sub-10,Pearson R,0.23033775017683125
sub-11,Pearson R,0.661341439568127
sub-12,Pearson R,0.5941128643869148
sub-13,Pearson R,0.5278897059985566
sub-14,Pearson R,0.6598114312419725
sub-15,Pearson R,0.5987320058952081
sub-16,Pearson R,0.678453861470653
sub-17,Pearson R,0.22361609725927112
sub-18,Pearson R,0.4102599111954747
sub-19,Pearson R,0.07779439423881665
sub-20,Pearson R,0.4186949847562093
sub-21,Pearson R,0.5622522235542144
sub-22,Pearson R,0.6022486653821152
sub-23,Pearson R,0.6851013981364099
sub-24,Pearson R,0.7635922747774894
sub-25,Pearson R,0.601803512692606
sub-26,Pearson R,0.28583441233724033
sub-27,Pearson R,0.5163727591318492
sub-28,Pearson R,0.6962475687297986
sub-29,Pearson R,0.7304174578923806
sub-00,MSE,0.09427207193816883
sub-01,MSE,0.06382968357775137
sub-02,MSE,0.07513414090368609
sub-03,MSE,0.06768302450786103
sub-04,MSE,0.07747832441537851
sub-05,MSE,0.041020981965913604
sub-06,MSE,0.06052029660457128
sub-07,MSE,0.08414643612101995
sub-08,MSE,0.14869810245739198
sub-09,MSE,0.023691620425419477
sub-10,MSE,0.02823548355132778
sub-11,MSE,0.02169672347734179
sub-12,MSE,0.04393401539172943
sub-13,MSE,0.08958915477606025
sub-14,MSE,0.05711636279561369
sub-15,MSE,0.04168858997225525
sub-16,MSE,0.08156555522526093
sub-17,MSE,0.10201533392786365
sub-18,MSE,0.07236135883207821
sub-19,MSE,0.012132258224336109
sub-20,MSE,0.042655197185889816
sub-21,MSE,0.06665238142423041
sub-22,MSE,0.04087263839344695
sub-23,MSE,0.02723696161976483
sub-24,MSE,0.08347498843968822
sub-25,MSE,0.09629285572730877
sub-26,MSE,0.1114363687409169
sub-27,MSE,0.09435980644735104
sub-28,MSE,0.05873332012154843
sub-29,MSE,0.12893851565596515
