score,benchmark,occluder_type,metric,visibility
0.641863810741688,ImageNet-1K,,accuracy,
0.0019781010230179,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.0075727301790281,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.0266344309462915,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.0710717710997442,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.1438618925831202,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.2338954603580562,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.3231697570332481,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.4085078324808184,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.5052949168797954,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.0015585038363171,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.003596547314578,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.0097906010230179,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.0266943734015345,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.068953804347826,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.1264186381074168,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.236053388746803,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.3431505754475703,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.465772858056266,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0025975063938618,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.0043757992327365,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.0103900255754475,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.0260150255754475,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.0728500639386189,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.1132912404092071,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.2111173273657289,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.3285246163682864,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.4437739769820972,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0040561061381074,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.0087316176470588,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.0336876598465473,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.0673553388746803,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.1654411764705882,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.232516783887468,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
0.3211117327365729,ImageNet-Occluded,horizontal_bars_16,accuracy,0.7
0.4049112851662404,ImageNet-Occluded,horizontal_bars_16,accuracy,0.8
0.5117287404092071,ImageNet-Occluded,horizontal_bars_16,accuracy,0.9
0.0023377557544757,ImageNet-Occluded,oblique_bars_02,accuracy,0.1
0.0091911764705882,ImageNet-Occluded,oblique_bars_02,accuracy,0.2
0.0331481777493606,ImageNet-Occluded,oblique_bars_02,accuracy,0.3
0.0938099424552429,ImageNet-Occluded,oblique_bars_02,accuracy,0.4
0.1735334079283887,ImageNet-Occluded,oblique_bars_02,accuracy,0.5
0.2688419117647059,ImageNet-Occluded,oblique_bars_02,accuracy,0.6
0.355778452685422,ImageNet-Occluded,oblique_bars_02,accuracy,0.7
0.4169197570332481,ImageNet-Occluded,oblique_bars_02,accuracy,0.8
0.4991408248081841,ImageNet-Occluded,oblique_bars_02,accuracy,0.9
0.0016983695652173,ImageNet-Occluded,oblique_bars_04,accuracy,0.1
0.0046755115089514,ImageNet-Occluded,oblique_bars_04,accuracy,0.2
0.0109494884910485,ImageNet-Occluded,oblique_bars_04,accuracy,0.3
0.0292119565217391,ImageNet-Occluded,oblique_bars_04,accuracy,0.4
0.0637587915601023,ImageNet-Occluded,oblique_bars_04,accuracy,0.5
0.1332520780051151,ImageNet-Occluded,oblique_bars_04,accuracy,0.6
