benchmark,path,cycle,level_1,level_2,metric,score,level_3,training_augmentation,test_augmentation
ImageNet-1K,/home/david/Datasets/ILSVRC2012/val,-1,val,,accuracy,0.6867207480818415,,fourier_noise,No distortion
ImageNet-Occluded,naturalTextured/10,-1,naturalTextured,0.1,accuracy,0.003726881377551,,fourier_noise,Natural occlusion
ImageNet-Occluded,naturalTextured/20,-1,naturalTextured,0.2,accuracy,0.0112324617422965,,fourier_noise,Natural occlusion
ImageNet-Occluded,naturalTextured/30,-1,naturalTextured,0.3,accuracy,0.0177853954100639,,fourier_noise,Natural occlusion
ImageNet-Occluded,naturalTextured/40,-1,naturalTextured,0.4,accuracy,0.0361208545937373,,fourier_noise,Natural occlusion
ImageNet-Occluded,naturalTextured/50,-1,naturalTextured,0.5,accuracy,0.0621093750019006,,fourier_noise,Natural occlusion
ImageNet-Occluded,naturalTextured/60,-1,naturalTextured,0.6,accuracy,0.0953683035866338,,fourier_noise,Natural occlusion
ImageNet-Occluded,naturalTextured/70,-1,naturalTextured,0.7,accuracy,0.1709462691630636,,fourier_noise,Natural occlusion
ImageNet-Occluded,naturalTextured/80,-1,naturalTextured,0.8,accuracy,0.2668247768769459,,fourier_noise,Natural occlusion
ImageNet-Occluded,naturalTextured/90,-1,naturalTextured,0.9,accuracy,0.3615832271016373,,fourier_noise,Natural occlusion
ImageNet-C,extra/gaussian_blur/1,-1,extra,gaussian_blur,accuracy,0.5634191176470589,1.0,fourier_noise,Gaussian blur
ImageNet-C,extra/gaussian_blur/2,-1,extra,gaussian_blur,accuracy,0.3577365728900256,2.0,fourier_noise,Gaussian blur
ImageNet-C,extra/gaussian_blur/3,-1,extra,gaussian_blur,accuracy,0.1877397698209718,3.0,fourier_noise,Gaussian blur
ImageNet-C,extra/gaussian_blur/4,-1,extra,gaussian_blur,accuracy,0.0903532608695652,4.0,fourier_noise,Gaussian blur
ImageNet-C,extra/gaussian_blur/5,-1,extra,gaussian_blur,accuracy,0.0223385549872122,5.0,fourier_noise,Gaussian blur
ImageNet-Noise,gaussian/0.1,-1,gaussian,0.1,accuracy,0.0008192135549872,,fourier_noise,Gaussian noise
ImageNet-Noise,gaussian/0.2,-1,gaussian,0.2,accuracy,0.0008791560102301,,fourier_noise,Gaussian noise
ImageNet-Noise,gaussian/0.3,-1,gaussian,0.3,accuracy,0.0015784846547314,,fourier_noise,Gaussian noise
ImageNet-Noise,gaussian/0.4,-1,gaussian,0.4,accuracy,0.0149056905370843,,fourier_noise,Gaussian noise
ImageNet-Noise,gaussian/0.5,-1,gaussian,0.5,accuracy,0.1007233056265984,,fourier_noise,Gaussian noise
ImageNet-Noise,gaussian/0.6,-1,gaussian,0.6,accuracy,0.2802909207161125,,fourier_noise,Gaussian noise
ImageNet-Noise,gaussian/0.7,-1,gaussian,0.7,accuracy,0.4445532289002558,,fourier_noise,Gaussian noise
ImageNet-Noise,gaussian/0.8,-1,gaussian,0.8,accuracy,0.5610014386189258,,fourier_noise,Gaussian noise
ImageNet-Noise,gaussian/0.9,-1,gaussian,0.9,accuracy,0.6234015345268542,,fourier_noise,Gaussian noise
ImageNet-Noise,fourier/0.1,-1,fourier,0.1,accuracy,0.0027573529411764,,fourier_noise,Fourier noise
ImageNet-Noise,fourier/0.2,-1,fourier,0.2,accuracy,0.0949088874680307,,fourier_noise,Fourier noise
ImageNet-Noise,fourier/0.3,-1,fourier,0.3,accuracy,0.3071451406649616,,fourier_noise,Fourier noise
ImageNet-Noise,fourier/0.4,-1,fourier,0.4,accuracy,0.4547834079283887,,fourier_noise,Fourier noise
ImageNet-Noise,fourier/0.5,-1,fourier,0.5,accuracy,0.5353460677749361,,fourier_noise,Fourier noise
ImageNet-Noise,fourier/0.6,-1,fourier,0.6,accuracy,0.5790241368286445,,fourier_noise,Fourier noise
ImageNet-Noise,fourier/0.7,-1,fourier,0.7,accuracy,0.6040201406649617,,fourier_noise,Fourier noise
ImageNet-Noise,fourier/0.8,-1,fourier,0.8,accuracy,0.6208639705882353,,fourier_noise,Fourier noise
ImageNet-Noise,fourier/0.9,-1,fourier,0.9,accuracy,0.6317535166240409,,fourier_noise,Fourier noise
