benchmark,path,cycle,level_1,level_2,metric,score,level_3,training_augmentation,test_augmentation
ImageNet-1K,/home/tonglab/Datasets/ILSVRC2012/val,-1,val,,accuracy,0.6175661670918368,,gaussian_blur,No distortion
ImageNet-Occluded,naturalTextured/10,-1,naturalTextured,0.1,accuracy,0.0025948660723789,,gaussian_blur,Natural occlusion
ImageNet-Occluded,naturalTextured/20,-1,naturalTextured,0.2,accuracy,0.0058713329157658,,gaussian_blur,Natural occlusion
ImageNet-Occluded,naturalTextured/30,-1,naturalTextured,0.3,accuracy,0.0092713647968686,,gaussian_blur,Natural occlusion
ImageNet-Occluded,naturalTextured/40,-1,naturalTextured,0.4,accuracy,0.0222656250009503,,gaussian_blur,Natural occlusion
ImageNet-Occluded,naturalTextured/50,-1,naturalTextured,0.5,accuracy,0.0432876275510204,,gaussian_blur,Natural occlusion
ImageNet-Occluded,naturalTextured/60,-1,naturalTextured,0.6,accuracy,0.0730309311148463,,gaussian_blur,Natural occlusion
ImageNet-Occluded,naturalTextured/70,-1,naturalTextured,0.7,accuracy,0.1433274872525005,,gaussian_blur,Natural occlusion
ImageNet-Occluded,naturalTextured/80,-1,naturalTextured,0.8,accuracy,0.2454400511116397,,gaussian_blur,Natural occlusion
ImageNet-Occluded,naturalTextured/90,-1,naturalTextured,0.9,accuracy,0.3415776466836734,,gaussian_blur,Natural occlusion
ImageNet-C,extra/gaussian_blur/1,-1,extra,gaussian_blur,accuracy,0.6059072066326531,1.0,gaussian_blur,Gaussian blur
ImageNet-C,extra/gaussian_blur/2,-1,extra,gaussian_blur,accuracy,0.5986766581024442,2.0,gaussian_blur,Gaussian blur
ImageNet-C,extra/gaussian_blur/3,-1,extra,gaussian_blur,accuracy,0.5733258927963218,3.0,gaussian_blur,Gaussian blur
ImageNet-C,extra/gaussian_blur/4,-1,extra,gaussian_blur,accuracy,0.4445392218779544,4.0,gaussian_blur,Gaussian blur
ImageNet-C,extra/gaussian_blur/5,-1,extra,gaussian_blur,accuracy,0.0184590242356442,5.0,gaussian_blur,Gaussian blur
ImageNet-Noise,gaussian/0.1,-1,gaussian,0.1,accuracy,0.0011957908163265,,gaussian_blur,Gaussian noise
ImageNet-Noise,gaussian/0.2,-1,gaussian,0.2,accuracy,0.0117426658172768,,gaussian_blur,Gaussian noise
ImageNet-Noise,gaussian/0.3,-1,gaussian,0.3,accuracy,0.0688496492422965,,gaussian_blur,Gaussian noise
ImageNet-Noise,gaussian/0.4,-1,gaussian,0.4,accuracy,0.1846141581784705,,gaussian_blur,Gaussian noise
ImageNet-Noise,gaussian/0.5,-1,gaussian,0.5,accuracy,0.321045918428168,,gaussian_blur,Gaussian noise
ImageNet-Noise,gaussian/0.6,-1,gaussian,0.6,accuracy,0.4336535395408163,,gaussian_blur,Gaussian noise
ImageNet-Noise,gaussian/0.7,-1,gaussian,0.7,accuracy,0.5219108737549003,,gaussian_blur,Gaussian noise
ImageNet-Noise,gaussian/0.8,-1,gaussian,0.8,accuracy,0.5801498725706217,,gaussian_blur,Gaussian noise
ImageNet-Noise,gaussian/0.9,-1,gaussian,0.9,accuracy,0.6075932718053156,,gaussian_blur,Gaussian noise
ImageNet-Noise,fourier/0.1,-1,fourier,0.1,accuracy,0.0010762117346938,,gaussian_blur,Fourier noise
ImageNet-Noise,fourier/0.2,-1,fourier,0.2,accuracy,0.0016741071428571,,gaussian_blur,Fourier noise
ImageNet-Noise,fourier/0.3,-1,fourier,0.3,accuracy,0.0115234375009503,,gaussian_blur,Fourier noise
ImageNet-Noise,fourier/0.4,-1,fourier,0.4,accuracy,0.0699856505178067,,gaussian_blur,Fourier noise
ImageNet-Noise,fourier/0.5,-1,fourier,0.5,accuracy,0.200103635196479,,gaussian_blur,Fourier noise
ImageNet-Noise,fourier/0.6,-1,fourier,0.6,accuracy,0.3478276466532629,,gaussian_blur,Fourier noise
ImageNet-Noise,fourier/0.7,-1,fourier,0.7,accuracy,0.466561702897354,,gaussian_blur,Fourier noise
ImageNet-Noise,fourier/0.8,-1,fourier,0.8,accuracy,0.5442920918671452,,gaussian_blur,Fourier noise
ImageNet-Noise,fourier/0.9,-1,fourier,0.9,accuracy,0.5949099170310157,,gaussian_blur,Fourier noise
