benchmark,path,cycle,level_1,level_2,metric,score,level_3,training_augmentation,test_augmentation
ImageNet-1K,/home/tonglab/Datasets/ILSVRC2012/val,-1,val,,accuracy,0.6874760842444946,,gaussian_noise,No distortion
ImageNet-Occluded,naturalTextured/10,-1,naturalTextured,0.1,accuracy,0.0043845663265306,,gaussian_noise,Natural occlusion
ImageNet-Occluded,naturalTextured/20,-1,naturalTextured,0.2,accuracy,0.01084980867537,,gaussian_noise,Natural occlusion
ImageNet-Occluded,naturalTextured/30,-1,naturalTextured,0.3,accuracy,0.018905452813725,,gaussian_noise,Natural occlusion
ImageNet-Occluded,naturalTextured/40,-1,naturalTextured,0.4,accuracy,0.0392020089285714,,gaussian_noise,Natural occlusion
ImageNet-Occluded,naturalTextured/50,-1,naturalTextured,0.5,accuracy,0.0727558992422965,,gaussian_noise,Natural occlusion
ImageNet-Occluded,naturalTextured/60,-1,naturalTextured,0.6,accuracy,0.1080038265458175,,gaussian_noise,Natural occlusion
ImageNet-Occluded,naturalTextured/70,-1,naturalTextured,0.7,accuracy,0.1939612563927563,,gaussian_noise,Natural occlusion
ImageNet-Occluded,naturalTextured/80,-1,naturalTextured,0.8,accuracy,0.3121771365404129,,gaussian_noise,Natural occlusion
ImageNet-Occluded,naturalTextured/90,-1,naturalTextured,0.9,accuracy,0.4203483737549003,,gaussian_noise,Natural occlusion
ImageNet-C,extra/gaussian_blur/1,-1,extra,gaussian_blur,accuracy,0.6115035077138823,1.0,gaussian_noise,Gaussian blur
ImageNet-C,extra/gaussian_blur/2,-1,extra,gaussian_blur,accuracy,0.5129225129375652,2.0,gaussian_noise,Gaussian blur
ImageNet-C,extra/gaussian_blur/3,-1,extra,gaussian_blur,accuracy,0.397030452836533,3.0,gaussian_noise,Gaussian blur
ImageNet-C,extra/gaussian_blur/4,-1,extra,gaussian_blur,accuracy,0.2878467793367347,4.0,gaussian_noise,Gaussian blur
ImageNet-C,extra/gaussian_blur/5,-1,extra,gaussian_blur,accuracy,0.1275629783619423,5.0,gaussian_noise,Gaussian blur
ImageNet-Noise,gaussian/0.1,-1,gaussian,0.1,accuracy,0.0013950892857142,,gaussian_noise,Gaussian noise
ImageNet-Noise,gaussian/0.2,-1,gaussian,0.2,accuracy,0.0139110331632653,,gaussian_noise,Gaussian noise
ImageNet-Noise,gaussian/0.3,-1,gaussian,0.3,accuracy,0.0755261479667863,,gaussian_noise,Gaussian noise
ImageNet-Noise,gaussian/0.4,-1,gaussian,0.4,accuracy,0.1980907206936758,,gaussian_noise,Gaussian noise
ImageNet-Noise,gaussian/0.5,-1,gaussian,0.5,accuracy,0.3411511479287731,,gaussian_noise,Gaussian noise
ImageNet-Noise,gaussian/0.6,-1,gaussian,0.6,accuracy,0.4705755741012339,,gaussian_noise,Gaussian noise
ImageNet-Noise,gaussian/0.7,-1,gaussian,0.7,accuracy,0.5829878826530612,,gaussian_noise,Gaussian noise
ImageNet-Noise,gaussian/0.8,-1,gaussian,0.8,accuracy,0.6571867028061225,,gaussian_noise,Gaussian noise
ImageNet-Noise,gaussian/0.9,-1,gaussian,0.9,accuracy,0.6833904656220455,,gaussian_noise,Gaussian noise
ImageNet-Noise,fourier/0.1,-1,fourier,0.1,accuracy,0.0013153698979591,,gaussian_noise,Fourier noise
ImageNet-Noise,fourier/0.2,-1,fourier,0.2,accuracy,0.0046037946428571,,gaussian_noise,Fourier noise
ImageNet-Noise,fourier/0.3,-1,fourier,0.3,accuracy,0.0562499999923973,,gaussian_noise,Fourier noise
ImageNet-Noise,fourier/0.4,-1,fourier,0.4,accuracy,0.2250159439079615,,gaussian_noise,Fourier noise
ImageNet-Noise,fourier/0.5,-1,fourier,0.5,accuracy,0.4114596620202064,,gaussian_noise,Fourier noise
ImageNet-Noise,fourier/0.6,-1,fourier,0.6,accuracy,0.5402941646016374,,gaussian_noise,Fourier noise
ImageNet-Noise,fourier/0.7,-1,fourier,0.7,accuracy,0.6151666136420503,,gaussian_noise,Fourier noise
ImageNet-Noise,fourier/0.8,-1,fourier,0.8,accuracy,0.6598732462342904,,gaussian_noise,Fourier noise
ImageNet-Noise,fourier/0.9,-1,fourier,0.9,accuracy,0.6796715560616279,,gaussian_noise,Fourier noise
