benchmark,path,cycle,score,level_1,level_2,level_3,metric,training_augmentation,test_augmentation
ImageNet-1K,ILSVRC2012/val,-1,0.7185741688894189,val,,,accuracy,no_distortion,No distortion
ImageNet-Occluded,naturalTextured/10,-1,0.0033523506693998,naturalTextured,0.1,,accuracy,no_distortion,Natural occlusion
ImageNet-Occluded,naturalTextured/20,-1,0.0104041321735296,naturalTextured,0.2,,accuracy,no_distortion,Natural occlusion
ImageNet-Occluded,naturalTextured/30,-1,0.0170189612069908,naturalTextured,0.3,,accuracy,no_distortion,Natural occlusion
ImageNet-Occluded,naturalTextured/40,-1,0.0395686429145993,naturalTextured,0.4,,accuracy,no_distortion,Natural occlusion
ImageNet-Occluded,naturalTextured/50,-1,0.0751919282638296,naturalTextured,0.5,,accuracy,no_distortion,Natural occlusion
ImageNet-Occluded,naturalTextured/60,-1,0.1207282442827614,naturalTextured,0.6,,accuracy,no_distortion,Natural occlusion
ImageNet-Occluded,naturalTextured/70,-1,0.2134832560407872,naturalTextured,0.7,,accuracy,no_distortion,Natural occlusion
ImageNet-Occluded,naturalTextured/80,-1,0.3365489329610552,naturalTextured,0.8,,accuracy,no_distortion,Natural occlusion
ImageNet-Occluded,naturalTextured/90,-1,0.4420906335723643,naturalTextured,0.9,,accuracy,no_distortion,Natural occlusion
ImageNet-C,extra/gaussian_blur/1,-1,0.6798330253484298,extra,gaussian_blur,1.0,accuracy,no_distortion,Gaussian blur
ImageNet-C,extra/gaussian_blur/2,-1,0.5729383509986254,extra,gaussian_blur,2.0,accuracy,no_distortion,Gaussian blur
ImageNet-C,extra/gaussian_blur/3,-1,0.3491821994586866,extra,gaussian_blur,3.0,accuracy,no_distortion,Gaussian blur
ImageNet-C,extra/gaussian_blur/4,-1,0.1784819321972983,extra,gaussian_blur,4.0,accuracy,no_distortion,Gaussian blur
ImageNet-C,extra/gaussian_blur/5,-1,0.0426006118709943,extra,gaussian_blur,5.0,accuracy,no_distortion,Gaussian blur
ImageNet-Noise,gaussian/0.1,-1,0.0016782435265426,gaussian,0.1,,accuracy,no_distortion,Gaussian noise
ImageNet-Noise,gaussian/0.2,-1,0.0087665004123534,gaussian,0.2,,accuracy,no_distortion,Gaussian noise
ImageNet-Noise,gaussian/0.3,-1,0.0584865800884305,gaussian,0.3,,accuracy,no_distortion,Gaussian noise
ImageNet-Noise,gaussian/0.4,-1,0.194511921734226,gaussian,0.4,,accuracy,no_distortion,Gaussian noise
ImageNet-Noise,gaussian/0.5,-1,0.3647861413809718,gaussian,0.5,,accuracy,no_distortion,Gaussian noise
ImageNet-Noise,gaussian/0.6,-1,0.5096678563526699,gaussian,0.6,,accuracy,no_distortion,Gaussian noise
ImageNet-Noise,gaussian/0.7,-1,0.6058425282945439,gaussian,0.7,,accuracy,no_distortion,Gaussian noise
ImageNet-Noise,gaussian/0.8,-1,0.6604984414820768,gaussian,0.8,,accuracy,no_distortion,Gaussian noise
ImageNet-Noise,gaussian/0.9,-1,0.6874969917900708,gaussian,0.9,,accuracy,no_distortion,Gaussian noise
ImageNet-Noise,fourier/0.1,-1,0.0013236426653302,fourier,0.1,,accuracy,no_distortion,Fourier noise
ImageNet-Noise,fourier/0.2,-1,0.0059954996163747,fourier,0.2,,accuracy,no_distortion,Fourier noise
ImageNet-Noise,fourier/0.3,-1,0.0793862209028127,fourier,0.3,,accuracy,no_distortion,Fourier noise
ImageNet-Noise,fourier/0.4,-1,0.2718570256719784,fourier,0.4,,accuracy,no_distortion,Fourier noise
ImageNet-Noise,fourier/0.5,-1,0.4502836806433541,fourier,0.5,,accuracy,no_distortion,Fourier noise
ImageNet-Noise,fourier/0.6,-1,0.5589182680966903,fourier,0.6,,accuracy,no_distortion,Fourier noise
ImageNet-Noise,fourier/0.7,-1,0.6291811320246482,fourier,0.7,,accuracy,no_distortion,Fourier noise
ImageNet-Noise,fourier/0.8,-1,0.6672580448948607,fourier,0.8,,accuracy,no_distortion,Fourier noise
ImageNet-Noise,fourier/0.9,-1,0.6889161479716398,fourier,0.9,,accuracy,no_distortion,Fourier noise
