subject,metric_sim,value
sub-00,Pearson R,0.6047013175458051
sub-01,Pearson R,0.4182563553357983
sub-02,Pearson R,0.7480333672233992
sub-03,Pearson R,0.6218123216383017
sub-04,Pearson R,0.735490530230589
sub-05,Pearson R,0.5025673464744361
sub-06,Pearson R,0.49981049501485925
sub-07,Pearson R,0.6185272636400272
sub-08,Pearson R,0.4423855677759479
sub-09,Pearson R,0.7109464067142243
sub-10,Pearson R,0.23840574814804977
sub-11,Pearson R,0.6772982749429081
sub-12,Pearson R,0.6585213223654993
sub-13,Pearson R,0.687691043215431
sub-14,Pearson R,0.6677858540246501
sub-15,Pearson R,0.6381186100023466
sub-16,Pearson R,0.7134652902470529
sub-17,Pearson R,0.3547587058615266
sub-18,Pearson R,0.5368755927217869
sub-19,Pearson R,0.16369430834221727
sub-20,Pearson R,0.41458859869944015
sub-21,Pearson R,0.556433652087511
sub-22,Pearson R,0.6232933038460697
sub-23,Pearson R,0.541145628214677
sub-24,Pearson R,0.6360819759638278
sub-25,Pearson R,0.7438263558262466
sub-26,Pearson R,0.44849030591893024
sub-27,Pearson R,0.6027366863187413
sub-28,Pearson R,0.8132524312085323
sub-29,Pearson R,0.6698658682766775
sub-00,MSE,0.09322520313119302
sub-01,MSE,0.06505569593077026
sub-02,MSE,0.07292669936583432
sub-03,MSE,0.0678440844233056
sub-04,MSE,0.07651155205443255
sub-05,MSE,0.043407690910291986
sub-06,MSE,0.06164486722156163
sub-07,MSE,0.08101288974765491
sub-08,MSE,0.14566376833135156
sub-09,MSE,0.02305287191174528
sub-10,MSE,0.02987754326859559
sub-11,MSE,0.021720215682388692
sub-12,MSE,0.04311430671158674
sub-13,MSE,0.08686835282071607
sub-14,MSE,0.05615355397014136
sub-15,MSE,0.04145973708548026
sub-16,MSE,0.08025849682917162
sub-17,MSE,0.10096995144669046
sub-18,MSE,0.07055262419077818
sub-19,MSE,0.014282847800237817
sub-20,MSE,0.04386362135024442
sub-21,MSE,0.06661902166732726
sub-22,MSE,0.04059977374818338
sub-23,MSE,0.03021279231074118
sub-24,MSE,0.08493881292112565
sub-25,MSE,0.0930456054300436
sub-26,MSE,0.10800514433875015
sub-27,MSE,0.0927787686616462
sub-28,MSE,0.05623699464922711
sub-29,MSE,0.12857857709076492
