score,benchmark,occluder_type,metric,visibility
0.4732856457800511,ImageNet-1K,,accuracy,
0.0022313531860709,ImageNet-Occluded,horizontal_bars_02,accuracy,0.1
0.0064744251221418,ImageNet-Occluded,horizontal_bars_02,accuracy,0.2
0.0220843160152435,ImageNet-Occluded,horizontal_bars_02,accuracy,0.3
0.0591929540038108,ImageNet-Occluded,horizontal_bars_02,accuracy,0.4
0.1107182341814041,ImageNet-Occluded,horizontal_bars_02,accuracy,0.5
0.2049893134832382,ImageNet-Occluded,horizontal_bars_02,accuracy,0.6
0.2934559261798858,ImageNet-Occluded,horizontal_bars_02,accuracy,0.7
0.3404031550884246,ImageNet-Occluded,horizontal_bars_02,accuracy,0.8
0.3843716835975647,ImageNet-Occluded,horizontal_bars_02,accuracy,0.9
0.0021060583740472,ImageNet-Occluded,horizontal_bars_04,accuracy,0.1
0.0038605542480945,ImageNet-Occluded,horizontal_bars_04,accuracy,0.2
0.0106036261841654,ImageNet-Occluded,horizontal_bars_04,accuracy,0.3
0.0342699734866619,ImageNet-Occluded,horizontal_bars_04,accuracy,0.4
0.0764379423856735,ImageNet-Occluded,horizontal_bars_04,accuracy,0.5
0.1278843602538109,ImageNet-Occluded,horizontal_bars_04,accuracy,0.6
0.1875700175762176,ImageNet-Occluded,horizontal_bars_04,accuracy,0.7
0.2387802183628082,ImageNet-Occluded,horizontal_bars_04,accuracy,0.8
0.3488594484329224,ImageNet-Occluded,horizontal_bars_04,accuracy,0.9
0.0013362323120236,ImageNet-Occluded,horizontal_bars_08,accuracy,0.1
0.0026529333740472,ImageNet-Occluded,horizontal_bars_08,accuracy,0.2
0.0041258844360709,ImageNet-Occluded,horizontal_bars_08,accuracy,0.3
0.0075681751221418,ImageNet-Occluded,horizontal_bars_08,accuracy,0.4
0.0195500442385673,ImageNet-Occluded,horizontal_bars_08,accuracy,0.5
0.0435893279314041,ImageNet-Occluded,horizontal_bars_08,accuracy,0.6
0.0848349058628082,ImageNet-Occluded,horizontal_bars_08,accuracy,0.7
0.1557757222652435,ImageNet-Occluded,horizontal_bars_08,accuracy,0.8
0.2119203275442123,ImageNet-Occluded,horizontal_bars_08,accuracy,0.9
0.0016258844360709,ImageNet-Occluded,horizontal_bars_16,accuracy,0.1
0.0020784198120236,ImageNet-Occluded,horizontal_bars_16,accuracy,0.2
0.0041144604980945,ImageNet-Occluded,horizontal_bars_16,accuracy,0.3
0.0065134876221418,ImageNet-Occluded,horizontal_bars_16,accuracy,0.4
0.0108199439942836,ImageNet-Occluded,horizontal_bars_16,accuracy,0.5
0.019704820215702,ImageNet-Occluded,horizontal_bars_16,accuracy,0.6
0.028991745263338,ImageNet-Occluded,horizontal_bars_16,accuracy,0.7
0.049530144482851,ImageNet-Occluded,horizontal_bars_16,accuracy,0.8
0.1270246165990829,ImageNet-Occluded,horizontal_bars_16,accuracy,0.9
0.00125,ImageNet-Occluded,oblique_bars_02,accuracy,0.1
0.0043326208740472,ImageNet-Occluded,oblique_bars_02,accuracy,0.2
0.0154716981202363,ImageNet-Occluded,oblique_bars_02,accuracy,0.3
0.0471617040038108,ImageNet-Occluded,oblique_bars_02,accuracy,0.4
0.0889983785152435,ImageNet-Occluded,oblique_bars_02,accuracy,0.5
0.1517180132865905,ImageNet-Occluded,oblique_bars_02,accuracy,0.6
0.2227727007865906,ImageNet-Occluded,oblique_bars_02,accuracy,0.7
0.271806457042694,ImageNet-Occluded,oblique_bars_02,accuracy,0.8
0.3190886652469635,ImageNet-Occluded,oblique_bars_02,accuracy,0.9
0.00134765625,ImageNet-Occluded,oblique_bars_04,accuracy,0.1
0.0016096698120236,ImageNet-Occluded,oblique_bars_04,accuracy,0.2
0.0027424823120236,ImageNet-Occluded,oblique_bars_04,accuracy,0.3
0.0062757959961891,ImageNet-Occluded,oblique_bars_04,accuracy,0.4
0.0146661261841654,ImageNet-Occluded,oblique_bars_04,accuracy,0.5
0.0332753537595272,ImageNet-Occluded,oblique_bars_04,accuracy,0.6
0.0653548792004585,ImageNet-Occluded,oblique_bars_04,accuracy,0.7
0.1071440154314041,ImageNet-Occluded,oblique_bars_04,accuracy,0.8
0.1706257373094558,ImageNet-Occluded,oblique_bars_04,accuracy,0.9
